sale_id,product_id,product_name,quantity,price,total_amount,sale_date,region
S024000,P064,Monitor,4.0,64.39,257.56,2021-01-01 00:00:00,Central
S024001,P046,Camera,,93.21,93.21,2021-01-01 00:01:00,East
S024002,P001,Camera,1.0,67.13,67.13,2021-01-01 00:02:00,East
S024003,P082,Router,8.0,73.65,589.2,2021-01-01 00:03:00,Northeast
S024004,P034,Camera,7.0,61.47,430.28999999999996,2021-01-01 00:04:00,Central
S024005,P081,Headphones,3.0,71.34,214.02,2021-01-01 00:05:00,Northeast
S024006,P030,Headphones,2.0,53.25,106.5,2021-01-01 00:06:00,Northeast
S024007,P068,Office Chair,3.0,69.89,209.67000000000002,2021-01-01 00:07:00,Southwest
S024008,P078,Smartphone,,71.88,359.4,2021-01-01 00:08:00,Southwest
S024009,P028,Processor,6.0,6.13,36.78,2021-01-01 00:09:00,Central
S024010,P055,RAM,6.0,73.16,438.96,2021-01-01 00:10:00,Northeast
S024011,P066,External Hard Drive,1.0,89.28,89.28,2021-01-01 00:11:00,Northeast
S024012,P087,Power Supply,6.0,53.19,319.14,2021-01-01 00:12:00,Southeast
S024013,P077,Speaker,8.0,42.61,340.88,2021-01-01 00:13:00,East
S024014,P010,Mouse,8.0,83.66,669.28,2021-01-01 00:14:00,North
S024015,P091,Graphics Card,2.0,59.5,119.0,2021-01-01 00:15:00,North
S024016,P010,Mouse,7.0,83.66,585.62,2021-01-01 00:16:00,Northwest
S024017,P003,Printer,7.0,73.34,513.38,2021-01-01 00:17:00,West
S024018,P034,Camera,5.0,61.47,307.35,2021-01-01 00:18:00,Northeast
S024019,P076,RAM,1.0,59.41,59.41,2021-01-01 00:19:00,West
S024020,P025,Power Supply,2.0,45.08,90.16,2021-01-01 00:20:00,Southwest
S024021,P090,Case,9.0,62.27,560.4300000000001,2021-01-01 00:21:00,South
S024022,P011,Camera,7.0,82.36,576.52,2021-01-01 00:22:00,South
S024023,P092,Monitor,5.0,31.31,156.54999999999998,2021-01-01 00:23:00,Southwest
S024024,P085,Motherboard,8.0,92.32,738.56,2021-01-01 00:24:00,South
S024025,P058,RAM,1.0,32.4,32.4,2021-01-01 00:25:00,Northwest
S024026,P048,External Hard Drive,3.0,54.23,162.69,2021-01-01 00:26:00,Northwest
S024027,P011,Motherboard,3.0,74.84,224.52,2021-01-01 00:27:00,Southwest
S024028,P003,Printer,2.0,73.34,146.68,2021-01-01 00:28:00,South
S024029,P039,Tablet,7.0,92.91,650.37,2021-01-01 00:29:00,Southwest
S024030,P044,Laptop,1.0,21.88,21.88,2021-01-01 00:30:00,Northeast
S024031,P086,Smartphone,6.0,60.55,363.29999999999995,2021-01-01 00:31:00,East
S024032,P039,Speaker,4.0,52.71,210.84,2021-01-01 00:32:00,East
S024033,P019,Keyboard,1.0,74.09,74.09,2021-01-01 00:33:00,East
S024034,P055,RAM,5.0,73.16,365.79999999999995,2021-01-01 00:34:00,North
S024035,P076,RAM,3.0,59.41,178.23,2021-01-01 00:35:00,Central
S024036,P093,Monitor,,8.44,25.32,2021-01-01 00:36:00,West
S024037,P077,Speaker,8.0,42.61,340.88,2021-01-01 00:37:00,South
S024038,P003,Printer,3.0,73.34,220.02,2021-01-01 00:38:00,South
S024039,P039,Speaker,3.0,52.71,158.13,2021-01-01 00:39:00,Northwest
S024040,P058,RAM,9.0,32.4,291.59999999999997,2021-01-01 00:40:00,West
S024041,P047,Printer,9.0,53.17,478.53000000000003,2021-01-01 00:41:00,East
S024042,P096,Charger,7.0,55.81,390.67,2021-01-01 00:42:00,North
S024043,P039,Speaker,3.0,52.71,158.13,2021-01-01 00:43:00,West
S024044,P074,Tablet,9.0,72.89,656.01,2021-01-01 00:44:00,South
S024045,P007,USB Flash Drive,6.0,35.19,211.14,2021-01-01 00:45:00,East
S024046,P055,RAM,2.0,73.16,146.32,2021-01-01 00:46:00,North
S024047,P074,Tablet,4.0,72.89,291.56,2021-01-01 00:47:00,Northwest
S024048,P010,Desk Lamp,7.0,75.29,527.0300000000001,2021-01-01 00:48:00,North
S024049,P004,Case,9.0,26.55,238.95000000000002,2021-01-01 00:49:00,South
S024050,P030,Headphones,3.0,53.25,159.75,2021-01-01 00:50:00,East
S024051,P082,Router,1.0,73.65,73.65,2021-01-01 00:51:00,Northwest
S024052,P036,Cooling Fan,9.0,63.54,571.86,2021-01-01 00:52:00,East
S024053,P078,Smartphone,5.0,71.88,359.4,2021-01-01 00:53:00,West
S024054,P047,Tablet,8.0,77.22,617.76,2021-01-01 00:54:00,East
S024055,P038,Router,5.0,41.42,207.10000000000002,2021-01-01 00:55:00,Central
S024056,P067,Office Chair,1.0,62.64,62.64,2021-01-01 00:56:00,East
S024057,P065,Processor,1.0,77.36,77.36,2021-01-01 00:57:00,North
S024058,P012,Cooling Fan,2.0,77.17,154.34,2021-01-01 00:58:00,Northeast
S024059,P019,Keyboard,9.0,74.09,666.8100000000001,2021-01-01 00:59:00,Southeast
S024060,P087,Power Supply,7.0,53.19,372.33,2021-01-01 01:00:00,East
S024061,P011,USB Flash Drive,6.0,84.94,509.64,2021-01-01 01:01:00,East
S024062,P030,Headphones,4.0,53.25,213.0,2021-01-01 01:02:00,Southwest
S024063,P031,Printer,3.0,30.94,92.82000000000001,2021-01-01 01:03:00,Northwest
S024064,P096,Charger,6.0,55.81,334.86,2021-01-01 01:04:00,Southwest
S024065,P011,Motherboard,1.0,74.84,74.84,2021-01-01 01:05:00,Southeast
S024066,P078,Smartphone,9.0,71.88,646.92,2021-01-01 01:06:00,Southeast
S024067,P064,USB Flash Drive,7.0,55.16,386.12,2021-01-01 01:07:00,Southeast
S024068,P092,Monitor,5.0,31.31,156.54999999999998,2021-01-01 01:08:00,Southeast
S024069,P004,Case,9.0,26.55,238.95000000000002,2021-01-01 01:09:00,Central
S024070,P087,Power Supply,8.0,53.19,425.52,2021-01-01 01:10:00,Southwest
S024071,P064,USB Flash Drive,8.0,55.16,441.28,2021-01-01 01:11:00,Central
S024072,P078,Smartphone,1.0,71.88,71.88,2021-01-01 01:12:00,Southeast
S024073,P040,,4.0,93.89,375.56,2021-01-01 01:13:00,Southeast
S024074,P042,Case,1.0,9.47,9.47,2021-01-01 01:14:00,Northwest
S024075,P086,Charger,8.0,83.22,665.76,2021-01-01 01:15:00,Southwest
S024076,P071,Desk Lamp,8.0,86.66,693.28,2021-01-01 01:16:00,East
S024077,P082,Router,9.0,73.65,662.85,2021-01-01 01:17:00,South
S024078,P096,Speaker,1.0,13.66,13.66,2021-01-01 01:18:00,East
S024079,P064,USB Flash Drive,7.0,55.16,386.12,2021-01-01 01:19:00,Central
S024080,P042,Tablet,6.0,26.68,160.07999999999998,2021-01-01 01:20:00,East
S024081,P066,External Hard Drive,9.0,89.28,803.52,2021-01-01 01:21:00,Central
S024082,P061,Smartwatch,6.0,5.91,35.46,2021-01-01 01:22:00,North
S024083,P090,Mouse,2.0,17.99,35.98,2021-01-01 01:23:00,Southwest
S024084,P011,Motherboard,3.0,74.84,224.52,2021-01-01 01:24:00,Northwest
S024085,P061,Smartwatch,5.0,5.91,29.55,2021-01-01 01:25:00,Southwest
S024086,P007,USB Flash Drive,6.0,35.19,211.14,2021-01-01 01:26:00,Southeast
S024087,P076,RAM,7.0,59.41,415.87,2021-01-01 01:27:00,North
S024088,P093,Power Supply,6.0,87.66,525.96,2021-01-01 01:28:00,West
S024089,P084,Cooling Fan,7.0,18.61,130.26999999999998,2021-01-01 01:29:00,South
S024090,P093,Monitor,1.0,8.44,8.44,2021-01-01 01:30:00,Southwest
S024091,P034,Camera,1.0,61.47,61.47,2021-01-01 01:31:00,South
S024092,P036,Smartphone,2.0,53.28,106.56,2021-01-01 01:32:00,Southwest
S024093,P078,Memory Card,1.0,19.21,19.21,2021-01-01 01:33:00,Northeast
S024094,P078,Memory Card,2.0,19.21,38.42,2021-01-01 01:34:00,South
S024095,P055,Office Chair,7.0,67.62,473.34000000000003,2021-01-01 01:35:00,North
S024096,P012,Cooling Fan,5.0,77.17,385.85,2021-01-01 01:36:00,Northeast
S024097,P057,Processor,1.0,11.26,11.26,2021-01-01 01:37:00,Northwest
S024098,P019,Keyboard,5.0,74.09,370.45000000000005,2021-01-01 01:38:00,North
S024099,P095,Graphics Card,9.0,7.4,66.60000000000001,2021-01-01 01:39:00,Northeast
S024100,P048,External Hard Drive,8.0,54.23,433.84,2021-01-01 01:40:00,Southwest
S024101,P031,Printer,5.0,30.94,154.70000000000002,2021-01-01 01:41:00,Northwest
S024102,P069,External Hard Drive,7.0,6.56,45.919999999999995,2021-01-01 01:42:00,Northwest
S024103,P004,Case,7.0,26.55,185.85,2021-01-01 01:43:00,Northeast
S024104,P039,Tablet,2.0,92.91,185.82,2021-01-01 01:44:00,South
S024105,P067,Office Chair,1.0,62.64,62.64,2021-01-01 01:45:00,North
S024106,P087,Router,8.0,79.53,636.24,2021-01-01 01:46:00,East
S024107,P034,Camera,1.0,61.47,61.47,2021-01-01 01:47:00,Central
S024108,P057,Processor,9.0,11.26,101.34,2021-01-01 01:48:00,South
S024109,P067,Graphics Card,7.0,60.22,421.53999999999996,2021-01-01 01:49:00,Southeast
S024110,P078,Memory Card,7.0,19.21,134.47,2021-01-01 01:50:00,Northeast
S024111,P094,Mouse,9.0,86.51,778.59,2021-01-01 01:51:00,Southeast
S024112,P079,Memory Card,9.0,19.07,171.63,2021-01-01 01:52:00,South
S024113,P078,Smartphone,9.0,71.88,646.92,2021-01-01 01:53:00,Northeast
S024114,P010,Mouse,8.0,83.66,669.28,2021-01-01 01:54:00,West
S024115,P067,Graphics Card,6.0,60.22,361.32,2021-01-01 01:55:00,Southwest
S024116,P066,External Hard Drive,7.0,89.28,624.96,2021-01-01 01:56:00,Northeast
S024117,P077,Speaker,8.0,42.61,340.88,2021-01-01 01:57:00,Northeast
S024118,P003,Printer,1.0,73.34,73.34,2021-01-01 01:58:00,Northeast
S024119,P079,Memory Card,9.0,19.07,171.63,2021-01-01 01:59:00,Northeast
S024120,P047,Printer,6.0,53.17,319.02,2021-01-01 02:00:00,North
S024121,P092,RAM,3.0,73.51,220.53000000000003,2021-01-01 02:01:00,Central
S024122,P078,Smartphone,3.0,71.88,215.64,2021-01-01 02:02:00,Northeast
S024123,P010,Mouse,8.0,83.66,669.28,2021-01-01 02:03:00,East
S024124,P097,,6.0,33.56,201.36,2021-01-01 02:04:00,Southwest
S024125,P090,Case,2.0,62.27,124.54,2021-01-01 02:05:00,Southwest
S024126,P010,Mouse,1.0,83.66,83.66,2021-01-01 02:06:00,Northwest
S024127,P084,Cooling Fan,7.0,18.61,130.26999999999998,2021-01-01 02:07:00,North
S024128,P095,Graphics Card,7.0,7.4,51.800000000000004,2021-01-01 02:08:00,North
S024129,P004,Desk Lamp,6.0,32.63,195.78000000000003,2021-01-01 02:09:00,West
S024130,P067,Graphics Card,7.0,60.22,421.53999999999996,2021-01-01 02:10:00,Southwest
S024131,P004,Desk Lamp,7.0,32.63,228.41000000000003,2021-01-01 02:11:00,Central
S024132,P031,Printer,9.0,30.94,278.46000000000004,2021-01-01 02:12:00,West
S024133,P007,USB Flash Drive,7.0,35.19,246.32999999999998,2021-01-01 02:13:00,Southwest
S024134,P093,Power Supply,1.0,87.66,87.66,2021-01-01 02:14:00,Northwest
S024135,P011,Motherboard,6.0,74.84,449.04,2021-01-01 02:15:00,West
S024136,P036,Cooling Fan,7.0,63.54,444.78,2021-01-01 02:16:00,Northeast
S024137,P044,Laptop,5.0,21.88,109.39999999999999,2021-01-01 02:17:00,North
S024138,P031,Printer,1.0,30.94,30.94,2021-01-01 02:18:00,Southeast
S024139,P047,Tablet,6.0,77.22,463.32,2021-01-01 02:19:00,Northwest
S024140,P073,Keyboard,2.0,88.35,176.7,2021-01-01 02:20:00,Southeast
S024141,P055,Office Chair,7.0,67.62,473.34000000000003,2021-01-01 02:21:00,Northwest
S024142,P064,USB Flash Drive,5.0,55.16,275.79999999999995,2021-01-01 02:22:00,Northwest
S024143,P079,Memory Card,8.0,19.07,152.56,2021-01-01 02:23:00,Southwest
S024144,P076,RAM,3.0,59.41,178.23,2021-01-01 02:24:00,East
S024145,P042,Case,2.0,9.47,18.94,2021-01-01 02:25:00,Central
S024146,P061,Graphics Card,1.0,24.77,24.77,2021-01-01 02:26:00,South
S024147,P039,Monitor,6.0,98.24,589.4399999999999,2021-01-01 02:27:00,Central
S024148,P082,Router,7.0,73.65,515.5500000000001,2021-01-01 02:28:00,East
S024149,P011,Camera,7.0,82.36,576.52,2021-01-01 02:29:00,Northeast
S024150,P025,Power Supply,1.0,45.08,45.08,2021-01-01 02:30:00,Northwest
S024151,P010,Desk Lamp,3.0,75.29,225.87,2021-01-01 02:31:00,Northeast
S024152,P077,Speaker,5.0,42.61,213.05,2021-01-01 02:32:00,East
S024153,P015,Router,2.0,71.26,142.52,2021-01-01 02:33:00,Northeast
S024154,P044,Laptop,2.0,21.88,43.76,2021-01-01 02:34:00,Central
S024155,P007,Charger,7.0,56.55,395.84999999999997,2021-01-01 02:35:00,South
S024156,P064,Monitor,2.0,64.39,128.78,2021-01-01 02:36:00,North
S024157,P011,USB Flash Drive,1.0,84.94,84.94,2021-01-01 02:37:00,South
S024158,P063,Office Chair,2.0,86.83,173.66,2021-01-01 02:38:00,North
S024159,P061,Graphics Card,1.0,24.77,24.77,2021-01-01 02:39:00,Southeast
S024160,P025,Power Supply,3.0,45.08,135.24,2021-01-01 02:40:00,East
S024161,P048,External Hard Drive,6.0,54.23,325.38,2021-01-01 02:41:00,East
S024162,P055,RAM,8.0,73.16,585.28,2021-01-01 02:42:00,Northwest
S024163,P046,Camera,4.0,93.21,372.84,2021-01-01 02:43:00,Northwest
S024164,P079,Memory Card,4.0,19.07,76.28,2021-01-01 02:44:00,North
S024165,P039,Tablet,2.0,92.91,185.82,2021-01-01 02:45:00,Central
S024166,P087,Power Supply,6.0,53.19,319.14,2021-01-01 02:46:00,Central
S024167,P010,Memory Card,9.0,29.2,262.8,2021-01-01 02:47:00,Southeast
S024168,P045,Laptop,6.0,16.25,97.5,2021-01-01 02:48:00,East
S024169,P057,Processor,9.0,11.26,101.34,2021-01-01 02:49:00,South
S024170,P091,Keyboard,6.0,61.6,369.6,2021-01-01 02:50:00,Northwest
S024171,P047,Printer,4.0,53.17,212.68,2021-01-01 02:51:00,Southeast
S024172,P036,Cooling Fan,3.0,63.54,,2021-01-01 02:52:00,Southeast
S024173,P039,Tablet,4.0,92.91,371.64,2021-01-01 02:53:00,East
S024174,P011,Camera,8.0,82.36,658.88,2021-01-01 02:54:00,Central
S024175,P011,USB Flash Drive,2.0,84.94,169.88,2021-01-01 02:55:00,Southeast
S024176,P090,Case,7.0,62.27,435.89000000000004,2021-01-01 02:56:00,South
S024177,P044,Laptop,6.0,21.88,131.28,2021-01-01 02:57:00,West
S024178,P003,Printer,8.0,73.34,586.72,2021-01-01 02:58:00,Central
S024179,P015,Router,5.0,71.26,356.3,2021-01-01 02:59:00,East
S024180,P086,Smartphone,6.0,60.55,363.29999999999995,2021-01-01 03:00:00,Northwest
S024181,P040,Charger,6.0,93.89,563.34,2021-01-01 03:01:00,East
S024182,P039,Speaker,1.0,52.71,52.71,2021-01-01 03:02:00,Southwest
S024183,P063,Office Chair,6.0,86.83,520.98,2021-01-01 03:03:00,West
S024184,P080,Headphones,6.0,46.69,280.14,2021-01-01 03:04:00,Northeast
S024185,P057,Mouse,2.0,63.01,126.02,2021-01-01 03:05:00,North
S024186,P086,Smartphone,1.0,60.55,60.55,2021-01-01 03:06:00,Southwest
S024187,P086,Charger,3.0,83.22,249.66,2021-01-01 03:07:00,Northwest
S024188,P010,Memory Card,1.0,29.2,29.2,2021-01-01 03:08:00,Central
S024189,P096,Charger,1.0,55.81,55.81,2021-01-01 03:09:00,Southwest
S024190,P069,External Hard Drive,2.0,6.56,13.12,2021-01-01 03:10:00,Northeast
S024191,P046,Camera,5.0,93.21,466.04999999999995,2021-01-01 03:11:00,Central
S024192,P093,Monitor,7.0,8.44,59.08,2021-01-01 03:12:00,Northwest
S024193,P080,Headphones,1.0,46.69,46.69,2021-01-01 03:13:00,Northeast
S024194,P047,Printer,3.0,53.17,159.51,2021-01-01 03:14:00,East
S024195,P065,Processor,2.0,77.36,154.72,2021-01-01 03:15:00,West
S024196,P074,Tablet,7.0,72.89,510.23,2021-01-01 03:16:00,Southwest
S024197,P048,External Hard Drive,9.0,54.23,488.07,2021-01-01 03:17:00,Northwest
S024198,P055,RAM,8.0,73.16,585.28,2021-01-01 03:18:00,South
S024199,P094,Mouse,3.0,86.51,259.53000000000003,2021-01-01 03:19:00,West
S024200,P091,Graphics Card,8.0,59.5,476.0,2021-01-01 03:20:00,Northeast
S024201,P043,Power Supply,5.0,40.05,200.25,2021-01-01 03:21:00,East
S024202,P090,Case,5.0,62.27,311.35,2021-01-01 03:22:00,Southwest
S024203,P011,Motherboard,1.0,74.84,74.84,2021-01-01 03:23:00,Central
S024204,P093,Monitor,3.0,8.44,25.32,2021-01-01 03:24:00,North
S024205,P007,Charger,3.0,56.55,169.64999999999998,2021-01-01 03:25:00,Central
S024206,P076,RAM,5.0,59.41,297.04999999999995,2021-01-01 03:26:00,East
S024207,P019,Keyboard,7.0,74.09,518.63,2021-01-01 03:27:00,West
S024208,P094,Motherboard,1.0,58.66,58.66,2021-01-01 03:28:00,Central
S024209,P057,Mouse,2.0,63.01,126.02,2021-01-01 03:29:00,Southeast
S024210,P031,Printer,7.0,30.94,216.58,2021-01-01 03:30:00,East
S024211,P007,Charger,3.0,56.55,169.64999999999998,2021-01-01 03:31:00,Southeast
S024212,P080,Smartphone,5.0,97.09,485.45000000000005,2021-01-01 03:32:00,South
S024213,P067,Office Chair,9.0,62.64,563.76,2021-01-01 03:33:00,North
S024214,P073,Keyboard,7.0,88.35,618.4499999999999,2021-01-01 03:34:00,South
S024215,P035,Smartwatch,4.0,10.02,40.08,2021-01-01 03:35:00,West
S024216,P087,Power Supply,7.0,53.19,372.33,2021-01-01 03:36:00,Central
S024217,P046,Camera,5.0,93.21,466.04999999999995,2021-01-01 03:37:00,South
S024218,P039,Tablet,3.0,92.91,278.73,2021-01-01 03:38:00,West
S024219,P034,Camera,3.0,61.47,184.41,2021-01-01 03:39:00,West
S024220,P081,Headphones,4.0,71.34,285.36,2021-01-01 03:40:00,East
S024221,P092,Monitor,3.0,31.31,93.92999999999999,2021-01-01 03:41:00,Southeast
S024222,P096,Charger,8.0,55.81,446.48,2021-01-01 03:42:00,West
S024223,P091,Memory Card,6.0,17.21,103.26,2021-01-01 03:43:00,East
S024224,P011,USB Flash Drive,6.0,84.94,509.64,2021-01-01 03:44:00,South
S024225,P061,Graphics Card,5.0,24.77,123.85,2021-01-01 03:45:00,South
S024226,P073,Keyboard,6.0,88.35,530.0999999999999,2021-01-01 03:46:00,Southwest
S024227,P003,Printer,9.0,73.34,660.0600000000001,2021-01-01 03:47:00,Central
S024228,P090,Case,9.0,62.27,560.4300000000001,2021-01-01 03:48:00,Northwest
S024229,P039,Speaker,5.0,52.71,263.55,2021-01-01 03:49:00,North
S024230,P011,USB Flash Drive,7.0,84.94,594.5799999999999,2021-01-01 03:50:00,East
S024231,P068,Office Chair,4.0,69.89,279.56,2021-01-01 03:51:00,Southwest
S024232,P057,Mouse,6.0,63.01,378.06,2021-01-01 03:52:00,West
S024233,P087,Desk Lamp,5.0,50.93,254.65,2021-01-01 03:53:00,East
S024234,P011,Motherboard,3.0,74.84,224.52,2021-01-01 03:54:00,East
S024235,P086,Charger,2.0,83.22,166.44,2021-01-01 03:55:00,Central
S024236,P081,Headphones,3.0,71.34,214.02,2021-01-01 03:56:00,Southwest
S024237,P044,Laptop,2.0,21.88,43.76,2021-01-01 03:57:00,West
S024238,P097,Keyboard,7.0,33.56,234.92000000000002,2021-01-01 03:58:00,Central
S024239,P099,Laptop,7.0,73.65,515.5500000000001,2021-01-01 03:59:00,South
S024240,P035,Smartwatch,9.0,10.02,90.17999999999999,2021-01-01 04:00:00,Northeast
S024241,P007,USB Flash Drive,8.0,35.19,281.52,2021-01-01 04:01:00,North
S024242,P061,Graphics Card,4.0,24.77,99.08,2021-01-01 04:02:00,Northwest
S024243,P064,USB Flash Drive,2.0,55.16,110.32,2021-01-01 04:03:00,Northeast
S024244,P043,Power Supply,7.0,40.05,280.34999999999997,2021-01-01 04:04:00,North
S024245,P036,Smartphone,5.0,53.28,266.4,2021-01-01 04:05:00,South
S024246,P099,External Hard Drive,8.0,52.15,417.2,2021-01-01 04:06:00,Southwest
S024247,P096,Speaker,3.0,13.66,40.980000000000004,2021-01-01 04:07:00,Central
S024248,P042,Tablet,2.0,26.68,53.36,2021-01-01 04:08:00,East
S024249,P099,External Hard Drive,2.0,52.15,104.3,2021-01-01 04:09:00,North
S024250,P043,,8.0,40.05,320.4,2021-01-01 04:10:00,Central
S024251,P046,Camera,1.0,93.21,93.21,2021-01-01 04:11:00,West
S024252,P055,Office Chair,6.0,67.62,405.72,2021-01-01 04:12:00,North
S024253,P087,Router,9.0,79.53,715.77,2021-01-01 04:13:00,Northeast
S024254,P040,Charger,2.0,93.89,187.78,2021-01-01 04:14:00,East
S024255,P067,Office Chair,8.0,62.64,501.12,2021-01-01 04:15:00,Southeast
S024256,P077,Smartwatch,9.0,30.65,275.84999999999997,2021-01-01 04:16:00,East
S024257,P013,Smartwatch,9.0,97.97,881.73,2021-01-01 04:17:00,Southwest
S024258,P066,External Hard Drive,1.0,89.28,89.28,2021-01-01 04:18:00,Central
S024259,P064,USB Flash Drive,1.0,55.16,55.16,2021-01-01 04:19:00,Northeast
S024260,P073,Keyboard,9.0,88.35,795.15,2021-01-01 04:20:00,Southeast
S024261,P092,Monitor,7.0,31.31,219.17,2021-01-01 04:21:00,Central
S024262,P081,Headphones,2.0,71.34,142.68,2021-01-01 04:22:00,Central
S024263,P064,Monitor,2.0,64.39,128.78,2021-01-01 04:23:00,Southwest
S024264,P010,Desk Lamp,6.0,75.29,451.74,2021-01-01 04:24:00,Southeast
S024265,P039,Monitor,4.0,98.24,392.96,2021-01-01 04:25:00,North
S024266,P086,,4.0,60.55,242.2,2021-01-01 04:26:00,North
S024267,P004,Case,6.0,26.55,159.3,2021-01-01 04:27:00,Southwest
S024268,P091,Keyboard,9.0,61.6,554.4,2021-01-01 04:28:00,East
S024269,P007,Charger,7.0,56.55,395.84999999999997,2021-01-01 04:29:00,Southeast
S024270,P061,Graphics Card,2.0,24.77,49.54,2021-01-01 04:30:00,Southeast
S024271,P044,Laptop,7.0,21.88,153.16,2021-01-01 04:31:00,West
S024272,P007,Charger,7.0,56.55,395.84999999999997,2021-01-01 04:32:00,Northwest
S024273,P015,Router,1.0,71.26,71.26,2021-01-01 04:33:00,Southeast
S024274,P044,Laptop,6.0,21.88,131.28,2021-01-01 04:34:00,Northwest
S024275,P071,Desk Lamp,1.0,86.66,86.66,2021-01-01 04:35:00,North
S024276,P011,Motherboard,2.0,74.84,149.68,2021-01-01 04:36:00,Central
S024277,P047,Printer,9.0,53.17,478.53000000000003,2021-01-01 04:37:00,Central
S024278,P067,Office Chair,8.0,62.64,501.12,2021-01-01 04:38:00,Southeast
S024279,P092,RAM,1.0,73.51,73.51,2021-01-01 04:39:00,West
S024280,P087,Desk Lamp,7.0,50.93,356.51,2021-01-01 04:40:00,Southeast
S024281,P095,Graphics Card,1.0,7.4,7.4,2021-01-01 04:41:00,Northeast
S024282,P085,Motherboard,4.0,92.32,369.28,2021-01-01 04:42:00,South
S024283,P092,Monitor,7.0,31.31,219.17,2021-01-01 04:43:00,South
S024284,P095,Graphics Card,9.0,7.4,66.60000000000001,2021-01-01 04:44:00,North
S024285,P092,RAM,8.0,73.51,588.08,2021-01-01 04:45:00,Central
S024286,P045,Laptop,2.0,16.25,32.5,2021-01-01 04:46:00,North
S024287,P042,Tablet,8.0,26.68,213.44,2021-01-01 04:47:00,Southeast
S024288,P004,Desk Lamp,5.0,32.63,163.15,2021-01-01 04:48:00,East
S024289,P081,Laptop,7.0,5.64,39.48,2021-01-01 04:49:00,Central
S024290,P071,Desk Lamp,,86.66,346.64,2021-01-01 04:50:00,Northeast
