sale_id,product_id,product_name,quantity,price,total_amount,sale_date,region
S066000,P066,External Hard Drive,4.0,89.28,357.12,2021-01-01 00:00:00,East
S066001,P077,Smartwatch,7.0,30.65,214.54999999999998,2021-01-01 00:01:00,Southeast
S066002,P096,Charger,4.0,55.81,223.24,2021-01-01 00:02:00,South
S066003,P074,Tablet,9.0,72.89,656.01,2021-01-01 00:03:00,West
S066004,P039,Monitor,5.0,98.24,491.2,2021-01-01 00:04:00,Northwest
S066005,P082,Router,6.0,73.65,441.90000000000003,2021-01-01 00:05:00,Northwest
S066006,P011,Camera,3.0,82.36,247.07999999999998,2021-01-01 00:06:00,Southeast
S066007,P067,Graphics Card,7.0,60.22,421.53999999999996,2021-01-01 00:07:00,South
S066008,P007,USB Flash Drive,3.0,35.19,105.57,2021-01-01 00:08:00,Central
S066009,P084,Cooling Fan,2.0,18.61,37.22,2021-01-01 00:09:00,Southeast
S066010,P058,RAM,3.0,32.4,97.19999999999999,2021-01-01 00:10:00,North
S066011,P092,RAM,8.0,73.51,588.08,2021-01-01 00:11:00,Southeast
S066012,P073,Keyboard,5.0,88.35,441.75,2021-01-01 00:12:00,Southeast
S066013,P007,USB Flash Drive,5.0,35.19,175.95,2021-01-01 00:13:00,South
S066014,P031,Printer,7.0,30.94,216.58,2021-01-01 00:14:00,North
S066015,P067,Office Chair,3.0,62.64,187.92000000000002,2021-01-01 00:15:00,East
S066016,P035,Smartwatch,8.0,10.02,80.16,2021-01-01 00:16:00,South
S066017,P085,Motherboard,1.0,92.32,92.32,2021-01-01 00:17:00,Northeast
S066018,P019,Keyboard,6.0,74.09,444.54,2021-01-01 00:18:00,West
S066019,P087,Desk Lamp,7.0,50.93,356.51,2021-01-01 00:19:00,Southeast
S066020,P025,Power Supply,5.0,45.08,225.39999999999998,2021-01-01 00:20:00,Southwest
S066021,P030,Headphones,7.0,53.25,372.75,2021-01-01 00:21:00,North
S066022,P042,Tablet,2.0,26.68,53.36,2021-01-01 00:22:00,South
S066023,P035,Smartwatch,7.0,10.02,70.14,2021-01-01 00:23:00,South
S066024,P035,Smartwatch,6.0,10.02,60.12,2021-01-01 00:24:00,West
S066025,P039,Monitor,9.0,98.24,884.16,2021-01-01 00:25:00,Northwest
S066026,P031,Printer,2.0,30.94,61.88,2021-01-01 00:26:00,Southeast
S066027,P058,RAM,3.0,32.4,97.19999999999999,2021-01-01 00:27:00,Northeast
S066028,P093,Monitor,3.0,8.44,,2021-01-01 00:28:00,North
S066029,P007,Charger,3.0,56.55,169.64999999999998,2021-01-01 00:29:00,Southeast
S066030,P028,Processor,7.0,6.13,42.91,2021-01-01 00:30:00,Southwest
S066031,P046,Camera,8.0,93.21,745.68,2021-01-01 00:31:00,Northwest
S066032,P080,Smartphone,4.0,97.09,388.36,2021-01-01 00:32:00,Southwest
S066033,P012,Cooling Fan,5.0,77.17,385.85,2021-01-01 00:33:00,West
S066034,P087,Power Supply,5.0,53.19,265.95,2021-01-01 00:34:00,Southeast
S066035,P004,Case,5.0,26.55,132.75,2021-01-01 00:35:00,Central
S066036,P079,Memory Card,4.0,19.07,76.28,2021-01-01 00:36:00,North
S066037,P077,Speaker,8.0,42.61,340.88,2021-01-01 00:37:00,Central
S066038,P091,Keyboard,7.0,61.6,431.2,2021-01-01 00:38:00,Southeast
S066039,P040,Charger,1.0,93.89,93.89,2021-01-01 00:39:00,East
S066040,P039,Speaker,2.0,52.71,105.42,2021-01-01 00:40:00,North
S066041,P092,Motherboard,7.0,54.24,379.68,2021-01-01 00:41:00,Central
S066042,P039,Monitor,6.0,98.24,589.4399999999999,2021-01-01 00:42:00,East
S066043,P036,Cooling Fan,1.0,63.54,63.54,2021-01-01 00:43:00,Central
S066044,P011,Motherboard,1.0,74.84,74.84,2021-01-01 00:44:00,Northwest
S066045,P011,Camera,8.0,82.36,658.88,2021-01-01 00:45:00,West
S066046,P012,Cooling Fan,2.0,77.17,154.34,2021-01-01 00:46:00,Central
S066047,P081,Laptop,4.0,5.64,22.56,2021-01-01 00:47:00,Northeast
S066048,P028,Processor,2.0,6.13,12.26,2021-01-01 00:48:00,Northeast
S066049,P077,Smartwatch,9.0,30.65,275.84999999999997,2021-01-01 00:49:00,Central
S066050,P093,Power Supply,9.0,87.66,788.9399999999999,2021-01-01 00:50:00,Southwest
S066051,P012,USB Flash Drive,1.0,10.06,10.06,2021-01-01 00:51:00,West
