sale_id,product_id,product_name,quantity,price,total_amount,sale_date,region
S060000,P013,Smartwatch,3.0,97.97,293.90999999999997,2021-01-01 00:00:00,South
S060001,P042,Case,6.0,9.47,56.82000000000001,2021-01-01 00:01:00,Southeast
S060002,P001,Camera,9.0,67.13,604.17,2021-01-01 00:02:00,North
S060003,P080,Smartphone,9.0,97.09,873.8100000000001,2021-01-01 00:03:00,West
S060004,P069,Processor,9.0,81.55,733.9499999999999,2021-01-01 00:04:00,North
S060005,P096,Speaker,1.0,13.66,13.66,2021-01-01 00:05:00,Northwest
S060006,P007,Charger,8.0,56.55,452.4,2021-01-01 00:06:00,Southwest
S060007,P010,Desk Lamp,2.0,75.29,150.58,2021-01-01 00:07:00,South
S060008,P007,Charger,4.0,56.55,226.2,2021-01-01 00:08:00,Southeast
S060009,P081,Printer,6.0,12.94,77.64,2021-01-01 00:09:00,Southwest
S060010,P013,Smartwatch,7.0,97.97,685.79,2021-01-01 00:10:00,South
S060011,P055,Office Chair,1.0,67.62,67.62,2021-01-01 00:11:00,North
S060012,P057,Processor,7.0,11.26,78.82,2021-01-01 00:12:00,Southeast
S060013,P078,Memory Card,4.0,19.21,76.84,2021-01-01 00:13:00,Northeast
S060014,P036,Cooling Fan,1.0,63.54,63.54,2021-01-01 00:14:00,Central
S060015,P010,Desk Lamp,7.0,75.29,527.0300000000001,2021-01-01 00:15:00,North
S060016,P064,USB Flash Drive,7.0,55.16,386.12,2021-01-01 00:16:00,North
S060017,P031,Printer,4.0,30.94,123.76,2021-01-01 00:17:00,Southeast
S060018,P004,Desk Lamp,6.0,32.63,195.78000000000003,2021-01-01 00:18:00,East
S060019,P048,External Hard Drive,8.0,54.23,433.84,2021-01-01 00:19:00,Northeast
S060020,P061,Cooling Fan,7.0,22.48,157.36,2021-01-01 00:20:00,West
S060021,P086,Charger,9.0,83.22,748.98,2021-01-01 00:21:00,Southeast
S060022,P087,Router,6.0,79.53,477.18,2021-01-01 00:22:00,Southwest
S060023,P012,Cooling Fan,8.0,77.17,617.36,2021-01-01 00:23:00,Northeast
S060024,P067,Graphics Card,1.0,60.22,60.22,2021-01-01 00:24:00,Central
S060025,P085,Motherboard,5.0,92.32,461.59999999999997,2021-01-01 00:25:00,Southeast
S060026,P099,Laptop,2.0,73.65,147.3,2021-01-01 00:26:00,Southwest
S060027,P094,Motherboard,3.0,58.66,175.98,2021-01-01 00:27:00,East
S060028,P096,Speaker,8.0,13.66,109.28,2021-01-01 00:28:00,North
S060029,P057,Mouse,7.0,63.01,441.07,2021-01-01 00:29:00,Northwest
S060030,P011,Motherboard,3.0,74.84,224.52,2021-01-01 00:30:00,Southwest
S060031,P099,Laptop,7.0,73.65,515.5500000000001,2021-01-01 00:31:00,South
S060032,P092,Motherboard,2.0,54.24,108.48,2021-01-01 00:32:00,Southwest
S060033,P067,Office Chair,9.0,62.64,563.76,2021-01-01 00:33:00,Central
S060034,P092,Monitor,7.0,31.31,219.17,2021-01-01 00:34:00,South
S060035,P078,Smartphone,4.0,71.88,287.52,2021-01-01 00:35:00,Southeast
S060036,P067,Graphics Card,6.0,60.22,361.32,2021-01-01 00:36:00,North
S060037,P069,External Hard Drive,3.0,6.56,19.68,2021-01-01 00:37:00,East
S060038,P007,USB Flash Drive,7.0,35.19,246.32999999999998,2021-01-01 00:38:00,East
S060039,P077,Smartwatch,7.0,30.65,214.54999999999998,2021-01-01 00:39:00,Southwest
S060040,P087,Router,1.0,79.53,79.53,2021-01-01 00:40:00,Northwest
S060041,P057,Processor,9.0,11.26,101.34,2021-01-01 00:41:00,North
S060042,P011,Camera,6.0,82.36,494.15999999999997,2021-01-01 00:42:00,South
S060043,P012,USB Flash Drive,7.0,10.06,70.42,2021-01-01 00:43:00,West
S060044,P091,Memory Card,7.0,17.21,120.47,2021-01-01 00:44:00,Central
S060045,P067,Office Chair,5.0,62.64,313.2,2021-01-01 00:45:00,Southwest
S060046,P012,USB Flash Drive,2.0,10.06,20.12,2021-01-01 00:46:00,Southeast
S060047,P058,RAM,8.0,32.4,259.2,2021-01-01 00:47:00,North
S060048,P068,Office Chair,8.0,69.89,559.12,2021-01-01 00:48:00,Southeast
S060049,P084,Cooling Fan,5.0,18.61,93.05,2021-01-01 00:49:00,South
S060050,P043,Power Supply,9.0,40.05,360.45,2021-01-01 00:50:00,East
S060051,P039,Tablet,2.0,92.91,185.82,2021-01-01 00:51:00,East
S060052,P099,Laptop,4.0,73.65,294.6,2021-01-01 00:52:00,Northeast
S060053,P057,Mouse,7.0,63.01,441.07,2021-01-01 00:53:00,Northeast
S060054,P042,Case,7.0,9.47,66.29,2021-01-01 00:54:00,Northeast
S060055,P092,Motherboard,9.0,54.24,488.16,2021-01-01 00:55:00,Southeast
S060056,P048,External Hard Drive,3.0,54.23,162.69,2021-01-01 00:56:00,East
S060057,P080,Headphones,4.0,46.69,186.76,2021-01-01 00:57:00,North
S060058,P069,External Hard Drive,2.0,6.56,13.12,2021-01-01 00:58:00,East
S060059,P092,Motherboard,4.0,54.24,216.96,2021-01-01 00:59:00,West
S060060,P080,Smartphone,1.0,97.09,97.09,2021-01-01 01:00:00,Northeast
S060061,P031,Printer,2.0,30.94,61.88,2021-01-01 01:01:00,West
S060062,P067,Office Chair,9.0,62.64,563.76,2021-01-01 01:02:00,East
S060063,P038,Router,7.0,41.42,289.94,2021-01-01 01:03:00,Central
S060064,P012,USB Flash Drive,2.0,10.06,20.12,2021-01-01 01:04:00,South
S060065,P011,Motherboard,1.0,74.84,74.84,2021-01-01 01:05:00,South
S060066,P011,Camera,3.0,82.36,247.07999999999998,2021-01-01 01:06:00,Northwest
S060067,P038,Router,5.0,41.42,207.10000000000002,2021-01-01 01:07:00,Southeast
S060068,P092,Motherboard,5.0,54.24,271.2,2021-01-01 01:08:00,North
S060069,P091,Memory Card,4.0,17.21,68.84,2021-01-01 01:09:00,North
S060070,P067,Graphics Card,4.0,60.22,240.88,2021-01-01 01:10:00,Central
S060071,P094,Mouse,7.0,86.51,605.57,2021-01-01 01:11:00,Northwest
S060072,P019,Keyboard,8.0,74.09,592.72,2021-01-01 01:12:00,West
S060073,P040,Charger,2.0,93.89,187.78,2021-01-01 01:13:00,Southwest
S060074,P038,Router,2.0,41.42,82.84,2021-01-01 01:14:00,Northeast
S060075,P090,Case,9.0,62.27,560.4300000000001,2021-01-01 01:15:00,Northeast
S060076,P035,Smartwatch,1.0,10.02,10.02,2021-01-01 01:16:00,North
S060077,P030,Headphones,6.0,53.25,319.5,2021-01-01 01:17:00,East
S060078,P034,Camera,1.0,61.47,61.47,2021-01-01 01:18:00,Central
S060079,P074,Tablet,6.0,72.89,437.34000000000003,2021-01-01 01:19:00,East
S060080,P099,External Hard Drive,1.0,52.15,52.15,2021-01-01 01:20:00,East
S060081,P010,Memory Card,7.0,29.2,204.4,2021-01-01 01:21:00,Northeast
S060082,P004,Case,7.0,26.55,185.85,2021-01-01 01:22:00,Northeast
S060083,P086,Smartphone,7.0,60.55,423.84999999999997,2021-01-01 01:23:00,North
S060084,P090,Mouse,8.0,17.99,143.92,2021-01-01 01:24:00,East
S060085,P028,Processor,2.0,6.13,12.26,2021-01-01 01:25:00,East
S060086,P096,Headphones,7.0,40.98,286.85999999999996,2021-01-01 01:26:00,South
S060087,P019,Keyboard,2.0,74.09,148.18,2021-01-01 01:27:00,North
S060088,P042,Case,4.0,9.47,37.88,2021-01-01 01:28:00,Central
S060089,P061,Smartwatch,5.0,5.91,29.55,2021-01-01 01:29:00,West
