sale_id,product_id,product_name,quantity,price,total_amount,sale_date,region
S078000,P042,Tablet,4.0,26.68,106.72,2022-01-01 00:00:00,Central
S078001,P081,Laptop,6.0,5.64,33.839999999999996,2022-01-01 00:01:00,South
S078002,P087,Router,4.0,79.53,318.12,2022-01-01 00:02:00,Northeast
S078003,P069,External Hard Drive,4.0,6.56,26.24,2022-01-01 00:03:00,South
S078004,P078,Memory Card,6.0,19.21,115.26,2022-01-01 00:04:00,Northeast
S078005,P082,Router,3.0,73.65,220.95000000000002,2022-01-01 00:05:00,Central
S078006,P035,Smartwatch,2.0,10.02,20.04,2022-01-01 00:06:00,Southwest
S078007,P096,Speaker,4.0,13.66,54.64,2022-01-01 00:07:00,South
S078008,P038,Router,1.0,41.42,41.42,2022-01-01 00:08:00,Central
S078009,P080,Smartphone,3.0,97.09,291.27,2022-01-01 00:09:00,Northwest
S078010,P003,Printer,3.0,73.34,220.02,2022-01-01 00:10:00,Northeast
S078011,P076,RAM,3.0,59.41,178.23,2022-01-01 00:11:00,East
S078012,P092,RAM,7.0,73.51,514.57,2022-01-01 00:12:00,Central
S078013,P069,External Hard Drive,9.0,6.56,59.04,2022-01-01 00:13:00,West
S078014,P004,Case,5.0,26.55,132.75,2022-01-01 00:14:00,South
S078015,P042,Case,7.0,9.47,66.29,2022-01-01 00:15:00,South
S078016,P034,Camera,9.0,61.47,553.23,2022-01-01 00:16:00,North
S078017,P079,Memory Card,3.0,19.07,57.21,2022-01-01 00:17:00,North
S078018,P064,Monitor,5.0,64.39,321.95,2022-01-01 00:18:00,East
S078019,P071,Desk Lamp,5.0,86.66,433.29999999999995,2022-01-01 00:19:00,Northeast
S078020,P064,USB Flash Drive,7.0,55.16,386.12,2022-01-01 00:20:00,Southeast
S078021,P001,Camera,1.0,67.13,67.13,2022-01-01 00:21:00,North
S078022,P010,Mouse,7.0,83.66,585.62,2022-01-01 00:22:00,Northwest
S078023,P099,Laptop,6.0,73.65,441.90000000000003,2022-01-01 00:23:00,Southwest
S078024,P086,Charger,8.0,83.22,665.76,2022-01-01 00:24:00,Northeast
S078025,P003,Printer,7.0,73.34,513.38,2022-01-01 00:25:00,West
S078026,P004,Case,5.0,26.55,132.75,2022-01-01 00:26:00,Northwest
S078027,P042,Tablet,3.0,26.68,80.03999999999999,2022-01-01 00:27:00,North
S078028,P040,Charger,1.0,93.89,93.89,2022-01-01 00:28:00,East
S078029,P081,Laptop,1.0,5.64,5.64,2022-01-01 00:29:00,Northeast
S078030,P036,,3.0,63.54,190.62,2022-01-01 00:30:00,North
S078031,P036,Cooling Fan,2.0,63.54,127.08,2022-01-01 00:31:00,South
S078032,P093,Monitor,7.0,8.44,59.08,2022-01-01 00:32:00,Northwest
S078033,P077,Smartwatch,7.0,30.65,214.54999999999998,2022-01-01 00:33:00,West
S078034,P077,Smartwatch,2.0,30.65,61.3,2022-01-01 00:34:00,Southeast
S078035,P091,Memory Card,1.0,17.21,17.21,2022-01-01 00:35:00,East
S078036,P077,Smartwatch,9.0,30.65,275.84999999999997,2022-01-01 00:36:00,North
S078037,P087,Power Supply,4.0,53.19,212.76,2022-01-01 00:37:00,Northwest
S078038,P092,RAM,5.0,73.51,367.55,2022-01-01 00:38:00,Central
S078039,P067,Office Chair,1.0,62.64,62.64,2022-01-01 00:39:00,Northeast
S078040,P063,Office Chair,9.0,86.83,781.47,2022-01-01 00:40:00,West
S078041,P087,Desk Lamp,4.0,50.93,203.72,2022-01-01 00:41:00,Central
S078042,P096,Headphones,9.0,40.98,368.82,2022-01-01 00:42:00,Southwest
S078043,P091,Graphics Card,5.0,59.5,297.5,2022-01-01 00:43:00,South
S078044,P043,Power Supply,2.0,40.05,80.1,2022-01-01 00:44:00,South
S078045,P095,Graphics Card,3.0,7.4,22.200000000000003,2022-01-01 00:45:00,North
S078046,P003,Printer,6.0,73.34,440.04,2022-01-01 00:46:00,South
S078047,P011,Camera,4.0,82.36,329.44,2022-01-01 00:47:00,North
S078048,P099,Laptop,4.0,73.65,294.6,2022-01-01 00:48:00,Northwest
S078049,P078,Memory Card,3.0,19.21,57.63,2022-01-01 00:49:00,Northeast
S078050,P074,Tablet,4.0,72.89,291.56,2022-01-01 00:50:00,Central
S078051,P096,Speaker,9.0,13.66,122.94,2022-01-01 00:51:00,Central
S078052,P055,RAM,1.0,73.16,73.16,2022-01-01 00:52:00,Central
S078053,P055,RAM,3.0,73.16,219.48,2022-01-01 00:53:00,Northwest
S078054,P035,Smartwatch,5.0,10.02,50.099999999999994,2022-01-01 00:54:00,South
S078055,P044,Laptop,5.0,21.88,109.39999999999999,2022-01-01 00:55:00,Northeast
S078056,P003,Printer,1.0,73.34,73.34,2022-01-01 00:56:00,East
S078057,P061,Cooling Fan,9.0,22.48,202.32,2022-01-01 00:57:00,Northwest
S078058,P087,Desk Lamp,1.0,50.93,50.93,2022-01-01 00:58:00,Southeast
S078059,P080,Headphones,5.0,46.69,233.45,2022-01-01 00:59:00,South
S078060,P046,Camera,2.0,93.21,186.42,2022-01-01 01:00:00,Northeast
S078061,P003,Printer,7.0,73.34,513.38,2022-01-01 01:01:00,Northeast
S078062,P080,Headphones,1.0,46.69,46.69,2022-01-01 01:02:00,South
S078063,P003,Printer,4.0,73.34,293.36,2022-01-01 01:03:00,West
S078064,P003,Printer,1.0,73.34,73.34,2022-01-01 01:04:00,Northeast
S078065,P001,Camera,1.0,67.13,67.13,2022-01-01 01:05:00,Southeast
S078066,P086,Smartphone,2.0,60.55,121.1,2022-01-01 01:06:00,Central
S078067,P039,Speaker,9.0,52.71,474.39,2022-01-01 01:07:00,Northwest
S078068,P087,Router,4.0,79.53,318.12,2022-01-01 01:08:00,Southeast
S078069,P081,Headphones,3.0,71.34,214.02,2022-01-01 01:09:00,West
S078070,P039,Tablet,3.0,92.91,278.73,2022-01-01 01:10:00,Northwest
S078071,P036,Smartphone,9.0,53.28,479.52,2022-01-01 01:11:00,Central
S078072,P019,Keyboard,8.0,74.09,592.72,2022-01-01 01:12:00,North
S078073,P046,Camera,8.0,93.21,745.68,2022-01-01 01:13:00,Southwest
S078074,P096,Speaker,7.0,13.66,95.62,2022-01-01 01:14:00,East
S078075,P082,Router,5.0,73.65,368.25,2022-01-01 01:15:00,North
S078076,P080,Headphones,4.0,46.69,186.76,2022-01-01 01:16:00,East
S078077,P090,Case,8.0,62.27,498.16,2022-01-01 01:17:00,West
S078078,P035,Smartwatch,8.0,10.02,80.16,2022-01-01 01:18:00,Northeast
S078079,P087,Power Supply,2.0,53.19,106.38,2022-01-01 01:19:00,Southwest
