sale_id,product_id,product_name,quantity,price,total_amount,sale_date,region
S072000,P012,USB Flash Drive,8.0,10.06,80.48,2022-01-01 00:00:00,Southwest
S072001,P007,Speaker,9.0,31.42,282.78000000000003,2022-01-01 00:01:00,Central
S072002,P071,Desk Lamp,6.0,86.66,519.96,2022-01-01 00:02:00,Northeast
S072003,P011,USB Flash Drive,4.0,84.94,339.76,2022-01-01 00:03:00,South
S072004,P036,Smartphone,7.0,53.28,372.96000000000004,2022-01-01 00:04:00,East
S072005,P057,Processor,3.0,11.26,33.78,2022-01-01 00:05:00,Northwest
S072006,P034,Camera,6.0,61.47,368.82,2022-01-01 00:06:00,West
S072007,P007,USB Flash Drive,3.0,35.19,105.57,2022-01-01 00:07:00,Northwest
S072008,P087,Desk Lamp,2.0,50.93,101.86,2022-01-01 00:08:00,Southeast
S072009,P073,Keyboard,4.0,88.35,353.4,2022-01-01 00:09:00,North
S072010,P091,Graphics Card,9.0,59.5,535.5,2022-01-01 00:10:00,Southeast
S072011,P081,Laptop,4.0,5.64,22.56,2022-01-01 00:11:00,West
S072012,P093,Power Supply,5.0,87.66,438.29999999999995,2022-01-01 00:12:00,North
S072013,P044,Laptop,2.0,21.88,43.76,2022-01-01 00:13:00,Northeast
S072014,P069,External Hard Drive,6.0,6.56,39.36,2022-01-01 00:14:00,South
S072015,P004,Desk Lamp,1.0,32.63,32.63,2022-01-01 00:15:00,Southwest
S072016,P055,RAM,9.0,73.16,658.4399999999999,2022-01-01 00:16:00,Central
S072017,P074,Tablet,5.0,72.89,364.45,2022-01-01 00:17:00,South
S072018,P081,Laptop,3.0,5.64,16.919999999999998,2022-01-01 00:18:00,Northwest
S072019,P096,Headphones,5.0,40.98,204.89999999999998,2022-01-01 00:19:00,North
S072020,P079,Memory Card,8.0,19.07,152.56,2022-01-01 00:20:00,West
S072021,P078,Memory Card,8.0,19.21,153.68,2022-01-01 00:21:00,North
S072022,P077,Smartwatch,1.0,30.65,30.65,2022-01-01 00:22:00,North
S072023,P057,Mouse,6.0,63.01,378.06,2022-01-01 00:23:00,East
S072024,P080,Smartphone,9.0,97.09,873.8100000000001,2022-01-01 00:24:00,Northeast
S072025,P090,Case,4.0,62.27,249.08,2022-01-01 00:25:00,East
S072026,P064,USB Flash Drive,7.0,55.16,386.12,2022-01-01 00:26:00,South
S072027,P092,Monitor,8.0,31.31,250.48,2022-01-01 00:27:00,Central
S072028,P042,Tablet,8.0,26.68,213.44,2022-01-01 00:28:00,Southeast
S072029,P081,Laptop,2.0,5.64,11.28,2022-01-01 00:29:00,Central
S072030,P091,Graphics Card,7.0,59.5,416.5,2022-01-01 00:30:00,Northeast
S072031,P081,Laptop,7.0,5.64,39.48,2022-01-01 00:31:00,North
S072032,P093,Monitor,9.0,8.44,75.96,2022-01-01 00:32:00,Southeast
S072033,P092,Motherboard,7.0,54.24,379.68,2022-01-01 00:33:00,Northeast
S072034,P081,Laptop,6.0,5.64,33.839999999999996,2022-01-01 00:34:00,West
S072035,P047,Tablet,3.0,77.22,231.66,2022-01-01 00:35:00,South
S072036,P087,Desk Lamp,4.0,50.93,203.72,2022-01-01 00:36:00,East
S072037,P045,Laptop,8.0,16.25,130.0,2022-01-01 00:37:00,South
S072038,P011,Camera,2.0,82.36,164.72,2022-01-01 00:38:00,East
S072039,P007,Charger,6.0,56.55,339.29999999999995,2022-01-01 00:39:00,Central
S072040,P039,Tablet,8.0,92.91,743.28,2022-01-01 00:40:00,Southeast
S072041,P055,RAM,9.0,73.16,658.4399999999999,2022-01-01 00:41:00,Southeast
S072042,P036,Cooling Fan,7.0,63.54,444.78,2022-01-01 00:42:00,South
