sale_id,product_id,product_name,quantity,price,total_amount,sale_date,region
S090000,P090,Mouse,7.0,17.99,125.92999999999999,2022-01-01 00:00:00,South
S090001,P047,Tablet,2.0,77.22,154.44,2022-01-01 00:01:00,East
S090002,P078,Memory Card,8.0,19.21,153.68,2022-01-01 00:02:00,East
S090003,P081,Headphones,4.0,71.34,285.36,2022-01-01 00:03:00,North
S090004,P007,Speaker,1.0,31.42,31.42,2022-01-01 00:04:00,East
S090005,P087,Desk Lamp,3.0,50.93,152.79,2022-01-01 00:05:00,South
S090006,P092,RAM,2.0,73.51,147.02,2022-01-01 00:06:00,West
S090007,P096,Headphones,3.0,40.98,122.94,2022-01-01 00:07:00,West
S090008,P034,Camera,7.0,61.47,430.28999999999996,2022-01-01 00:08:00,South
S090009,P091,Graphics Card,5.0,59.5,297.5,2022-01-01 00:09:00,Northwest
S090010,P093,Power Supply,8.0,87.66,701.28,2022-01-01 00:10:00,Central
S090011,P055,RAM,2.0,73.16,146.32,2022-01-01 00:11:00,Southeast
S090012,P039,Tablet,7.0,92.91,650.37,2022-01-01 00:12:00,Southeast
S090013,P069,Processor,8.0,81.55,652.4,2022-01-01 00:13:00,Southeast
S090014,P046,Camera,4.0,93.21,372.84,2022-01-01 00:14:00,South
S090015,P043,Power Supply,7.0,40.05,280.34999999999997,2022-01-01 00:15:00,East
S090016,P047,Tablet,5.0,77.22,386.1,2022-01-01 00:16:00,Northwest
S090017,P074,Tablet,6.0,72.89,437.34000000000003,2022-01-01 00:17:00,Northwest
S090018,P010,Memory Card,2.0,29.2,58.4,2022-01-01 00:18:00,Northwest
S090019,P003,Printer,6.0,73.34,440.04,2022-01-01 00:19:00,North
S090020,P096,Speaker,4.0,13.66,54.64,2022-01-01 00:20:00,Central
S090021,P091,Keyboard,2.0,61.6,123.2,2022-01-01 00:21:00,Northeast
S090022,P003,Printer,4.0,73.34,293.36,2022-01-01 00:22:00,East
S090023,P042,Case,9.0,9.47,85.23,2022-01-01 00:23:00,South
S090024,P064,Monitor,7.0,64.39,450.73,2022-01-01 00:24:00,South
S090025,P003,Printer,1.0,73.34,73.34,2022-01-01 00:25:00,Central
S090026,P068,Office Chair,5.0,69.89,349.45,2022-01-01 00:26:00,South
S090027,P013,Smartwatch,1.0,97.97,97.97,2022-01-01 00:27:00,Central
S090028,P093,Power Supply,9.0,87.66,788.9399999999999,2022-01-01 00:28:00,Northwest
S090029,P012,Cooling Fan,2.0,77.17,154.34,2022-01-01 00:29:00,North
S090030,P081,Headphones,3.0,71.34,214.02,2022-01-01 00:30:00,North
S090031,P078,Smartphone,9.0,71.88,646.92,2022-01-01 00:31:00,Southwest
S090032,P007,Charger,2.0,56.55,113.1,2022-01-01 00:32:00,Southwest
S090033,P011,Camera,7.0,82.36,576.52,2022-01-01 00:33:00,West
S090034,P073,Keyboard,2.0,88.35,176.7,2022-01-01 00:34:00,Northwest
S090035,P081,Laptop,1.0,5.64,5.64,2022-01-01 00:35:00,Northwest
S090036,P090,Mouse,5.0,17.99,89.94999999999999,2022-01-01 00:36:00,Southwest
S090037,P074,Tablet,1.0,72.89,72.89,2022-01-01 00:37:00,South
S090038,P094,Motherboard,6.0,58.66,351.96,2022-01-01 00:38:00,Southwest
S090039,P065,Processor,3.0,77.36,232.07999999999998,2022-01-01 00:39:00,Southwest
S090040,P096,Speaker,2.0,13.66,27.32,2022-01-01 00:40:00,West
S090041,P087,Router,1.0,79.53,79.53,2022-01-01 00:41:00,Southeast
S090042,P030,Headphones,8.0,53.25,426.0,2022-01-01 00:42:00,Central
S090043,P087,Power Supply,8.0,53.19,425.52,2022-01-01 00:43:00,East
S090044,P047,Printer,,53.17,478.53000000000003,2022-01-01 00:44:00,Northwest
S090045,P012,USB Flash Drive,1.0,10.06,10.06,2022-01-01 00:45:00,South
S090046,P087,Router,5.0,79.53,397.65,2022-01-01 00:46:00,Northwest
S090047,P092,RAM,3.0,73.51,220.53000000000003,2022-01-01 00:47:00,West
S090048,P073,Keyboard,7.0,88.35,618.4499999999999,2022-01-01 00:48:00,North
S090049,P094,Mouse,4.0,86.51,346.04,2022-01-01 00:49:00,Central
S090050,P091,Memory Card,6.0,17.21,103.26,2022-01-01 00:50:00,Central
S090051,P078,Memory Card,7.0,19.21,134.47,2022-01-01 00:51:00,East
S090052,P004,Desk Lamp,1.0,32.63,32.63,2022-01-01 00:52:00,West
S090053,P096,Headphones,6.0,,245.88,2022-01-01 00:53:00,Southwest
S090054,P099,Laptop,6.0,73.65,441.90000000000003,2022-01-01 00:54:00,Southwest
S090055,P077,Speaker,4.0,42.61,170.44,2022-01-01 00:55:00,Central
S090056,P087,Power Supply,6.0,53.19,319.14,2022-01-01 00:56:00,North
S090057,P036,Smartphone,2.0,53.28,106.56,2022-01-01 00:57:00,Central
S090058,P058,RAM,8.0,32.4,259.2,2022-01-01 00:58:00,Northeast
S090059,P065,Processor,8.0,77.36,618.88,2022-01-01 00:59:00,Southwest
S090060,P078,Memory Card,7.0,19.21,134.47,2022-01-01 01:00:00,Central
S090061,P038,Router,3.0,41.42,124.26,2022-01-01 01:01:00,North
S090062,P007,USB Flash Drive,4.0,35.19,140.76,2022-01-01 01:02:00,Northeast
S090063,P067,Graphics Card,2.0,60.22,120.44,2022-01-01 01:03:00,North
S090064,P061,Smartwatch,9.0,5.91,53.19,2022-01-01 01:04:00,East
S090065,P090,Case,8.0,62.27,498.16,2022-01-01 01:05:00,Central
S090066,P028,Processor,9.0,6.13,55.17,2022-01-01 01:06:00,West
S090067,P066,External Hard Drive,7.0,89.28,624.96,2022-01-01 01:07:00,Northeast
S090068,P044,Laptop,8.0,21.88,175.04,2022-01-01 01:08:00,Southeast
S090069,P015,Router,7.0,71.26,498.82000000000005,2022-01-01 01:09:00,East
S090070,P069,External Hard Drive,6.0,6.56,39.36,2022-01-01 01:10:00,Central
S090071,P078,Memory Card,6.0,19.21,115.26,2022-01-01 01:11:00,Southeast
S090072,P061,Graphics Card,3.0,24.77,74.31,2022-01-01 01:12:00,East
S090073,P092,Monitor,3.0,31.31,93.92999999999999,2022-01-01 01:13:00,North
S090074,P090,Mouse,7.0,17.99,125.92999999999999,2022-01-01 01:14:00,Northeast
S090075,P007,Speaker,2.0,31.42,62.84,2022-01-01 01:15:00,Southwest
S090076,P087,Desk Lamp,7.0,50.93,356.51,2022-01-01 01:16:00,West
S090077,P028,Processor,2.0,6.13,12.26,2022-01-01 01:17:00,Northwest
S090078,P099,Laptop,2.0,73.65,,2022-01-01 01:18:00,Southwest
S090079,P090,Mouse,1.0,17.99,17.99,,North
S090080,P081,Printer,8.0,12.94,103.52,2022-01-01 01:20:00,West
S090081,P084,Cooling Fan,5.0,18.61,93.05,2022-01-01 01:21:00,East
S090082,P097,Keyboard,7.0,33.56,234.92000000000002,2022-01-01 01:22:00,Southeast
S090083,P007,USB Flash Drive,2.0,35.19,70.38,2022-01-01 01:23:00,North
S090084,P047,Tablet,5.0,77.22,386.1,2022-01-01 01:24:00,East
S090085,P012,Cooling Fan,8.0,77.17,617.36,2022-01-01 01:25:00,West
S090086,P019,Keyboard,9.0,74.09,666.8100000000001,2022-01-01 01:26:00,East
S090087,P055,RAM,7.0,73.16,512.12,2022-01-01 01:27:00,North
S090088,P096,Charger,6.0,55.81,334.86,2022-01-01 01:28:00,West
S090089,P055,RAM,7.0,73.16,512.12,2022-01-01 01:29:00,Central
S090090,P036,Cooling Fan,5.0,63.54,317.7,2022-01-01 01:30:00,Southwest
S090091,P064,USB Flash Drive,1.0,55.16,55.16,2022-01-01 01:31:00,Southeast
S090092,P095,Graphics Card,1.0,7.4,7.4,2022-01-01 01:32:00,Northeast
S090093,P092,RAM,5.0,73.51,367.55,2022-01-01 01:33:00,Southwest
S090094,P071,Desk Lamp,7.0,86.66,606.62,2022-01-01 01:34:00,Southwest
S090095,P090,Case,1.0,62.27,62.27,2022-01-01 01:35:00,Southwest
S090096,P010,Desk Lamp,8.0,75.29,602.32,2022-01-01 01:36:00,East
S090097,P048,External Hard Drive,2.0,54.23,108.46,2022-01-01 01:37:00,Southeast
S090098,P057,Mouse,8.0,63.01,504.08,2022-01-01 01:38:00,Northeast
S090099,P011,Camera,3.0,82.36,247.07999999999998,2022-01-01 01:39:00,Northeast
S090100,P061,Cooling Fan,5.0,22.48,112.4,2022-01-01 01:40:00,Southeast
S090101,P010,Memory Card,8.0,29.2,233.6,2022-01-01 01:41:00,Southwest
S090102,P095,Graphics Card,2.0,7.4,14.8,2022-01-01 01:42:00,North
S090103,P025,Power Supply,8.0,45.08,360.64,2022-01-01 01:43:00,Northeast
S090104,P066,External Hard Drive,8.0,89.28,714.24,2022-01-01 01:44:00,Central
S090105,P076,RAM,1.0,59.41,59.41,2022-01-01 01:45:00,Southeast
S090106,P091,Graphics Card,8.0,59.5,476.0,2022-01-01 01:46:00,Southwest
S090107,P065,Processor,1.0,77.36,77.36,2022-01-01 01:47:00,East
S090108,P097,Keyboard,2.0,33.56,67.12,2022-01-01 01:48:00,Southwest
S090109,P077,Smartwatch,7.0,30.65,214.54999999999998,2022-01-01 01:49:00,East
S090110,P039,Monitor,6.0,98.24,589.4399999999999,2022-01-01 01:50:00,Southwest
S090111,P096,Speaker,5.0,13.66,68.3,2022-01-01 01:51:00,Northeast
S090112,P076,RAM,5.0,59.41,297.04999999999995,2022-01-01 01:52:00,Central
S090113,P087,Desk Lamp,4.0,50.93,203.72,2022-01-01 01:53:00,Southwest
S090114,P004,Desk Lamp,7.0,32.63,228.41000000000003,2022-01-01 01:54:00,Southeast
S090115,P047,Printer,1.0,53.17,53.17,2022-01-01 01:55:00,South
S090116,P067,Office Chair,1.0,62.64,62.64,2022-01-01 01:56:00,West
S090117,P064,USB Flash Drive,6.0,55.16,330.96,2022-01-01 01:57:00,East
S090118,P079,Memory Card,8.0,19.07,152.56,2022-01-01 01:58:00,Southeast
S090119,P015,Router,1.0,71.26,71.26,2022-01-01 01:59:00,Northwest
S090120,P078,Memory Card,4.0,19.21,76.84,2022-01-01 02:00:00,West
S090121,P094,Mouse,8.0,86.51,692.08,2022-01-01 02:01:00,West
S090122,P046,Camera,6.0,93.21,559.26,2022-01-01 02:02:00,Northwest
S090123,P047,Printer,3.0,53.17,159.51,2022-01-01 02:03:00,Southwest
S090124,P057,Processor,2.0,11.26,22.52,2022-01-01 02:04:00,Central
S090125,P092,Monitor,2.0,31.31,62.62,2022-01-01 02:05:00,Southwest
S090126,P093,Monitor,3.0,8.44,25.32,2022-01-01 02:06:00,Northwest
S090127,P092,Motherboard,8.0,54.24,433.92,2022-01-01 02:07:00,Northeast
S090128,P092,RAM,6.0,73.51,441.06000000000006,2022-01-01 02:08:00,Northwest
S090129,P074,Tablet,4.0,72.89,291.56,2022-01-01 02:09:00,West
S090130,P067,Graphics Card,4.0,60.22,240.88,2022-01-01 02:10:00,West
S090131,P069,External Hard Drive,6.0,6.56,39.36,2022-01-01 02:11:00,West
S090132,P086,Charger,7.0,83.22,582.54,2022-01-01 02:12:00,East
S090133,P046,Camera,5.0,93.21,466.04999999999995,2022-01-01 02:13:00,South
S090134,P074,Tablet,4.0,72.89,291.56,2022-01-01 02:14:00,West
S090135,P082,Router,8.0,73.65,589.2,2022-01-01 02:15:00,North
S090136,P030,Headphones,3.0,53.25,159.75,2022-01-01 02:16:00,Southwest
S090137,P040,Charger,4.0,93.89,375.56,2022-01-01 02:17:00,Northwest
S090138,P046,Camera,7.0,93.21,652.4699999999999,2022-01-01 02:18:00,Southeast
S090139,P082,Router,5.0,73.65,368.25,2022-01-01 02:19:00,Central
S090140,P013,Smartwatch,9.0,97.97,881.73,2022-01-01 02:20:00,West
S090141,P064,Monitor,4.0,64.39,257.56,2022-01-01 02:21:00,South
S090142,P067,Graphics Card,1.0,60.22,60.22,2022-01-01 02:22:00,Northeast
S090143,P007,Charger,5.0,56.55,282.75,2022-01-01 02:23:00,Southwest
S090144,P096,Speaker,8.0,13.66,109.28,2022-01-01 02:24:00,South
S090145,P011,USB Flash Drive,2.0,84.94,169.88,2022-01-01 02:25:00,Central
S090146,P035,Smartwatch,9.0,10.02,90.17999999999999,2022-01-01 02:26:00,East
S090147,P081,Laptop,4.0,5.64,22.56,2022-01-01 02:27:00,Southeast
S090148,P067,Office Chair,2.0,62.64,125.28,2022-01-01 02:28:00,West
S090149,P042,Tablet,9.0,26.68,240.12,2022-01-01 02:29:00,Northeast
S090150,P034,Camera,4.0,61.47,245.88,2022-01-01 02:30:00,East
S090151,P012,Cooling Fan,4.0,77.17,,2022-01-01 02:31:00,West
S090152,P039,Speaker,6.0,52.71,316.26,2022-01-01 02:32:00,Southwest
S090153,P085,Motherboard,6.0,92.32,553.92,2022-01-01 02:33:00,Southwest
S090154,P091,Memory Card,9.0,17.21,154.89000000000001,2022-01-01 02:34:00,Southwest
S090155,P079,Memory Card,6.0,19.07,114.42,2022-01-01 02:35:00,North
S090156,P079,Memory Card,2.0,19.07,38.14,2022-01-01 02:36:00,Southeast
S090157,P042,Tablet,9.0,26.68,240.12,2022-01-01 02:37:00,Northeast
S090158,P079,Memory Card,4.0,19.07,76.28,2022-01-01 02:38:00,South
S090159,P091,Memory Card,3.0,17.21,51.63,2022-01-01 02:39:00,Northwest
S090160,P090,Case,8.0,62.27,498.16,2022-01-01 02:40:00,Northeast
S090161,P099,External Hard Drive,8.0,52.15,417.2,2022-01-01 02:41:00,North
S090162,P076,RAM,4.0,59.41,237.64,2022-01-01 02:42:00,Southwest
S090163,P057,Mouse,7.0,63.01,441.07,2022-01-01 02:43:00,South
S090164,P087,Desk Lamp,1.0,50.93,50.93,2022-01-01 02:44:00,Central
S090165,P012,USB Flash Drive,4.0,10.06,40.24,2022-01-01 02:45:00,Northwest
S090166,P085,Motherboard,2.0,92.32,184.64,2022-01-01 02:46:00,West
S090167,P045,Laptop,5.0,16.25,81.25,2022-01-01 02:47:00,Northwest
S090168,P071,Desk Lamp,8.0,86.66,693.28,2022-01-01 02:48:00,East
S090169,P047,Tablet,9.0,77.22,694.98,2022-01-01 02:49:00,East
S090170,P028,Processor,5.0,6.13,30.65,2022-01-01 02:50:00,Southeast
S090171,P046,Camera,8.0,93.21,745.68,2022-01-01 02:51:00,Central
S090172,P061,Cooling Fan,5.0,22.48,112.4,2022-01-01 02:52:00,Central
S090173,P058,RAM,5.0,32.4,162.0,2022-01-01 02:53:00,Southwest
S090174,P012,Cooling Fan,2.0,77.17,154.34,2022-01-01 02:54:00,Central
S090175,P095,Graphics Card,7.0,7.4,51.800000000000004,2022-01-01 02:55:00,Southwest
S090176,P039,Speaker,5.0,52.71,263.55,2022-01-01 02:56:00,South
S090177,P065,Processor,5.0,77.36,386.8,2022-01-01 02:57:00,North
S090178,P091,Keyboard,3.0,61.6,184.8,2022-01-01 02:58:00,Central
S090179,P067,Office Chair,4.0,62.64,250.56,2022-01-01 02:59:00,Southeast
S090180,P065,Processor,3.0,77.36,232.07999999999998,2022-01-01 03:00:00,Southwest
S090181,P039,Speaker,8.0,52.71,421.68,2022-01-01 03:01:00,Northeast
S090182,P093,Power Supply,8.0,87.66,701.28,2022-01-01 03:02:00,South
S090183,P086,Charger,9.0,83.22,748.98,2022-01-01 03:03:00,East
S090184,P092,RAM,4.0,73.51,294.04,2022-01-01 03:04:00,Northeast
