sale_id,product_id,product_name,quantity,price,total_amount,sale_date,region
S126000,P010,Desk Lamp,1.0,75.29,75.29,2022-01-01 00:00:00,South
S126001,P092,Motherboard,2.0,54.24,108.48,2022-01-01 00:01:00,Southwest
S126002,P066,External Hard Drive,1.0,89.28,89.28,2022-01-01 00:02:00,South
S126003,P019,Keyboard,6.0,74.09,444.54,2022-01-01 00:03:00,East
S126004,P030,Headphones,9.0,53.25,479.25,2022-01-01 00:04:00,Southwest
S126005,P057,Mouse,9.0,63.01,567.09,2022-01-01 00:05:00,East
S126006,P047,Printer,1.0,53.17,53.17,2022-01-01 00:06:00,East
S126007,P092,Motherboard,5.0,54.24,271.2,2022-01-01 00:07:00,North
S126008,P085,Motherboard,4.0,92.32,369.28,2022-01-01 00:08:00,East
S126009,P004,Desk Lamp,1.0,32.63,32.63,2022-01-01 00:09:00,Northeast
S126010,P066,External Hard Drive,7.0,89.28,624.96,2022-01-01 00:10:00,Southwest
S126011,P085,Motherboard,3.0,92.32,276.96,2022-01-01 00:11:00,West
S126012,P004,Desk Lamp,5.0,32.63,163.15,2022-01-01 00:12:00,Central
S126013,P074,Tablet,8.0,72.89,583.12,2022-01-01 00:13:00,Southeast
S126014,P092,Monitor,1.0,31.31,31.31,2022-01-01 00:14:00,North
S126015,P067,Graphics Card,8.0,60.22,481.76,2022-01-01 00:15:00,Northeast
S126016,P013,Smartwatch,7.0,97.97,685.79,2022-01-01 00:16:00,Central
S126017,P010,Desk Lamp,2.0,75.29,150.58,2022-01-01 00:17:00,Northwest
S126018,P081,Laptop,3.0,5.64,16.919999999999998,2022-01-01 00:18:00,East
S126019,P064,USB Flash Drive,4.0,55.16,220.64,2022-01-01 00:19:00,West
S126020,P042,Case,7.0,9.47,66.29,2022-01-01 00:20:00,Northwest
S126021,P067,Graphics Card,6.0,60.22,361.32,2022-01-01 00:21:00,West
S126022,P035,Smartwatch,7.0,10.02,70.14,2022-01-01 00:22:00,Northeast
S126023,P068,Office Chair,8.0,69.89,559.12,2022-01-01 00:23:00,Northeast
S126024,P091,Memory Card,7.0,17.21,120.47,2022-01-01 00:24:00,North
S126025,P069,External Hard Drive,2.0,6.56,13.12,2022-01-01 00:25:00,Northwest
S126026,P079,Memory Card,2.0,19.07,38.14,2022-01-01 00:26:00,East
S126027,P093,Monitor,8.0,8.44,67.52,2022-01-01 00:27:00,North
S126028,P078,Memory Card,5.0,19.21,,2022-01-01 00:28:00,West
S126029,P087,Router,2.0,79.53,159.06,2022-01-01 00:29:00,South
S126030,P058,RAM,7.0,32.4,226.79999999999998,2022-01-01 00:30:00,West
S126031,P007,USB Flash Drive,5.0,35.19,175.95,2022-01-01 00:31:00,Southwest
S126032,P040,Charger,2.0,93.89,187.78,2022-01-01 00:32:00,Northeast
S126033,P064,USB Flash Drive,2.0,55.16,110.32,2022-01-01 00:33:00,Northwest
S126034,P034,Camera,8.0,61.47,491.76,2022-01-01 00:34:00,East
S126035,P090,Case,7.0,62.27,435.89000000000004,2022-01-01 00:35:00,Northwest
S126036,P007,Speaker,8.0,31.42,251.36,2022-01-01 00:36:00,Southeast
S126037,P001,Camera,6.0,67.13,402.78,2022-01-01 00:37:00,North
S126038,P082,Router,2.0,73.65,147.3,2022-01-01 00:38:00,South
S126039,P019,Keyboard,6.0,74.09,444.54,2022-01-01 00:39:00,Northeast
S126040,P092,Monitor,2.0,31.31,62.62,2022-01-01 00:40:00,Southeast
S126041,P001,Camera,5.0,67.13,335.65,2022-01-01 00:41:00,Central
S126042,P011,USB Flash Drive,7.0,84.94,594.5799999999999,2022-01-01 00:42:00,Southeast
S126043,P012,USB Flash Drive,7.0,10.06,70.42,2022-01-01 00:43:00,Southeast
S126044,P064,USB Flash Drive,1.0,55.16,55.16,2022-01-01 00:44:00,Northwest
S126045,P025,Power Supply,3.0,45.08,135.24,2022-01-01 00:45:00,Northwest
S126046,P038,Router,6.0,41.42,248.52,2022-01-01 00:46:00,East
S126047,P019,Keyboard,8.0,74.09,592.72,2022-01-01 00:47:00,Southwest
S126048,P039,Monitor,5.0,98.24,491.2,2022-01-01 00:48:00,North
S126049,P025,Power Supply,8.0,45.08,360.64,2022-01-01 00:49:00,Northwest
S126050,P066,External Hard Drive,9.0,89.28,803.52,2022-01-01 00:50:00,East
S126051,P030,Headphones,4.0,53.25,213.0,2022-01-01 00:51:00,Southwest
S126052,P078,Memory Card,9.0,19.21,172.89000000000001,2022-01-01 00:52:00,Southeast
S126053,P096,Headphones,4.0,40.98,163.92,2022-01-01 00:53:00,North
S126054,P038,Router,9.0,41.42,372.78000000000003,2022-01-01 00:54:00,Northeast
S126055,P063,Office Chair,6.0,86.83,520.98,2022-01-01 00:55:00,South
S126056,P028,Processor,5.0,6.13,30.65,2022-01-01 00:56:00,East
S126057,P065,Processor,1.0,77.36,77.36,2022-01-01 00:57:00,West
S126058,P067,Office Chair,2.0,62.64,125.28,2022-01-01 00:58:00,Northeast
S126059,P035,Smartwatch,2.0,10.02,20.04,2022-01-01 00:59:00,South
S126060,P036,Smartphone,9.0,53.28,479.52,2022-01-01 01:00:00,Northwest
S126061,P092,Motherboard,7.0,54.24,379.68,2022-01-01 01:01:00,East
S126062,P095,Graphics Card,4.0,7.4,29.6,2022-01-01 01:02:00,Central
S126063,P004,Desk Lamp,7.0,32.63,228.41000000000003,2022-01-01 01:03:00,South
S126064,P061,Graphics Card,2.0,24.77,49.54,2022-01-01 01:04:00,South
S126065,P093,Power Supply,7.0,87.66,613.62,2022-01-01 01:05:00,Central
S126066,P077,Speaker,9.0,42.61,383.49,2022-01-01 01:06:00,Southeast
S126067,P010,Desk Lamp,1.0,75.29,75.29,2022-01-01 01:07:00,Southeast
S126068,P003,Printer,9.0,73.34,660.0600000000001,2022-01-01 01:08:00,Northwest
S126069,P012,USB Flash Drive,6.0,10.06,60.36,2022-01-01 01:09:00,Northeast
S126070,P045,Laptop,7.0,16.25,113.75,2022-01-01 01:10:00,Central
S126071,P061,Graphics Card,7.0,24.77,173.39,2022-01-01 01:11:00,Southwest
S126072,P092,Motherboard,3.0,54.24,162.72,,West
S126073,P019,Keyboard,4.0,74.09,296.36,2022-01-01 01:13:00,East
S126074,P082,Router,4.0,73.65,294.6,2022-01-01 01:14:00,Southwest
S126075,P057,Processor,2.0,11.26,22.52,2022-01-01 01:15:00,Central
S126076,P087,Router,4.0,79.53,318.12,2022-01-01 01:16:00,Northeast
S126077,P039,Monitor,5.0,98.24,491.2,2022-01-01 01:17:00,Southwest
S126078,P090,Case,4.0,62.27,249.08,2022-01-01 01:18:00,Southeast
S126079,P082,Router,7.0,73.65,515.5500000000001,2022-01-01 01:19:00,Southwest
S126080,P080,Smartphone,1.0,97.09,97.09,2022-01-01 01:20:00,North
S126081,P061,Cooling Fan,4.0,22.48,89.92,2022-01-01 01:21:00,Southeast
S126082,P004,Desk Lamp,3.0,32.63,97.89000000000001,2022-01-01 01:22:00,South
S126083,P064,Monitor,2.0,64.39,128.78,2022-01-01 01:23:00,Southeast
S126084,P045,Laptop,5.0,16.25,81.25,2022-01-01 01:24:00,South
S126085,P007,Speaker,4.0,31.42,125.68,2022-01-01 01:25:00,Southwest
S126086,P067,Graphics Card,5.0,60.22,301.1,2022-01-01 01:26:00,West
S126087,P064,USB Flash Drive,1.0,55.16,55.16,2022-01-01 01:27:00,North
S126088,P065,Processor,5.0,77.36,386.8,2022-01-01 01:28:00,South
