sale_id,product_id,product_name,quantity,price,total_amount,sale_date,region
S156000,P094,Motherboard,3.0,58.66,175.98,2023-01-01 00:00:00,Southwest
S156001,P087,Desk Lamp,6.0,50.93,305.58,2023-01-01 00:01:00,Northwest
S156002,P076,RAM,7.0,59.41,415.87,2023-01-01 00:02:00,Southeast
S156003,P092,Monitor,9.0,31.31,281.78999999999996,2023-01-01 00:03:00,Northwest
S156004,P045,Laptop,6.0,16.25,97.5,2023-01-01 00:04:00,West
S156005,P055,Office Chair,9.0,67.62,608.58,2023-01-01 00:05:00,East
S156006,P046,Camera,1.0,93.21,93.21,2023-01-01 00:06:00,East
S156007,P094,Motherboard,1.0,58.66,58.66,2023-01-01 00:07:00,Southwest
S156008,P048,Case,2.0,13.81,27.62,2023-01-01 00:08:00,South
S156009,P031,Printer,2.0,30.94,61.88,2023-01-01 00:09:00,West
S156010,P077,Speaker,5.0,42.61,213.05,2023-01-01 00:10:00,East
S156011,P092,Monitor,5.0,31.31,156.54999999999998,2023-01-01 00:11:00,Central
S156012,P099,Laptop,3.0,73.65,220.95000000000002,2023-01-01 00:12:00,Southeast
S156013,P042,Case,6.0,9.47,56.82000000000001,2023-01-01 00:13:00,Northwest
S156014,P034,Camera,9.0,61.47,553.23,2023-01-01 00:14:00,Southeast
S156015,P081,Headphones,6.0,71.34,428.04,2023-01-01 00:15:00,Central
S156016,P079,Memory Card,2.0,19.07,38.14,2023-01-01 00:16:00,Southeast
S156017,P030,Headphones,1.0,53.25,53.25,2023-01-01 00:17:00,Southeast
S156018,P035,Smartwatch,5.0,10.02,50.099999999999994,2023-01-01 00:18:00,Northwest
S156019,P036,Smartphone,8.0,53.28,426.24,2023-01-01 00:19:00,Northeast
S156020,P043,Power Supply,2.0,40.05,80.1,2023-01-01 00:20:00,Southwest
S156021,P042,Case,6.0,9.47,56.82000000000001,2023-01-01 00:21:00,Northeast
S156022,P069,Processor,9.0,81.55,733.9499999999999,2023-01-01 00:22:00,Northeast
S156023,P085,Motherboard,3.0,92.32,276.96,2023-01-01 00:23:00,Northwest
S156024,P025,Power Supply,5.0,45.08,225.39999999999998,2023-01-01 00:24:00,South
S156025,P099,External Hard Drive,1.0,52.15,52.15,2023-01-01 00:25:00,Central
S156026,P057,Processor,6.0,11.26,67.56,2023-01-01 00:26:00,Northeast
S156027,P081,Laptop,5.0,5.64,28.2,2023-01-01 00:27:00,Central
S156028,P028,Processor,2.0,6.13,12.26,2023-01-01 00:28:00,Central
S156029,P091,Memory Card,2.0,17.21,34.42,2023-01-01 00:29:00,Northwest
