sale_id,product_id,product_name,quantity,price,total_amount,sale_date,region
S180000,P099,External Hard Drive,4.0,52.15,208.6,2023-01-01 00:00:00,South
S180001,P064,,9.0,55.16,496.43999999999994,2023-01-01 00:01:00,Southeast
S180002,P077,Speaker,7.0,42.61,298.27,2023-01-01 00:02:00,Southwest
S180003,P085,Motherboard,2.0,92.32,184.64,2023-01-01 00:03:00,Northeast
S180004,P061,Graphics Card,7.0,24.77,173.39,2023-01-01 00:04:00,East
S180005,P011,USB Flash Drive,1.0,84.94,84.94,2023-01-01 00:05:00,East
S180006,P055,RAM,6.0,73.16,438.96,2023-01-01 00:06:00,Southwest
S180007,P094,Mouse,1.0,86.51,86.51,2023-01-01 00:07:00,East
S180008,P069,External Hard Drive,3.0,6.56,19.68,2023-01-01 00:08:00,Southwest
S180009,P074,Tablet,5.0,72.89,364.45,2023-01-01 00:09:00,North
S180010,P068,Office Chair,9.0,69.89,629.01,2023-01-01 00:10:00,Southeast
S180011,P042,Tablet,6.0,26.68,160.07999999999998,2023-01-01 00:11:00,East
S180012,P066,External Hard Drive,5.0,89.28,446.4,2023-01-01 00:12:00,Northeast
S180013,P039,Tablet,7.0,92.91,650.37,2023-01-01 00:13:00,Southeast
S180014,P064,Monitor,8.0,64.39,515.12,2023-01-01 00:14:00,Northeast
S180015,P097,Keyboard,5.0,33.56,167.8,2023-01-01 00:15:00,South
S180016,P068,Office Chair,3.0,69.89,209.67000000000002,2023-01-01 00:16:00,Southeast
S180017,P069,External Hard Drive,9.0,6.56,59.04,2023-01-01 00:17:00,Southwest
S180018,P057,Mouse,4.0,63.01,252.04,2023-01-01 00:18:00,North
S180019,P057,Mouse,6.0,63.01,378.06,2023-01-01 00:19:00,Central
S180020,P064,Monitor,6.0,64.39,386.34000000000003,2023-01-01 00:20:00,Northeast
S180021,P079,Memory Card,2.0,19.07,38.14,2023-01-01 00:21:00,Central
S180022,P094,,1.0,58.66,58.66,2023-01-01 00:22:00,Central
S180023,P097,Keyboard,3.0,33.56,100.68,2023-01-01 00:23:00,South
S180024,P030,Headphones,7.0,53.25,372.75,2023-01-01 00:24:00,Northwest
S180025,P055,RAM,5.0,73.16,365.79999999999995,2023-01-01 00:25:00,East
S180026,P001,Camera,8.0,67.13,537.04,2023-01-01 00:26:00,Northeast
S180027,P007,Charger,4.0,56.55,226.2,2023-01-01 00:27:00,East
