sale_id,product_id,product_name,quantity,price,total_amount,sale_date,region
S192000,P010,Memory Card,4.0,29.2,116.8,2023-01-01 00:00:00,North
S192001,P074,Tablet,9.0,72.89,656.01,2023-01-01 00:01:00,North
S192002,P034,Camera,7.0,61.47,430.28999999999996,2023-01-01 00:02:00,Central
S192003,P040,Charger,9.0,93.89,845.01,2023-01-01 00:03:00,West
S192004,P096,Headphones,2.0,40.98,81.96,2023-01-01 00:04:00,South
S192005,P071,Desk Lamp,,86.66,346.64,2023-01-01 00:05:00,East
S192006,P074,Tablet,9.0,72.89,656.01,2023-01-01 00:06:00,Central
S192007,P080,Headphones,7.0,46.69,326.83,2023-01-01 00:07:00,West
S192008,P099,Laptop,3.0,73.65,220.95000000000002,2023-01-01 00:08:00,Northwest
S192009,P079,Memory Card,,19.07,76.28,2023-01-01 00:09:00,South
S192010,P015,Router,6.0,71.26,427.56000000000006,2023-01-01 00:10:00,Central
S192011,P074,Tablet,4.0,72.89,291.56,2023-01-01 00:11:00,North
S192012,P010,Mouse,7.0,83.66,585.62,2023-01-01 00:12:00,Central
S192013,P036,Cooling Fan,8.0,63.54,508.32,2023-01-01 00:13:00,Central
S192014,P094,Mouse,1.0,86.51,86.51,2023-01-01 00:14:00,West
S192015,P086,Charger,6.0,83.22,499.32,2023-01-01 00:15:00,Central
S192016,P081,Headphones,9.0,71.34,642.0600000000001,2023-01-01 00:16:00,East
S192017,P093,Monitor,2.0,8.44,16.88,2023-01-01 00:17:00,North
S192018,P091,Memory Card,2.0,17.21,34.42,2023-01-01 00:18:00,East
S192019,P069,External Hard Drive,5.0,6.56,32.8,2023-01-01 00:19:00,North
S192020,P064,USB Flash Drive,8.0,55.16,441.28,2023-01-01 00:20:00,North
S192021,P094,Motherboard,,58.66,527.9399999999999,2023-01-01 00:21:00,West
S192022,P073,Keyboard,5.0,88.35,441.75,2023-01-01 00:22:00,East
S192023,P001,Camera,8.0,67.13,537.04,2023-01-01 00:23:00,Southwest
S192024,P067,Graphics Card,4.0,60.22,240.88,2023-01-01 00:24:00,Southwest
S192025,P065,Processor,7.0,77.36,541.52,2023-01-01 00:25:00,North
S192026,P064,USB Flash Drive,9.0,55.16,496.43999999999994,2023-01-01 00:26:00,Northeast
S192027,P092,Motherboard,1.0,54.24,54.24,2023-01-01 00:27:00,Southwest
S192028,P004,Desk Lamp,5.0,32.63,163.15,2023-01-01 00:28:00,West
S192029,P087,Desk Lamp,6.0,50.93,305.58,2023-01-01 00:29:00,West
S192030,P099,Laptop,2.0,73.65,147.3,2023-01-01 00:30:00,South
S192031,P071,Desk Lamp,7.0,86.66,606.62,2023-01-01 00:31:00,Central
S192032,P081,Laptop,6.0,5.64,33.839999999999996,2023-01-01 00:32:00,Northeast
S192033,P061,Graphics Card,2.0,24.77,49.54,2023-01-01 00:33:00,East
S192034,P063,Office Chair,6.0,86.83,520.98,2023-01-01 00:34:00,North
S192035,P057,Mouse,4.0,63.01,252.04,2023-01-01 00:35:00,Southeast
S192036,P057,Processor,1.0,11.26,11.26,2023-01-01 00:36:00,Southwest
S192037,P093,Power Supply,2.0,87.66,175.32,2023-01-01 00:37:00,Southeast
S192038,P035,Smartwatch,9.0,10.02,90.17999999999999,2023-01-01 00:38:00,North
S192039,P044,Laptop,4.0,21.88,87.52,2023-01-01 00:39:00,Northeast
S192040,P015,Router,5.0,71.26,356.3,2023-01-01 00:40:00,East
S192041,P096,Headphones,7.0,40.98,286.85999999999996,2023-01-01 00:41:00,Southwest
S192042,P084,Cooling Fan,4.0,18.61,74.44,2023-01-01 00:42:00,West
S192043,P055,Office Chair,4.0,67.62,270.48,2023-01-01 00:43:00,Northwest
S192044,P007,USB Flash Drive,9.0,35.19,316.71,2023-01-01 00:44:00,South
S192045,P080,Smartphone,1.0,97.09,97.09,2023-01-01 00:45:00,Southeast
S192046,P071,Desk Lamp,5.0,86.66,433.29999999999995,2023-01-01 00:46:00,Southeast
S192047,P010,Memory Card,4.0,29.2,116.8,2023-01-01 00:47:00,West
S192048,P007,USB Flash Drive,7.0,35.19,246.32999999999998,2023-01-01 00:48:00,Central
S192049,P080,Headphones,3.0,46.69,140.07,2023-01-01 00:49:00,Southeast
S192050,P080,Headphones,1.0,46.69,46.69,2023-01-01 00:50:00,Northwest
S192051,P073,Keyboard,7.0,88.35,618.4499999999999,2023-01-01 00:51:00,Southeast
S192052,P058,RAM,1.0,32.4,32.4,2023-01-01 00:52:00,Central
S192053,P038,Router,2.0,41.42,82.84,2023-01-01 00:53:00,Northeast
S192054,P064,USB Flash Drive,2.0,55.16,110.32,2023-01-01 00:54:00,North
S192055,P096,Speaker,9.0,13.66,122.94,2023-01-01 00:55:00,West
S192056,P012,Cooling Fan,8.0,77.17,617.36,2023-01-01 00:56:00,West
S192057,P076,RAM,8.0,59.41,475.28,2023-01-01 00:57:00,West
S192058,P045,Laptop,2.0,16.25,32.5,2023-01-01 00:58:00,Northwest
S192059,P096,Headphones,8.0,40.98,327.84,,South
S192060,P011,Motherboard,9.0,,673.5600000000001,2023-01-01 01:00:00,East
S192061,P080,Smartphone,5.0,97.09,485.45000000000005,2023-01-01 01:01:00,East
S192062,P069,Processor,3.0,81.55,244.64999999999998,2023-01-01 01:02:00,Northwest
S192063,P082,Router,5.0,73.65,368.25,2023-01-01 01:03:00,West
S192064,P013,Smartwatch,1.0,97.97,97.97,2023-01-01 01:04:00,Southeast
S192065,P057,Mouse,2.0,63.01,126.02,2023-01-01 01:05:00,Central
S192066,P058,RAM,1.0,32.4,32.4,2023-01-01 01:06:00,South
S192067,P094,Mouse,4.0,86.51,346.04,2023-01-01 01:07:00,East
S192068,P043,Power Supply,2.0,40.05,80.1,2023-01-01 01:08:00,Southwest
S192069,P061,Smartwatch,5.0,5.91,29.55,2023-01-01 01:09:00,Northwest
S192070,P086,Charger,3.0,83.22,249.66,2023-01-01 01:10:00,Southwest
S192071,P011,Camera,6.0,82.36,494.15999999999997,2023-01-01 01:11:00,West
S192072,P069,Processor,8.0,81.55,652.4,2023-01-01 01:12:00,North
S192073,P007,Charger,2.0,56.55,113.1,2023-01-01 01:13:00,Central
S192074,P025,Power Supply,7.0,45.08,315.56,2023-01-01 01:14:00,North
S192075,P039,Tablet,2.0,92.91,185.82,2023-01-01 01:15:00,East
S192076,P081,Printer,9.0,12.94,116.46,2023-01-01 01:16:00,East
S192077,P094,Mouse,2.0,86.51,173.02,2023-01-01 01:17:00,East
S192078,P093,Power Supply,5.0,87.66,438.29999999999995,2023-01-01 01:18:00,West
S192079,P077,Smartwatch,1.0,30.65,30.65,2023-01-01 01:19:00,Southwest
S192080,P057,Mouse,6.0,63.01,378.06,2023-01-01 01:20:00,Southeast
S192081,P077,Speaker,2.0,42.61,85.22,2023-01-01 01:21:00,North
S192082,P055,Office Chair,8.0,67.62,540.96,2023-01-01 01:22:00,Central
S192083,P097,Keyboard,3.0,33.56,100.68,2023-01-01 01:23:00,South
S192084,P094,Motherboard,4.0,58.66,234.64,2023-01-01 01:24:00,Southwest
S192085,P045,Laptop,5.0,16.25,81.25,2023-01-01 01:25:00,Central
S192086,P076,RAM,,59.41,59.41,2023-01-01 01:26:00,North
S192087,P030,Headphones,6.0,53.25,319.5,2023-01-01 01:27:00,South
S192088,P064,USB Flash Drive,3.0,55.16,165.48,2023-01-01 01:28:00,Northeast
S192089,P099,Laptop,6.0,73.65,441.90000000000003,2023-01-01 01:29:00,East
S192090,P067,Graphics Card,6.0,60.22,361.32,2023-01-01 01:30:00,South
S192091,P069,Processor,8.0,81.55,652.4,2023-01-01 01:31:00,North
S192092,P010,Memory Card,9.0,29.2,262.8,2023-01-01 01:32:00,South
S192093,P048,Case,3.0,13.81,41.43,2023-01-01 01:33:00,Southwest
S192094,P081,Printer,3.0,12.94,38.82,2023-01-01 01:34:00,Northwest
S192095,P013,Smartwatch,9.0,97.97,881.73,2023-01-01 01:35:00,East
S192096,P031,Printer,5.0,30.94,154.70000000000002,2023-01-01 01:36:00,Northwest
S192097,P063,Office Chair,9.0,86.83,781.47,2023-01-01 01:37:00,North
S192098,P061,Graphics Card,7.0,24.77,173.39,2023-01-01 01:38:00,Northeast
S192099,P031,Printer,4.0,30.94,123.76,2023-01-01 01:39:00,South
S192100,P045,Laptop,6.0,16.25,97.5,2023-01-01 01:40:00,North
S192101,P068,Office Chair,5.0,69.89,349.45,2023-01-01 01:41:00,Northwest
S192102,P044,Laptop,6.0,21.88,131.28,2023-01-01 01:42:00,Southeast
S192103,P055,RAM,5.0,73.16,365.79999999999995,2023-01-01 01:43:00,East
S192104,P007,Speaker,5.0,31.42,157.10000000000002,2023-01-01 01:44:00,Southeast
S192105,P076,RAM,8.0,59.41,475.28,2023-01-01 01:45:00,Southeast
S192106,P004,Desk Lamp,9.0,32.63,293.67,2023-01-01 01:46:00,Northwest
S192107,P034,Camera,7.0,,430.28999999999996,2023-01-01 01:47:00,Northwest
S192108,P092,Motherboard,3.0,54.24,162.72,2023-01-01 01:48:00,Northwest
S192109,P069,External Hard Drive,7.0,6.56,45.919999999999995,2023-01-01 01:49:00,South
S192110,P090,Case,5.0,62.27,311.35,2023-01-01 01:50:00,Northeast
S192111,P086,Charger,7.0,83.22,582.54,2023-01-01 01:51:00,Central
S192112,P091,Memory Card,2.0,17.21,34.42,2023-01-01 01:52:00,Central
S192113,P015,Router,,71.26,71.26,2023-01-01 01:53:00,Southeast
S192114,P087,Desk Lamp,8.0,50.93,407.44,2023-01-01 01:54:00,Southwest
S192115,P004,Case,9.0,26.55,238.95000000000002,2023-01-01 01:55:00,Southeast
S192116,P092,Monitor,1.0,31.31,31.31,2023-01-01 01:56:00,West
S192117,P025,Power Supply,3.0,45.08,135.24,2023-01-01 01:57:00,East
S192118,P094,Mouse,1.0,86.51,86.51,2023-01-01 01:58:00,South
S192119,P001,Camera,5.0,67.13,335.65,2023-01-01 01:59:00,North
S192120,P077,Smartwatch,5.0,30.65,153.25,2023-01-01 02:00:00,Central
S192121,P094,Motherboard,7.0,58.66,410.62,2023-01-01 02:01:00,West
S192122,P004,Desk Lamp,7.0,32.63,228.41000000000003,2023-01-01 02:02:00,Central
S192123,P081,Laptop,2.0,5.64,11.28,2023-01-01 02:03:00,Northeast
S192124,P095,Graphics Card,9.0,7.4,66.60000000000001,2023-01-01 02:04:00,Northwest
S192125,P046,Camera,1.0,93.21,93.21,2023-01-01 02:05:00,East
S192126,P010,Mouse,2.0,83.66,167.32,2023-01-01 02:06:00,East
S192127,P096,Charger,1.0,55.81,55.81,2023-01-01 02:07:00,North
S192128,P046,Camera,9.0,93.21,838.89,2023-01-01 02:08:00,Southwest
S192129,P079,Memory Card,3.0,19.07,57.21,2023-01-01 02:09:00,West
S192130,P010,Desk Lamp,5.0,75.29,376.45000000000005,2023-01-01 02:10:00,Northwest
S192131,P091,Graphics Card,1.0,59.5,59.5,2023-01-01 02:11:00,Central
S192132,P076,RAM,3.0,59.41,178.23,2023-01-01 02:12:00,West
S192133,P003,Printer,2.0,73.34,146.68,2023-01-01 02:13:00,Northwest
S192134,P080,Smartphone,4.0,97.09,388.36,2023-01-01 02:14:00,Northwest
S192135,P057,Mouse,7.0,63.01,441.07,2023-01-01 02:15:00,South
S192136,P093,Monitor,9.0,8.44,75.96,2023-01-01 02:16:00,Northwest
S192137,P048,Case,8.0,13.81,110.48,2023-01-01 02:17:00,Southwest
S192138,P010,Mouse,4.0,83.66,334.64,2023-01-01 02:18:00,Northeast
S192139,P091,Keyboard,9.0,61.6,554.4,2023-01-01 02:19:00,Central
S192140,P011,USB Flash Drive,7.0,84.94,594.5799999999999,2023-01-01 02:20:00,Central
S192141,P019,Keyboard,9.0,74.09,666.8100000000001,2023-01-01 02:21:00,West
S192142,P081,Headphones,5.0,71.34,356.70000000000005,2023-01-01 02:22:00,Northwest
S192143,P007,Speaker,2.0,31.42,62.84,2023-01-01 02:23:00,Northeast
S192144,P067,Graphics Card,1.0,60.22,60.22,2023-01-01 02:24:00,West
S192145,P061,Smartwatch,5.0,5.91,29.55,2023-01-01 02:25:00,East
S192146,P036,Smartphone,7.0,53.28,372.96000000000004,2023-01-01 02:26:00,Northeast
S192147,P036,Cooling Fan,3.0,63.54,190.62,2023-01-01 02:27:00,Northwest
S192148,P097,Keyboard,4.0,33.56,134.24,2023-01-01 02:28:00,Central
S192149,P068,Office Chair,3.0,69.89,209.67000000000002,2023-01-01 02:29:00,Central
S192150,P090,Case,6.0,62.27,373.62,2023-01-01 02:30:00,Southwest
