sale_id,product_id,product_name,quantity,price,total_amount,sale_date,region
S012000,P074,Tablet,5.0,72.89,364.45,2021-01-01 00:00:00,East
S012001,P094,Motherboard,2.0,58.66,117.32,2021-01-01 00:01:00,East
S012002,P012,Cooling Fan,4.0,77.17,308.68,2021-01-01 00:02:00,Southeast
S012003,P044,Laptop,8.0,21.88,175.04,2021-01-01 00:03:00,Northwest
S012004,P039,Speaker,5.0,52.71,263.55,2021-01-01 00:04:00,Northwest
S012005,P073,Keyboard,1.0,88.35,88.35,2021-01-01 00:05:00,Southwest
S012006,P034,Camera,8.0,61.47,491.76,2021-01-01 00:06:00,South
S012007,P080,Smartphone,5.0,97.09,485.45000000000005,2021-01-01 00:07:00,West
S012008,P078,Memory Card,7.0,19.21,134.47,2021-01-01 00:08:00,Southeast
S012009,P004,Case,6.0,26.55,159.3,2021-01-01 00:09:00,South
S012010,P086,Smartphone,9.0,60.55,544.9499999999999,2021-01-01 00:10:00,Central
S012011,P004,Case,5.0,26.55,132.75,2021-01-01 00:11:00,Central
S012012,P019,Keyboard,2.0,74.09,148.18,2021-01-01 00:12:00,Southwest
S012013,P092,RAM,9.0,73.51,661.59,2021-01-01 00:13:00,North
S012014,P099,External Hard Drive,6.0,52.15,312.9,2021-01-01 00:14:00,Central
S012015,P004,Case,4.0,26.55,106.2,2021-01-01 00:15:00,South
S012016,P007,Charger,2.0,56.55,113.1,2021-01-01 00:16:00,North
S012017,P011,Camera,7.0,82.36,576.52,2021-01-01 00:17:00,Central
S012018,P045,Laptop,2.0,16.25,32.5,2021-01-01 00:18:00,Southwest
S012019,P091,Memory Card,5.0,17.21,86.05000000000001,2021-01-01 00:19:00,Northeast
S012020,P036,Smartphone,1.0,53.28,53.28,2021-01-01 00:20:00,East
S012021,P087,Router,8.0,79.53,636.24,2021-01-01 00:21:00,South
S012022,P007,Speaker,6.0,31.42,188.52,2021-01-01 00:22:00,Southwest
S012023,P057,Processor,7.0,11.26,78.82,2021-01-01 00:23:00,Southeast
S012024,P042,Tablet,8.0,26.68,213.44,2021-01-01 00:24:00,South
S012025,P011,USB Flash Drive,9.0,84.94,764.46,2021-01-01 00:25:00,Southwest
S012026,P093,Power Supply,4.0,87.66,350.64,2021-01-01 00:26:00,Central
S012027,P038,Router,4.0,41.42,165.68,2021-01-01 00:27:00,North
S012028,P090,Mouse,5.0,17.99,89.94999999999999,2021-01-01 00:28:00,West
S012029,P081,Laptop,6.0,5.64,33.839999999999996,2021-01-01 00:29:00,North
S012030,P094,Motherboard,2.0,58.66,117.32,2021-01-01 00:30:00,North
S012031,P061,Smartwatch,2.0,5.91,11.82,2021-01-01 00:31:00,West
S012032,P039,Tablet,3.0,92.91,278.73,2021-01-01 00:32:00,Southeast
S012033,P078,Memory Card,7.0,19.21,134.47,2021-01-01 00:33:00,Southeast
S012034,P038,Router,7.0,41.42,289.94,2021-01-01 00:34:00,Southwest
S012035,P093,Monitor,1.0,8.44,8.44,2021-01-01 00:35:00,Southwest
S012036,P094,Motherboard,1.0,58.66,58.66,2021-01-01 00:36:00,Southeast
S012037,P001,Camera,1.0,67.13,67.13,2021-01-01 00:37:00,Southeast
S012038,P076,RAM,1.0,59.41,59.41,2021-01-01 00:38:00,Northeast
S012039,P031,Printer,4.0,30.94,123.76,2021-01-01 00:39:00,Central
S012040,P011,USB Flash Drive,1.0,84.94,84.94,2021-01-01 00:40:00,Northwest
S012041,P084,Cooling Fan,8.0,18.61,148.88,2021-01-01 00:41:00,West
S012042,P097,Keyboard,3.0,33.56,100.68,2021-01-01 00:42:00,Central
S012043,P011,USB Flash Drive,1.0,84.94,84.94,2021-01-01 00:43:00,West
S012044,P065,Processor,6.0,77.36,464.15999999999997,2021-01-01 00:44:00,South
S012045,P015,Router,5.0,71.26,356.3,2021-01-01 00:45:00,North
S012046,P010,Mouse,6.0,83.66,501.96,2021-01-01 00:46:00,West
S012047,P091,Graphics Card,7.0,59.5,416.5,2021-01-01 00:47:00,North
S012048,P084,Cooling Fan,4.0,18.61,74.44,2021-01-01 00:48:00,Central
S012049,P043,Power Supply,6.0,40.05,240.29999999999998,2021-01-01 00:49:00,North
S012050,P097,,3.0,33.56,100.68,2021-01-01 00:50:00,Central
S012051,P080,Smartphone,7.0,97.09,679.63,2021-01-01 00:51:00,East
S012052,P069,External Hard Drive,2.0,6.56,13.12,2021-01-01 00:52:00,Central
S012053,P039,Speaker,6.0,52.71,316.26,2021-01-01 00:53:00,Southeast
S012054,P097,Keyboard,5.0,33.56,167.8,2021-01-01 00:54:00,South
S012055,P028,Processor,4.0,6.13,24.52,2021-01-01 00:55:00,East
S012056,P003,Printer,5.0,73.34,366.70000000000005,2021-01-01 00:56:00,Northeast
S012057,P039,Tablet,7.0,92.91,650.37,2021-01-01 00:57:00,South
S012058,P087,Power Supply,3.0,53.19,159.57,2021-01-01 00:58:00,North
S012059,P004,Desk Lamp,5.0,32.63,163.15,2021-01-01 00:59:00,North
S012060,P007,Speaker,4.0,31.42,125.68,2021-01-01 01:00:00,Central
S012061,P003,Printer,7.0,73.34,513.38,2021-01-01 01:01:00,Northwest
S012062,P036,Smartphone,8.0,53.28,426.24,2021-01-01 01:02:00,Central
S012063,P064,USB Flash Drive,5.0,55.16,275.79999999999995,2021-01-01 01:03:00,North
S012064,P036,Cooling Fan,4.0,63.54,254.16,2021-01-01 01:04:00,Southeast
S012065,P093,Power Supply,2.0,87.66,175.32,2021-01-01 01:05:00,Southwest
S012066,P007,USB Flash Drive,2.0,35.19,70.38,2021-01-01 01:06:00,Northwest
S012067,P087,Power Supply,3.0,53.19,159.57,2021-01-01 01:07:00,Northwest
S012068,P047,Printer,3.0,53.17,159.51,2021-01-01 01:08:00,Northeast
S012069,P048,Case,8.0,13.81,110.48,2021-01-01 01:09:00,Northeast
S012070,P011,Motherboard,3.0,74.84,224.52,2021-01-01 01:10:00,Southwest
S012071,P003,Printer,7.0,73.34,513.38,2021-01-01 01:11:00,North
S012072,P007,Speaker,3.0,31.42,94.26,2021-01-01 01:12:00,South
S012073,P090,Mouse,7.0,17.99,125.92999999999999,2021-01-01 01:13:00,Southwest
S012074,P043,Power Supply,4.0,40.05,160.2,2021-01-01 01:14:00,East
S012075,P078,Smartphone,2.0,71.88,143.76,2021-01-01 01:15:00,Northeast
S012076,P091,Memory Card,6.0,17.21,103.26,2021-01-01 01:16:00,Northeast
S012077,P065,Processor,9.0,77.36,696.24,2021-01-01 01:17:00,Northwest
S012078,P036,Smartphone,1.0,53.28,53.28,2021-01-01 01:18:00,East
S012079,P087,Desk Lamp,9.0,50.93,458.37,2021-01-01 01:19:00,Southeast
S012080,P061,Cooling Fan,9.0,22.48,202.32,2021-01-01 01:20:00,North
S012081,P069,Processor,5.0,81.55,407.75,2021-01-01 01:21:00,South
S012082,P065,Processor,2.0,77.36,154.72,2021-01-01 01:22:00,South
S012083,P087,Desk Lamp,9.0,50.93,458.37,2021-01-01 01:23:00,Southwest
S012084,P007,USB Flash Drive,2.0,35.19,70.38,2021-01-01 01:24:00,Southeast
S012085,P048,External Hard Drive,3.0,54.23,162.69,2021-01-01 01:25:00,North
S012086,P091,Keyboard,6.0,61.6,369.6,2021-01-01 01:26:00,Northeast
S012087,P077,Speaker,8.0,42.61,340.88,2021-01-01 01:27:00,East
S012088,P001,Camera,8.0,67.13,537.04,2021-01-01 01:28:00,East
S012089,P001,Camera,6.0,67.13,402.78,2021-01-01 01:29:00,North
S012090,P087,Power Supply,5.0,53.19,265.95,2021-01-01 01:30:00,Northwest
S012091,P064,USB Flash Drive,2.0,55.16,110.32,2021-01-01 01:31:00,Central
S012092,P099,Laptop,5.0,73.65,368.25,2021-01-01 01:32:00,North
S012093,P048,Case,5.0,13.81,69.05,2021-01-01 01:33:00,Southwest
S012094,P036,Smartphone,4.0,53.28,213.12,2021-01-01 01:34:00,Southeast
S012095,P039,Tablet,7.0,92.91,650.37,2021-01-01 01:35:00,East
S012096,P064,Monitor,7.0,64.39,450.73,2021-01-01 01:36:00,Southeast
S012097,P061,Graphics Card,7.0,,173.39,2021-01-01 01:37:00,Southeast
S012098,P019,Keyboard,9.0,74.09,666.8100000000001,2021-01-01 01:38:00,Southwest
S012099,P069,Processor,6.0,81.55,489.29999999999995,2021-01-01 01:39:00,North
S012100,P011,Camera,3.0,82.36,247.07999999999998,2021-01-01 01:40:00,East
S012101,P071,Desk Lamp,9.0,86.66,779.9399999999999,2021-01-01 01:41:00,Southeast
S012102,P038,Router,2.0,,82.84,2021-01-01 01:42:00,Southeast
S012103,P076,RAM,1.0,59.41,59.41,2021-01-01 01:43:00,Southwest
S012104,P087,Desk Lamp,9.0,50.93,458.37,2021-01-01 01:44:00,Southwest
S012105,P093,Power Supply,8.0,87.66,701.28,2021-01-01 01:45:00,Northwest
S012106,P057,Processor,3.0,11.26,33.78,2021-01-01 01:46:00,Northeast
S012107,P099,Laptop,2.0,73.65,147.3,2021-01-01 01:47:00,North
S012108,P001,Camera,7.0,67.13,469.90999999999997,2021-01-01 01:48:00,East
S012109,P086,Charger,2.0,83.22,166.44,2021-01-01 01:49:00,Southeast
S012110,P068,Office Chair,5.0,69.89,349.45,2021-01-01 01:50:00,South
S012111,P091,Keyboard,2.0,61.6,123.2,2021-01-01 01:51:00,Central
S012112,P087,Router,2.0,79.53,159.06,2021-01-01 01:52:00,North
S012113,P082,Router,6.0,73.65,441.90000000000003,2021-01-01 01:53:00,North
S012114,P057,Processor,7.0,11.26,78.82,2021-01-01 01:54:00,Northeast
S012115,P039,Speaker,4.0,52.71,210.84,2021-01-01 01:55:00,Southwest
S012116,P066,External Hard Drive,6.0,89.28,535.6800000000001,2021-01-01 01:56:00,Central
S012117,P042,Case,9.0,9.47,85.23,2021-01-01 01:57:00,Southwest
S012118,P034,Camera,8.0,61.47,491.76,2021-01-01 01:58:00,North
S012119,P010,Memory Card,2.0,29.2,58.4,2021-01-01 01:59:00,Southeast
S012120,P091,Keyboard,1.0,61.6,61.6,2021-01-01 02:00:00,Southwest
S012121,P071,Desk Lamp,5.0,86.66,433.29999999999995,2021-01-01 02:01:00,Northwest
S012122,P081,Printer,6.0,12.94,77.64,2021-01-01 02:02:00,West
S012123,P093,Power Supply,4.0,87.66,350.64,2021-01-01 02:03:00,Southeast
S012124,P046,Camera,5.0,93.21,466.04999999999995,2021-01-01 02:04:00,Southeast
S012125,P011,Motherboard,1.0,74.84,74.84,2021-01-01 02:05:00,South
S012126,P043,Power Supply,5.0,40.05,200.25,2021-01-01 02:06:00,North
S012127,P010,Mouse,3.0,83.66,250.98,2021-01-01 02:07:00,Southeast
S012128,P092,Motherboard,1.0,54.24,54.24,2021-01-01 02:08:00,East
S012129,P061,Cooling Fan,1.0,22.48,22.48,2021-01-01 02:09:00,North
S012130,P071,Desk Lamp,8.0,86.66,693.28,2021-01-01 02:10:00,South
S012131,P081,Headphones,4.0,71.34,285.36,2021-01-01 02:11:00,Central
S012132,P025,Power Supply,9.0,45.08,405.71999999999997,2021-01-01 02:12:00,Southwest
S012133,P086,Charger,8.0,83.22,665.76,2021-01-01 02:13:00,South
S012134,P047,Tablet,7.0,77.22,540.54,2021-01-01 02:14:00,Southwest
S012135,P035,Smartwatch,7.0,10.02,70.14,2021-01-01 02:15:00,East
S012136,P057,Mouse,1.0,63.01,63.01,2021-01-01 02:16:00,Northeast
S012137,P007,USB Flash Drive,7.0,35.19,246.32999999999998,2021-01-01 02:17:00,South
S012138,P096,Speaker,7.0,13.66,95.62,2021-01-01 02:18:00,South
S012139,P013,Smartwatch,8.0,97.97,783.76,2021-01-01 02:19:00,Northeast
S012140,P069,External Hard Drive,3.0,6.56,19.68,2021-01-01 02:20:00,Southeast
S012141,P082,Router,7.0,73.65,515.5500000000001,2021-01-01 02:21:00,Central
S012142,P044,Laptop,2.0,21.88,43.76,2021-01-01 02:22:00,South
S012143,P092,Monitor,2.0,31.31,62.62,2021-01-01 02:23:00,Northeast
S012144,P073,Keyboard,5.0,88.35,441.75,2021-01-01 02:24:00,North
S012145,P019,Keyboard,8.0,74.09,592.72,2021-01-01 02:25:00,Northeast
S012146,P055,Office Chair,1.0,67.62,67.62,2021-01-01 02:26:00,West
S012147,P015,Router,3.0,71.26,213.78000000000003,2021-01-01 02:27:00,West
S012148,P069,Processor,5.0,81.55,407.75,2021-01-01 02:28:00,Southwest
S012149,P077,Speaker,2.0,42.61,85.22,2021-01-01 02:29:00,North
S012150,P082,Router,7.0,73.65,515.5500000000001,2021-01-01 02:30:00,Central
S012151,P087,Router,1.0,79.53,79.53,2021-01-01 02:31:00,East
S012152,P055,Office Chair,1.0,67.62,67.62,2021-01-01 02:32:00,East
S012153,P034,Camera,7.0,61.47,430.28999999999996,2021-01-01 02:33:00,Northwest
S012154,P047,Tablet,4.0,77.22,308.88,2021-01-01 02:34:00,North
S012155,P064,USB Flash Drive,4.0,55.16,220.64,2021-01-01 02:35:00,North
S012156,P069,External Hard Drive,9.0,6.56,59.04,2021-01-01 02:36:00,Northeast
S012157,P086,Charger,3.0,83.22,249.66,2021-01-01 02:37:00,Northeast
S012158,P087,Power Supply,1.0,53.19,53.19,2021-01-01 02:38:00,Northeast
S012159,P067,Graphics Card,8.0,60.22,481.76,2021-01-01 02:39:00,Southeast
S012160,P012,Cooling Fan,4.0,77.17,308.68,2021-01-01 02:40:00,Southeast
S012161,P081,Printer,9.0,12.94,116.46,2021-01-01 02:41:00,West
