sale_id,product_id,product_name,quantity,price,total_amount,sale_date,region
S018000,P077,Smartwatch,9.0,30.65,275.84999999999997,2021-01-01 00:00:00,South
S018001,P084,Cooling Fan,7.0,18.61,130.26999999999998,2021-01-01 00:01:00,West
S018002,P092,RAM,6.0,73.51,441.06000000000006,2021-01-01 00:02:00,Central
S018003,P078,Smartphone,7.0,71.88,503.15999999999997,2021-01-01 00:03:00,Northeast
S018004,P055,RAM,8.0,73.16,585.28,2021-01-01 00:04:00,Northeast
S018005,P036,Smartphone,8.0,53.28,426.24,2021-01-01 00:05:00,Northeast
S018006,P019,Keyboard,4.0,74.09,296.36,2021-01-01 00:06:00,South
S018007,P061,Graphics Card,7.0,24.77,173.39,2021-01-01 00:07:00,South
S018008,P001,Camera,4.0,67.13,268.52,2021-01-01 00:08:00,East
S018009,P007,USB Flash Drive,2.0,35.19,70.38,2021-01-01 00:09:00,Southwest
S018010,P099,External Hard Drive,1.0,52.15,52.15,2021-01-01 00:10:00,East
S018011,P091,Graphics Card,3.0,59.5,178.5,2021-01-01 00:11:00,East
S018012,P007,Speaker,4.0,31.42,125.68,2021-01-01 00:12:00,Southeast
S018013,P091,Memory Card,9.0,17.21,154.89000000000001,2021-01-01 00:13:00,Northwest
S018014,P068,Office Chair,2.0,69.89,139.78,2021-01-01 00:14:00,East
S018015,P067,Graphics Card,9.0,60.22,541.98,2021-01-01 00:15:00,South
S018016,P044,Laptop,2.0,21.88,43.76,2021-01-01 00:16:00,Northeast
S018017,P012,USB Flash Drive,8.0,10.06,80.48,2021-01-01 00:17:00,East
S018018,P077,Speaker,7.0,42.61,298.27,2021-01-01 00:18:00,Southeast
S018019,P077,Speaker,9.0,42.61,383.49,2021-01-01 00:19:00,West
S018020,P057,Processor,6.0,11.26,67.56,2021-01-01 00:20:00,North
S018021,P048,External Hard Drive,5.0,54.23,271.15,2021-01-01 00:21:00,Southeast
S018022,P001,Camera,7.0,67.13,469.90999999999997,2021-01-01 00:22:00,Central
S018023,P064,Monitor,8.0,64.39,515.12,2021-01-01 00:23:00,Northwest
S018024,P035,Smartwatch,5.0,10.02,50.099999999999994,2021-01-01 00:24:00,North
S018025,P048,External Hard Drive,2.0,54.23,108.46,2021-01-01 00:25:00,West
S018026,P091,Graphics Card,9.0,59.5,535.5,2021-01-01 00:26:00,Northeast
S018027,P031,Printer,4.0,30.94,123.76,2021-01-01 00:27:00,South
S018028,P011,Camera,4.0,82.36,329.44,2021-01-01 00:28:00,East
S018029,P082,Router,5.0,73.65,368.25,2021-01-01 00:29:00,East
S018030,P087,Router,9.0,79.53,715.77,2021-01-01 00:30:00,Northeast
S018031,P080,Smartphone,1.0,97.09,97.09,2021-01-01 00:31:00,North
S018032,P044,Laptop,5.0,21.88,109.39999999999999,2021-01-01 00:32:00,Northwest
S018033,P096,Speaker,9.0,13.66,122.94,2021-01-01 00:33:00,Central
S018034,P025,Power Supply,8.0,45.08,360.64,2021-01-01 00:34:00,Northwest
S018035,P031,Printer,8.0,30.94,247.52,2021-01-01 00:35:00,Northwest
S018036,P007,Charger,4.0,56.55,,2021-01-01 00:36:00,Southeast
S018037,P091,Memory Card,3.0,17.21,51.63,2021-01-01 00:37:00,West
S018038,P047,Printer,8.0,53.17,425.36,2021-01-01 00:38:00,Southwest
S018039,P077,Speaker,9.0,42.61,383.49,2021-01-01 00:39:00,Northwest
S018040,P096,Headphones,7.0,40.98,286.85999999999996,2021-01-01 00:40:00,East
S018041,P019,Keyboard,2.0,74.09,148.18,2021-01-01 00:41:00,Southwest
S018042,P015,Router,8.0,71.26,570.08,2021-01-01 00:42:00,Northeast
S018043,P007,Speaker,5.0,31.42,157.10000000000002,2021-01-01 00:43:00,Central
S018044,P028,Processor,7.0,6.13,42.91,2021-01-01 00:44:00,South
S018045,P069,External Hard Drive,9.0,6.56,59.04,2021-01-01 00:45:00,South
S018046,P077,Smartwatch,6.0,30.65,183.89999999999998,2021-01-01 00:46:00,East
S018047,P047,Printer,8.0,53.17,425.36,2021-01-01 00:47:00,Northwest
S018048,P028,Processor,2.0,6.13,12.26,2021-01-01 00:48:00,Southwest
S018049,P036,Cooling Fan,1.0,63.54,63.54,2021-01-01 00:49:00,South
S018050,P048,External Hard Drive,4.0,54.23,216.92,2021-01-01 00:50:00,North
S018051,P043,Power Supply,1.0,40.05,40.05,2021-01-01 00:51:00,Southwest
S018052,P043,Power Supply,9.0,40.05,360.45,2021-01-01 00:52:00,North
S018053,P096,Headphones,2.0,40.98,81.96,2021-01-01 00:53:00,Northwest
S018054,P055,RAM,6.0,73.16,438.96,2021-01-01 00:54:00,Southwest
S018055,P028,Processor,7.0,6.13,42.91,2021-01-01 00:55:00,Southwest
S018056,P094,Mouse,8.0,86.51,692.08,2021-01-01 00:56:00,Central
S018057,P001,Camera,3.0,67.13,201.39,2021-01-01 00:57:00,Southeast
S018058,P099,External Hard Drive,8.0,52.15,417.2,2021-01-01 00:58:00,South
S018059,P061,Cooling Fan,2.0,22.48,44.96,2021-01-01 00:59:00,West
S018060,P078,Memory Card,2.0,19.21,38.42,2021-01-01 01:00:00,Southwest
S018061,P003,Printer,4.0,73.34,293.36,2021-01-01 01:01:00,Central
S018062,P092,Motherboard,5.0,54.24,271.2,2021-01-01 01:02:00,South
S018063,P061,Smartwatch,9.0,5.91,53.19,2021-01-01 01:03:00,Northeast
S018064,P095,Graphics Card,2.0,7.4,14.8,2021-01-01 01:04:00,Northeast
S018065,P048,Case,1.0,13.81,13.81,2021-01-01 01:05:00,Southwest
S018066,P047,Tablet,9.0,77.22,694.98,2021-01-01 01:06:00,Northeast
S018067,P092,Monitor,4.0,31.31,125.24,2021-01-01 01:07:00,Southeast
S018068,P013,Smartwatch,3.0,97.97,293.90999999999997,2021-01-01 01:08:00,East
S018069,P095,Graphics Card,6.0,7.4,44.400000000000006,2021-01-01 01:09:00,Southwest
S018070,P076,RAM,2.0,59.41,118.82,2021-01-01 01:10:00,West
S018071,P055,Office Chair,9.0,67.62,608.58,2021-01-01 01:11:00,Southwest
S018072,P077,Smartwatch,4.0,30.65,122.6,2021-01-01 01:12:00,Southwest
S018073,P096,Speaker,2.0,13.66,27.32,2021-01-01 01:13:00,East
S018074,P061,Graphics Card,5.0,24.77,123.85,2021-01-01 01:14:00,Northeast
S018075,P081,Laptop,9.0,5.64,50.76,2021-01-01 01:15:00,Southeast
S018076,P096,Headphones,8.0,40.98,327.84,2021-01-01 01:16:00,South
S018077,P094,Mouse,6.0,86.51,519.0600000000001,2021-01-01 01:17:00,West
S018078,P086,Charger,6.0,83.22,499.32,2021-01-01 01:18:00,North
S018079,P078,Smartphone,6.0,71.88,431.28,2021-01-01 01:19:00,North
S018080,P073,Keyboard,6.0,88.35,530.0999999999999,2021-01-01 01:20:00,Southwest
S018081,P001,Camera,6.0,67.13,402.78,2021-01-01 01:21:00,South
S018082,P042,Case,9.0,9.47,85.23,2021-01-01 01:22:00,Northwest
S018083,P097,Keyboard,4.0,33.56,134.24,2021-01-01 01:23:00,North
S018084,P092,Monitor,6.0,31.31,187.85999999999999,2021-01-01 01:24:00,Southeast
S018085,P010,Memory Card,1.0,29.2,29.2,2021-01-01 01:25:00,East
S018086,P064,Monitor,8.0,64.39,515.12,2021-01-01 01:26:00,Central
S018087,P094,Motherboard,9.0,58.66,527.9399999999999,2021-01-01 01:27:00,Southwest
S018088,P094,Mouse,1.0,86.51,86.51,2021-01-01 01:28:00,Northeast
S018089,P077,Smartwatch,7.0,30.65,214.54999999999998,2021-01-01 01:29:00,East
S018090,P013,Smartwatch,5.0,97.97,489.85,2021-01-01 01:30:00,Northeast
S018091,P081,Printer,7.0,12.94,90.58,2021-01-01 01:31:00,East
S018092,P046,Camera,6.0,93.21,559.26,2021-01-01 01:32:00,Northeast
S018093,P096,Speaker,5.0,13.66,68.3,2021-01-01 01:33:00,Central
S018094,P087,Power Supply,6.0,53.19,319.14,2021-01-01 01:34:00,West
S018095,P091,Keyboard,7.0,61.6,431.2,2021-01-01 01:35:00,Southwest
S018096,P055,RAM,5.0,73.16,365.79999999999995,2021-01-01 01:36:00,Northwest
S018097,P045,Laptop,4.0,16.25,65.0,2021-01-01 01:37:00,North
S018098,P048,External Hard Drive,9.0,54.23,488.07,2021-01-01 01:38:00,Northwest
S018099,P078,Memory Card,7.0,19.21,134.47,2021-01-01 01:39:00,West
S018100,P043,Power Supply,9.0,40.05,360.45,2021-01-01 01:40:00,South
S018101,P039,Monitor,3.0,98.24,294.71999999999997,2021-01-01 01:41:00,North
S018102,P042,Tablet,7.0,26.68,186.76,2021-01-01 01:42:00,Northeast
S018103,P043,Power Supply,9.0,40.05,360.45,2021-01-01 01:43:00,Southwest
S018104,P064,USB Flash Drive,5.0,55.16,275.79999999999995,2021-01-01 01:44:00,Northeast
S018105,P097,Keyboard,6.0,33.56,201.36,2021-01-01 01:45:00,South
S018106,P012,Cooling Fan,2.0,77.17,154.34,2021-01-01 01:46:00,West
S018107,P081,Laptop,4.0,5.64,22.56,2021-01-01 01:47:00,Central
S018108,P042,Case,3.0,9.47,28.410000000000004,2021-01-01 01:48:00,Central
S018109,P012,Cooling Fan,7.0,77.17,540.19,2021-01-01 01:49:00,East
S018110,P007,Speaker,3.0,31.42,94.26,2021-01-01 01:50:00,West
S018111,P042,Case,6.0,9.47,56.82000000000001,2021-01-01 01:51:00,Southwest
S018112,P092,Monitor,2.0,31.31,62.62,2021-01-01 01:52:00,North
S018113,P087,Desk Lamp,5.0,50.93,254.65,2021-01-01 01:53:00,Northwest
S018114,P087,Desk Lamp,1.0,50.93,50.93,2021-01-01 01:54:00,South
S018115,P096,Charger,8.0,55.81,446.48,2021-01-01 01:55:00,Central
S018116,P007,Charger,3.0,56.55,169.64999999999998,2021-01-01 01:56:00,Central
S018117,P084,Cooling Fan,9.0,18.61,167.49,2021-01-01 01:57:00,Southwest
S018118,P068,Office Chair,5.0,69.89,349.45,2021-01-01 01:58:00,North
S018119,P082,Router,7.0,73.65,515.5500000000001,2021-01-01 01:59:00,Northeast
S018120,P004,Desk Lamp,5.0,32.63,163.15,2021-01-01 02:00:00,Southeast
S018121,P084,Cooling Fan,1.0,18.61,18.61,2021-01-01 02:01:00,South
S018122,P010,Mouse,5.0,83.66,418.29999999999995,2021-01-01 02:02:00,East
S018123,P042,Tablet,4.0,26.68,106.72,2021-01-01 02:03:00,Northeast
S018124,P036,Smartphone,1.0,53.28,53.28,2021-01-01 02:04:00,Southeast
S018125,P074,Tablet,4.0,72.89,291.56,2021-01-01 02:05:00,South
S018126,P087,Router,5.0,79.53,397.65,2021-01-01 02:06:00,South
S018127,P067,Graphics Card,5.0,60.22,301.1,2021-01-01 02:07:00,East
S018128,P081,Laptop,4.0,5.64,22.56,2021-01-01 02:08:00,Central
S018129,P063,Office Chair,4.0,86.83,347.32,2021-01-01 02:09:00,Northeast
S018130,P057,Mouse,5.0,63.01,315.05,2021-01-01 02:10:00,East
S018131,P004,Case,4.0,26.55,106.2,2021-01-01 02:11:00,Southeast
S018132,P046,Camera,7.0,93.21,652.4699999999999,2021-01-01 02:12:00,Southeast
S018133,P057,Mouse,4.0,63.01,252.04,2021-01-01 02:13:00,Northeast
S018134,P036,Smartphone,5.0,53.28,266.4,2021-01-01 02:14:00,Northwest
S018135,P055,RAM,2.0,73.16,146.32,2021-01-01 02:15:00,Northwest
S018136,P076,RAM,1.0,59.41,59.41,2021-01-01 02:16:00,North
S018137,P096,Charger,7.0,55.81,390.67,2021-01-01 02:17:00,Northwest
S018138,P094,Mouse,4.0,86.51,346.04,2021-01-01 02:18:00,Central
S018139,P055,Office Chair,9.0,67.62,608.58,2021-01-01 02:19:00,North
S018140,P069,External Hard Drive,7.0,6.56,45.919999999999995,2021-01-01 02:20:00,Central
S018141,P079,Memory Card,9.0,19.07,171.63,2021-01-01 02:21:00,East
S018142,P040,Charger,2.0,93.89,187.78,2021-01-01 02:22:00,West
S018143,P042,Case,5.0,9.47,47.35,2021-01-01 02:23:00,North
S018144,P019,Keyboard,4.0,74.09,296.36,2021-01-01 02:24:00,Northwest
S018145,P081,Laptop,4.0,5.64,22.56,2021-01-01 02:25:00,West
S018146,P039,Monitor,1.0,98.24,98.24,2021-01-01 02:26:00,West
S018147,P082,Router,7.0,73.65,515.5500000000001,2021-01-01 02:27:00,Southeast
S018148,P010,Desk Lamp,7.0,75.29,527.0300000000001,2021-01-01 02:28:00,North
S018149,P013,Smartwatch,1.0,97.97,97.97,2021-01-01 02:29:00,Southwest
S018150,P048,External Hard Drive,1.0,54.23,54.23,2021-01-01 02:30:00,West
S018151,P086,Charger,2.0,83.22,166.44,2021-01-01 02:31:00,West
S018152,P081,Printer,5.0,12.94,64.7,2021-01-01 02:32:00,Northwest
S018153,P078,Smartphone,5.0,71.88,359.4,2021-01-01 02:33:00,Central
S018154,P047,Printer,4.0,53.17,212.68,2021-01-01 02:34:00,East
S018155,P030,Headphones,9.0,53.25,479.25,2021-01-01 02:35:00,Central
S018156,P012,USB Flash Drive,7.0,10.06,70.42,2021-01-01 02:36:00,Southeast
S018157,P040,Charger,2.0,93.89,187.78,2021-01-01 02:37:00,Central
S018158,P012,Cooling Fan,2.0,77.17,154.34,2021-01-01 02:38:00,North
S018159,P086,Charger,2.0,83.22,166.44,2021-01-01 02:39:00,North
S018160,P007,Speaker,7.0,31.42,219.94,2021-01-01 02:40:00,Northeast
S018161,P039,Tablet,5.0,92.91,464.54999999999995,2021-01-01 02:41:00,Southeast
S018162,P071,Desk Lamp,1.0,86.66,86.66,2021-01-01 02:42:00,Southwest
S018163,P081,Headphones,2.0,71.34,142.68,2021-01-01 02:43:00,Northwest
S018164,P061,Cooling Fan,3.0,,67.44,2021-01-01 02:44:00,East
S018165,P069,Processor,9.0,81.55,733.9499999999999,2021-01-01 02:45:00,South
S018166,P077,Smartwatch,7.0,30.65,214.54999999999998,2021-01-01 02:46:00,Northwest
S018167,P046,Camera,1.0,93.21,93.21,2021-01-01 02:47:00,Northwest
S018168,P063,Office Chair,9.0,86.83,781.47,2021-01-01 02:48:00,Northeast
S018169,P091,Keyboard,6.0,61.6,369.6,2021-01-01 02:49:00,Southeast
S018170,P030,Headphones,3.0,53.25,159.75,2021-01-01 02:50:00,Northeast
S018171,P091,Graphics Card,7.0,59.5,416.5,2021-01-01 02:51:00,Southwest
S018172,P096,Headphones,3.0,40.98,122.94,2021-01-01 02:52:00,South
S018173,P012,Cooling Fan,5.0,77.17,385.85,2021-01-01 02:53:00,West
S018174,P064,USB Flash Drive,5.0,55.16,275.79999999999995,2021-01-01 02:54:00,Central
S018175,P039,Speaker,5.0,52.71,263.55,2021-01-01 02:55:00,Southeast
S018176,P093,Monitor,7.0,8.44,59.08,2021-01-01 02:56:00,Northwest
S018177,P010,Memory Card,9.0,29.2,262.8,2021-01-01 02:57:00,South
S018178,P087,Power Supply,6.0,53.19,319.14,2021-01-01 02:58:00,Southwest
S018179,P063,Office Chair,1.0,86.83,86.83,2021-01-01 02:59:00,Northwest
S018180,P085,Motherboard,5.0,92.32,461.59999999999997,2021-01-01 03:00:00,Northwest
S018181,P067,Graphics Card,5.0,60.22,301.1,2021-01-01 03:01:00,Central
S018182,P095,Graphics Card,1.0,7.4,7.4,2021-01-01 03:02:00,East
S018183,P082,Router,9.0,73.65,662.85,2021-01-01 03:03:00,Southeast
S018184,P096,Charger,1.0,55.81,55.81,2021-01-01 03:04:00,South
S018185,P013,Smartwatch,4.0,97.97,391.88,2021-01-01 03:05:00,South
S018186,P007,Speaker,1.0,31.42,31.42,2021-01-01 03:06:00,South
S018187,P028,Processor,2.0,6.13,12.26,2021-01-01 03:07:00,North
S018188,P048,Case,8.0,13.81,110.48,2021-01-01 03:08:00,West
S018189,P061,Graphics Card,7.0,24.77,173.39,2021-01-01 03:09:00,Southwest
S018190,P077,Speaker,2.0,42.61,85.22,2021-01-01 03:10:00,Northwest
S018191,P064,Monitor,9.0,64.39,579.51,2021-01-01 03:11:00,Southwest
S018192,P004,Desk Lamp,6.0,32.63,195.78000000000003,2021-01-01 03:12:00,South
S018193,P078,Memory Card,8.0,,153.68,2021-01-01 03:13:00,Central
S018194,P036,Cooling Fan,3.0,63.54,190.62,2021-01-01 03:14:00,West
S018195,P061,Graphics Card,8.0,24.77,198.16,2021-01-01 03:15:00,Northwest
S018196,P040,Charger,4.0,93.89,375.56,2021-01-01 03:16:00,Northwest
S018197,P007,USB Flash Drive,8.0,35.19,281.52,2021-01-01 03:17:00,Southeast
S018198,P096,Charger,4.0,55.81,223.24,2021-01-01 03:18:00,South
S018199,P093,Power Supply,3.0,87.66,262.98,2021-01-01 03:19:00,South
S018200,P067,Office Chair,5.0,62.64,313.2,2021-01-01 03:20:00,East
S018201,P043,Power Supply,4.0,40.05,160.2,2021-01-01 03:21:00,Central
S018202,P061,Graphics Card,1.0,24.77,24.77,2021-01-01 03:22:00,Southwest
S018203,P096,Headphones,3.0,40.98,122.94,2021-01-01 03:23:00,Southwest
S018204,P055,RAM,7.0,73.16,512.12,2021-01-01 03:24:00,Northwest
S018205,P091,Keyboard,5.0,61.6,308.0,2021-01-01 03:25:00,Northwest
S018206,P010,Memory Card,1.0,29.2,29.2,2021-01-01 03:26:00,Southeast
S018207,P042,Tablet,6.0,26.68,160.07999999999998,2021-01-01 03:27:00,West
S018208,P091,Graphics Card,7.0,59.5,416.5,2021-01-01 03:28:00,Northeast
S018209,P087,Desk Lamp,6.0,50.93,305.58,2021-01-01 03:29:00,Northeast
S018210,P074,Tablet,4.0,72.89,291.56,2021-01-01 03:30:00,Northwest
S018211,P084,Cooling Fan,1.0,18.61,18.61,2021-01-01 03:31:00,Northwest
S018212,P074,Tablet,4.0,72.89,291.56,2021-01-01 03:32:00,North
S018213,P028,Processor,9.0,6.13,55.17,2021-01-01 03:33:00,Southwest
