sale_id,product_id,product_name,quantity,price,total_amount,sale_date,region
S030000,P007,Charger,1.0,56.55,56.55,2021-01-01 00:00:00,South
S030001,P012,Cooling Fan,7.0,77.17,540.19,2021-01-01 00:01:00,Northeast
S030002,P086,Charger,,83.22,665.76,2021-01-01 00:02:00,Southwest
S030003,P057,Mouse,3.0,63.01,189.03,2021-01-01 00:03:00,North
S030004,P099,Laptop,6.0,73.65,441.90000000000003,2021-01-01 00:04:00,Northwest
S030005,P066,External Hard Drive,2.0,89.28,178.56,2021-01-01 00:05:00,Central
S030006,P042,Case,5.0,9.47,47.35,2021-01-01 00:06:00,Northwest
S030007,P074,Tablet,9.0,72.89,656.01,2021-01-01 00:07:00,Central
S030008,P061,Cooling Fan,3.0,22.48,67.44,2021-01-01 00:08:00,Southwest
S030009,P096,Headphones,3.0,40.98,122.94,2021-01-01 00:09:00,Central
S030010,P039,Monitor,8.0,98.24,785.92,2021-01-01 00:10:00,Northeast
S030011,P069,Processor,2.0,81.55,163.1,2021-01-01 00:11:00,Northwest
S030012,P064,Monitor,2.0,64.39,128.78,2021-01-01 00:12:00,Northwest
S030013,P042,Tablet,1.0,26.68,26.68,2021-01-01 00:13:00,West
S030014,P071,Desk Lamp,3.0,86.66,259.98,2021-01-01 00:14:00,North
S030015,P034,Camera,5.0,61.47,307.35,2021-01-01 00:15:00,West
S030016,P068,Office Chair,5.0,69.89,349.45,2021-01-01 00:16:00,Southeast
S030017,P064,USB Flash Drive,5.0,55.16,275.79999999999995,2021-01-01 00:17:00,Northeast
S030018,P047,Printer,2.0,53.17,106.34,2021-01-01 00:18:00,Southwest
S030019,P099,Laptop,6.0,73.65,441.90000000000003,2021-01-01 00:19:00,East
S030020,P068,Office Chair,4.0,69.89,279.56,2021-01-01 00:20:00,South
S030021,P085,Motherboard,6.0,92.32,553.92,2021-01-01 00:21:00,East
S030022,P096,Headphones,7.0,40.98,286.85999999999996,2021-01-01 00:22:00,West
S030023,P097,Keyboard,7.0,33.56,234.92000000000002,2021-01-01 00:23:00,East
S030024,P086,Charger,1.0,83.22,83.22,2021-01-01 00:24:00,South
S030025,P036,,4.0,53.28,213.12,2021-01-01 00:25:00,North
S030026,P096,Speaker,3.0,13.66,40.980000000000004,2021-01-01 00:26:00,West
S030027,P048,External Hard Drive,8.0,54.23,433.84,2021-01-01 00:27:00,Central
S030028,P085,Motherboard,3.0,,276.96,,Southwest
S030029,P087,Desk Lamp,6.0,50.93,305.58,2021-01-01 00:29:00,Central
S030030,P028,Processor,2.0,6.13,12.26,2021-01-01 00:30:00,Northeast
S030031,P099,External Hard Drive,5.0,52.15,260.75,2021-01-01 00:31:00,Southeast
S030032,P015,Router,2.0,71.26,142.52,2021-01-01 00:32:00,East
S030033,P058,RAM,8.0,32.4,259.2,2021-01-01 00:33:00,Southwest
S030034,P055,Office Chair,8.0,67.62,540.96,2021-01-01 00:34:00,Northeast
