sale_id,product_id,product_name,quantity,price,total_amount,sale_date,region
S042000,P092,Motherboard,6.0,54.24,325.44,2021-01-01 00:00:00,Southwest
S042001,P039,Speaker,9.0,52.71,474.39,2021-01-01 00:01:00,Northwest
S042002,P061,Graphics Card,2.0,24.77,49.54,2021-01-01 00:02:00,Northwest
S042003,P036,Cooling Fan,7.0,63.54,444.78,2021-01-01 00:03:00,Central
S042004,P012,USB Flash Drive,9.0,10.06,90.54,2021-01-01 00:04:00,Northwest
S042005,P058,RAM,4.0,32.4,129.6,2021-01-01 00:05:00,North
S042006,P065,Processor,6.0,77.36,464.15999999999997,2021-01-01 00:06:00,East
S042007,P001,Camera,1.0,67.13,67.13,2021-01-01 00:07:00,West
S042008,P012,Cooling Fan,6.0,77.17,463.02,2021-01-01 00:08:00,Northeast
S042009,P001,Camera,5.0,67.13,335.65,2021-01-01 00:09:00,Southeast
S042010,P077,Speaker,2.0,42.61,85.22,2021-01-01 00:10:00,Northeast
S042011,P019,Keyboard,7.0,74.09,518.63,2021-01-01 00:11:00,Southeast
S042012,P096,Speaker,,13.66,40.980000000000004,2021-01-01 00:12:00,Southeast
S042013,P061,Smartwatch,6.0,5.91,35.46,2021-01-01 00:13:00,Northeast
S042014,P081,Printer,5.0,12.94,64.7,2021-01-01 00:14:00,West
S042015,P081,Headphones,2.0,71.34,142.68,2021-01-01 00:15:00,West
S042016,P048,Case,6.0,13.81,82.86,2021-01-01 00:16:00,East
S042017,P099,Laptop,2.0,73.65,147.3,2021-01-01 00:17:00,East
S042018,P013,Smartwatch,2.0,97.97,195.94,2021-01-01 00:18:00,Northeast
S042019,P048,Case,7.0,13.81,96.67,2021-01-01 00:19:00,North
S042020,P091,Graphics Card,9.0,59.5,535.5,2021-01-01 00:20:00,Northwest
S042021,P036,Smartphone,5.0,53.28,266.4,2021-01-01 00:21:00,Southeast
S042022,P087,Power Supply,9.0,53.19,478.71,2021-01-01 00:22:00,East
S042023,P035,Smartwatch,1.0,10.02,10.02,2021-01-01 00:23:00,North
S042024,P019,Keyboard,9.0,74.09,666.8100000000001,2021-01-01 00:24:00,East
S042025,P093,Monitor,3.0,8.44,25.32,2021-01-01 00:25:00,South
S042026,P092,Monitor,1.0,31.31,31.31,2021-01-01 00:26:00,East
S042027,P086,Smartphone,5.0,60.55,302.75,2021-01-01 00:27:00,North
S042028,P091,Keyboard,3.0,61.6,184.8,2021-01-01 00:28:00,South
S042029,P068,Office Chair,7.0,69.89,489.23,2021-01-01 00:29:00,West
S042030,P094,Mouse,8.0,86.51,692.08,2021-01-01 00:30:00,Northeast
S042031,P069,Processor,8.0,81.55,652.4,2021-01-01 00:31:00,West
S042032,P055,RAM,8.0,73.16,585.28,2021-01-01 00:32:00,Central
S042033,P055,RAM,9.0,73.16,658.4399999999999,2021-01-01 00:33:00,Northeast
S042034,P087,Desk Lamp,1.0,50.93,50.93,2021-01-01 00:34:00,Northeast
S042035,P087,Router,3.0,79.53,238.59,2021-01-01 00:35:00,South
S042036,P012,,1.0,77.17,77.17,2021-01-01 00:36:00,South
S042037,P025,Power Supply,5.0,45.08,225.39999999999998,2021-01-01 00:37:00,Southeast
S042038,P090,Mouse,2.0,17.99,35.98,2021-01-01 00:38:00,South
S042039,P004,Desk Lamp,8.0,32.63,261.04,2021-01-01 00:39:00,Southwest
S042040,P055,Office Chair,9.0,67.62,608.58,2021-01-01 00:40:00,Southeast
S042041,P077,Speaker,1.0,42.61,42.61,2021-01-01 00:41:00,Northwest
S042042,P079,Memory Card,3.0,19.07,57.21,2021-01-01 00:42:00,Central
S042043,P007,Charger,7.0,56.55,395.84999999999997,2021-01-01 00:43:00,East
S042044,P092,Monitor,2.0,31.31,62.62,2021-01-01 00:44:00,East
S042045,P084,Cooling Fan,4.0,18.61,74.44,2021-01-01 00:45:00,Northwest
S042046,P028,Processor,8.0,6.13,49.04,2021-01-01 00:46:00,Northeast
S042047,P080,Smartphone,8.0,97.09,776.72,2021-01-01 00:47:00,South
S042048,P096,Headphones,5.0,40.98,204.89999999999998,2021-01-01 00:48:00,Northeast
S042049,P034,Camera,1.0,61.47,61.47,2021-01-01 00:49:00,Central
S042050,P079,Memory Card,8.0,19.07,152.56,2021-01-01 00:50:00,Central
S042051,P025,Power Supply,4.0,45.08,180.32,2021-01-01 00:51:00,Central
S042052,P096,Headphones,1.0,40.98,40.98,2021-01-01 00:52:00,Northeast
S042053,P078,Smartphone,4.0,71.88,287.52,2021-01-01 00:53:00,West
S042054,P096,Charger,1.0,55.81,55.81,2021-01-01 00:54:00,Northwest
S042055,P012,Cooling Fan,4.0,77.17,308.68,2021-01-01 00:55:00,South
S042056,P093,Power Supply,9.0,87.66,788.9399999999999,2021-01-01 00:56:00,East
S042057,P046,Camera,6.0,93.21,559.26,2021-01-01 00:57:00,South
S042058,P064,Monitor,6.0,64.39,386.34000000000003,2021-01-01 00:58:00,North
S042059,P025,Power Supply,2.0,45.08,90.16,2021-01-01 00:59:00,South
S042060,P065,Processor,3.0,77.36,232.07999999999998,2021-01-01 01:00:00,Southeast
