sale_id,product_id,product_name,quantity,price,total_amount,sale_date,region
S036000,P061,Smartwatch,5.0,5.91,29.55,2021-01-01 00:00:00,Southeast
S036001,P081,Headphones,5.0,71.34,356.70000000000005,2021-01-01 00:01:00,East
S036002,P077,Speaker,3.0,42.61,127.83,2021-01-01 00:02:00,Southwest
S036003,P068,Office Chair,2.0,69.89,139.78,2021-01-01 00:03:00,North
S036004,P092,Motherboard,8.0,54.24,433.92,2021-01-01 00:04:00,Southeast
S036005,P061,Cooling Fan,9.0,22.48,202.32,2021-01-01 00:05:00,Southwest
S036006,P080,Headphones,3.0,46.69,140.07,2021-01-01 00:06:00,East
S036007,P057,Processor,9.0,11.26,101.34,2021-01-01 00:07:00,Southeast
S036008,P042,Case,9.0,9.47,85.23,2021-01-01 00:08:00,South
S036009,P004,Case,9.0,26.55,238.95000000000002,2021-01-01 00:09:00,East
S036010,P047,Tablet,5.0,77.22,386.1,2021-01-01 00:10:00,East
S036011,P097,Keyboard,9.0,33.56,302.04,2021-01-01 00:11:00,Central
S036012,P094,Motherboard,9.0,58.66,527.9399999999999,2021-01-01 00:12:00,West
S036013,P013,Smartwatch,3.0,97.97,293.90999999999997,2021-01-01 00:13:00,Central
S036014,P080,Headphones,4.0,46.69,186.76,2021-01-01 00:14:00,Northwest
S036015,P077,Smartwatch,4.0,30.65,122.6,2021-01-01 00:15:00,Southwest
S036016,P090,Case,2.0,62.27,124.54,2021-01-01 00:16:00,Northeast
S036017,P047,Tablet,3.0,77.22,231.66,2021-01-01 00:17:00,Southeast
S036018,P071,Desk Lamp,3.0,86.66,259.98,2021-01-01 00:18:00,North
S036019,P091,Memory Card,4.0,17.21,68.84,2021-01-01 00:19:00,Northwest
S036020,P012,Cooling Fan,6.0,77.17,463.02,2021-01-01 00:20:00,West
S036021,P091,Keyboard,4.0,61.6,246.4,2021-01-01 00:21:00,Central
S036022,P025,Power Supply,2.0,45.08,90.16,2021-01-01 00:22:00,Southwest
S036023,P087,Router,2.0,79.53,159.06,2021-01-01 00:23:00,South
S036024,P090,Mouse,9.0,17.99,161.91,2021-01-01 00:24:00,North
S036025,P055,RAM,5.0,73.16,365.79999999999995,2021-01-01 00:25:00,West
S036026,P047,Printer,5.0,53.17,265.85,2021-01-01 00:26:00,West
S036027,P042,Case,8.0,9.47,75.76,2021-01-01 00:27:00,Southeast
S036028,P045,Laptop,5.0,16.25,81.25,2021-01-01 00:28:00,South
S036029,P019,Keyboard,6.0,74.09,444.54,2021-01-01 00:29:00,West
S036030,P001,Camera,6.0,67.13,402.78,2021-01-01 00:30:00,South
S036031,P048,External Hard Drive,9.0,54.23,488.07,2021-01-01 00:31:00,West
S036032,P081,Laptop,8.0,5.64,45.12,2021-01-01 00:32:00,East
S036033,P096,Headphones,9.0,40.98,368.82,2021-01-01 00:33:00,Southwest
S036034,P028,Processor,6.0,6.13,36.78,2021-01-01 00:34:00,Southwest
S036035,P091,Memory Card,6.0,17.21,103.26,2021-01-01 00:35:00,East
S036036,P096,Headphones,3.0,40.98,122.94,2021-01-01 00:36:00,North
S036037,P095,Graphics Card,2.0,7.4,14.8,2021-01-01 00:37:00,East
S036038,P097,Keyboard,6.0,33.56,201.36,2021-01-01 00:38:00,West
S036039,P080,Headphones,8.0,46.69,373.52,2021-01-01 00:39:00,Southeast
S036040,P092,RAM,5.0,73.51,367.55,2021-01-01 00:40:00,West
S036041,P067,Graphics Card,6.0,60.22,361.32,2021-01-01 00:41:00,Southeast
S036042,P086,Charger,5.0,83.22,416.1,2021-01-01 00:42:00,East
S036043,P094,Motherboard,9.0,58.66,527.9399999999999,2021-01-01 00:43:00,South
S036044,P092,RAM,3.0,73.51,220.53000000000003,2021-01-01 00:44:00,Southeast
S036045,P090,Mouse,3.0,17.99,53.97,2021-01-01 00:45:00,Southeast
S036046,P039,Monitor,2.0,98.24,196.48,2021-01-01 00:46:00,Southeast
S036047,P036,Smartphone,9.0,53.28,479.52,2021-01-01 00:47:00,West
S036048,P078,Smartphone,4.0,71.88,287.52,2021-01-01 00:48:00,Central
S036049,P028,Processor,2.0,6.13,12.26,2021-01-01 00:49:00,Southeast
S036050,P074,Tablet,4.0,72.89,291.56,2021-01-01 00:50:00,Northwest
S036051,P048,External Hard Drive,7.0,54.23,379.60999999999996,2021-01-01 00:51:00,Central
S036052,P045,Laptop,9.0,16.25,146.25,2021-01-01 00:52:00,Central
S036053,P039,Monitor,3.0,98.24,294.71999999999997,2021-01-01 00:53:00,Central
S036054,P038,Router,9.0,41.42,372.78000000000003,2021-01-01 00:54:00,Northwest
S036055,P096,Charger,1.0,55.81,55.81,2021-01-01 00:55:00,North
S036056,P003,Printer,9.0,73.34,660.0600000000001,2021-01-01 00:56:00,West
S036057,P042,Tablet,7.0,26.68,186.76,2021-01-01 00:57:00,West
S036058,P074,Tablet,6.0,72.89,437.34000000000003,2021-01-01 00:58:00,North
S036059,P025,Power Supply,3.0,45.08,135.24,2021-01-01 00:59:00,North
S036060,P061,Cooling Fan,3.0,22.48,67.44,2021-01-01 01:00:00,Central
S036061,P068,Office Chair,6.0,69.89,419.34000000000003,2021-01-01 01:01:00,Northeast
