sale_id,product_id,product_name,quantity,price,total_amount,sale_date,region
S054000,P011,Camera,9.0,82.36,741.24,2021-01-01 00:00:00,Southwest
S054001,P039,Monitor,5.0,98.24,491.2,2021-01-01 00:01:00,Central
S054002,P076,RAM,5.0,59.41,297.04999999999995,2021-01-01 00:02:00,South
S054003,P077,Speaker,3.0,42.61,127.83,2021-01-01 00:03:00,North
S054004,P091,Graphics Card,4.0,59.5,238.0,2021-01-01 00:04:00,Southwest
S054005,P057,Mouse,6.0,63.01,378.06,2021-01-01 00:05:00,Northwest
S054006,P061,Graphics Card,3.0,24.77,74.31,2021-01-01 00:06:00,Southeast
S054007,P081,Headphones,9.0,71.34,642.0600000000001,2021-01-01 00:07:00,Northwest
S054008,P092,Motherboard,5.0,54.24,271.2,2021-01-01 00:08:00,Northeast
S054009,P092,Motherboard,9.0,54.24,488.16,2021-01-01 00:09:00,North
S054010,P034,Camera,9.0,61.47,553.23,2021-01-01 00:10:00,South
S054011,P040,Charger,2.0,93.89,187.78,2021-01-01 00:11:00,West
S054012,P068,Office Chair,5.0,69.89,349.45,2021-01-01 00:12:00,East
S054013,P007,Speaker,1.0,31.42,31.42,2021-01-01 00:13:00,West
S054014,P057,Mouse,3.0,63.01,189.03,2021-01-01 00:14:00,South
S054015,P081,Laptop,8.0,5.64,45.12,2021-01-01 00:15:00,Northeast
S054016,P091,Keyboard,6.0,61.6,369.6,2021-01-01 00:16:00,West
S054017,P010,Mouse,2.0,83.66,167.32,2021-01-01 00:17:00,Southwest
S054018,P090,Case,3.0,62.27,186.81,2021-01-01 00:18:00,Southeast
S054019,P096,Headphones,4.0,40.98,163.92,2021-01-01 00:19:00,South
S054020,P091,Graphics Card,2.0,59.5,119.0,2021-01-01 00:20:00,Southeast
S054021,P043,Power Supply,9.0,40.05,360.45,2021-01-01 00:21:00,Southeast
S054022,P011,Motherboard,4.0,74.84,299.36,2021-01-01 00:22:00,Southwest
S054023,P071,Desk Lamp,8.0,86.66,693.28,2021-01-01 00:23:00,South
S054024,P042,Case,1.0,9.47,9.47,2021-01-01 00:24:00,Southeast
S054025,P015,Router,6.0,71.26,427.56000000000006,2021-01-01 00:25:00,East
S054026,P064,USB Flash Drive,4.0,55.16,220.64,2021-01-01 00:26:00,Northwest
S054027,P058,RAM,6.0,32.4,194.39999999999998,2021-01-01 00:27:00,Northwest
S054028,P011,USB Flash Drive,8.0,84.94,679.52,2021-01-01 00:28:00,East
S054029,P036,Cooling Fan,2.0,63.54,127.08,2021-01-01 00:29:00,Central
S054030,P067,Graphics Card,8.0,60.22,481.76,2021-01-01 00:30:00,West
S054031,P047,Printer,3.0,53.17,159.51,2021-01-01 00:31:00,Central
S054032,P085,Motherboard,6.0,92.32,553.92,2021-01-01 00:32:00,South
S054033,P090,Mouse,3.0,17.99,53.97,2021-01-01 00:33:00,Central
S054034,P055,Office Chair,1.0,67.62,67.62,2021-01-01 00:34:00,Northwest
S054035,P080,Smartphone,7.0,97.09,679.63,2021-01-01 00:35:00,South
S054036,P055,RAM,1.0,73.16,73.16,2021-01-01 00:36:00,Southwest
S054037,P077,Speaker,1.0,42.61,42.61,2021-01-01 00:37:00,Northwest
S054038,P058,RAM,5.0,32.4,162.0,2021-01-01 00:38:00,Southwest
S054039,P047,Tablet,2.0,77.22,154.44,2021-01-01 00:39:00,Central
S054040,P015,Router,6.0,71.26,427.56000000000006,2021-01-01 00:40:00,Northeast
S054041,P012,USB Flash Drive,2.0,10.06,20.12,2021-01-01 00:41:00,Southwest
S054042,P003,Printer,1.0,,73.34,2021-01-01 00:42:00,Southeast
S054043,P064,Monitor,6.0,64.39,386.34000000000003,2021-01-01 00:43:00,Central
S054044,P078,Smartphone,2.0,71.88,143.76,2021-01-01 00:44:00,Northeast
S054045,P099,External Hard Drive,8.0,52.15,417.2,2021-01-01 00:45:00,Southeast
S054046,P090,Case,4.0,62.27,249.08,2021-01-01 00:46:00,West
S054047,P092,Monitor,1.0,31.31,31.31,2021-01-01 00:47:00,West
S054048,P092,Monitor,4.0,31.31,125.24,2021-01-01 00:48:00,North
S054049,P057,Processor,4.0,11.26,45.04,2021-01-01 00:49:00,West
S054050,P087,Power Supply,1.0,53.19,53.19,2021-01-01 00:50:00,Southwest
S054051,P087,Router,4.0,79.53,318.12,2021-01-01 00:51:00,Southwest
S054052,P069,Processor,3.0,81.55,244.64999999999998,2021-01-01 00:52:00,East
S054053,P055,Office Chair,2.0,67.62,135.24,2021-01-01 00:53:00,East
S054054,P093,Monitor,5.0,8.44,42.199999999999996,2021-01-01 00:54:00,West
S054055,P087,Power Supply,5.0,53.19,265.95,2021-01-01 00:55:00,Northeast
S054056,P096,Headphones,8.0,40.98,327.84,2021-01-01 00:56:00,South
S054057,P063,Office Chair,3.0,86.83,260.49,2021-01-01 00:57:00,Southwest
S054058,P099,Laptop,5.0,73.65,368.25,2021-01-01 00:58:00,Northwest
S054059,P038,Router,2.0,41.42,82.84,2021-01-01 00:59:00,Northwest
S054060,P011,Camera,1.0,82.36,82.36,2021-01-01 01:00:00,North
S054061,P063,Office Chair,5.0,86.83,434.15,2021-01-01 01:01:00,Central
S054062,P058,RAM,2.0,32.4,64.8,2021-01-01 01:02:00,Southeast
S054063,P071,Desk Lamp,2.0,86.66,173.32,2021-01-01 01:03:00,South
S054064,P093,Power Supply,2.0,87.66,175.32,2021-01-01 01:04:00,West
S054065,P036,Smartphone,7.0,53.28,372.96000000000004,2021-01-01 01:05:00,North
S054066,P090,Case,1.0,62.27,62.27,2021-01-01 01:06:00,Central
S054067,P031,Printer,4.0,30.94,123.76,2021-01-01 01:07:00,Northwest
S054068,P093,Power Supply,6.0,87.66,525.96,2021-01-01 01:08:00,North
S054069,P095,Graphics Card,4.0,7.4,29.6,2021-01-01 01:09:00,West
S054070,P082,Router,2.0,73.65,147.3,2021-01-01 01:10:00,Northwest
S054071,P099,External Hard Drive,4.0,52.15,208.6,2021-01-01 01:11:00,Northwest
S054072,P035,Smartwatch,1.0,10.02,10.02,2021-01-01 01:12:00,South
S054073,P077,Smartwatch,1.0,30.65,30.65,2021-01-01 01:13:00,Southeast
S054074,P012,Cooling Fan,3.0,77.17,231.51,2021-01-01 01:14:00,Northwest
S054075,P080,Headphones,4.0,46.69,186.76,2021-01-01 01:15:00,North
S054076,P090,Case,3.0,62.27,186.81,2021-01-01 01:16:00,South
S054077,P004,Case,3.0,26.55,79.65,2021-01-01 01:17:00,Southeast
S054078,P007,Charger,6.0,56.55,339.29999999999995,2021-01-01 01:18:00,North
S054079,P091,Graphics Card,4.0,59.5,238.0,2021-01-01 01:19:00,West
S054080,P067,Graphics Card,6.0,60.22,361.32,2021-01-01 01:20:00,East
S054081,P067,Office Chair,3.0,62.64,187.92000000000002,2021-01-01 01:21:00,North
S054082,P061,Graphics Card,2.0,24.77,49.54,2021-01-01 01:22:00,Central
S054083,P069,External Hard Drive,6.0,6.56,39.36,2021-01-01 01:23:00,Northeast
S054084,P074,Tablet,2.0,72.89,145.78,2021-01-01 01:24:00,North
S054085,P094,Mouse,3.0,86.51,259.53000000000003,2021-01-01 01:25:00,South
S054086,P078,Memory Card,4.0,19.21,76.84,2021-01-01 01:26:00,Southeast
S054087,P038,Router,5.0,41.42,207.10000000000002,2021-01-01 01:27:00,East
S054088,P010,Desk Lamp,3.0,75.29,225.87,2021-01-01 01:28:00,Southwest
S054089,P097,Keyboard,3.0,33.56,100.68,2021-01-01 01:29:00,North
S054090,P080,Smartphone,6.0,97.09,582.54,2021-01-01 01:30:00,North
S054091,P061,Graphics Card,8.0,24.77,198.16,2021-01-01 01:31:00,Northeast
S054092,P065,Processor,2.0,77.36,154.72,2021-01-01 01:32:00,North
S054093,P068,Office Chair,7.0,69.89,489.23,2021-01-01 01:33:00,East
S054094,P081,Headphones,8.0,71.34,570.72,2021-01-01 01:34:00,West
S054095,P094,Mouse,4.0,86.51,346.04,2021-01-01 01:35:00,Northeast
S054096,P096,Headphones,4.0,40.98,163.92,2021-01-01 01:36:00,East
S054097,P036,Smartphone,2.0,53.28,106.56,2021-01-01 01:37:00,West
S054098,P087,Router,2.0,79.53,159.06,2021-01-01 01:38:00,Northeast
S054099,P011,Camera,2.0,82.36,164.72,2021-01-01 01:39:00,North
S054100,P036,Cooling Fan,9.0,63.54,571.86,2021-01-01 01:40:00,East
S054101,P073,Keyboard,4.0,88.35,353.4,2021-01-01 01:41:00,Southeast
S054102,P090,Case,1.0,62.27,62.27,2021-01-01 01:42:00,Southeast
S054103,P001,Camera,3.0,67.13,201.39,2021-01-01 01:43:00,Southwest
S054104,P019,Keyboard,8.0,74.09,592.72,2021-01-01 01:44:00,Southeast
S054105,P030,Headphones,1.0,53.25,53.25,2021-01-01 01:45:00,East
S054106,P035,Smartwatch,4.0,10.02,40.08,2021-01-01 01:46:00,East
S054107,P010,Desk Lamp,4.0,75.29,301.16,2021-01-01 01:47:00,East
S054108,P091,Keyboard,2.0,61.6,123.2,2021-01-01 01:48:00,Northeast
S054109,P047,Tablet,1.0,77.22,77.22,2021-01-01 01:49:00,North
S054110,P084,Cooling Fan,9.0,18.61,167.49,2021-01-01 01:50:00,South
S054111,P007,Charger,4.0,56.55,226.2,2021-01-01 01:51:00,Central
S054112,P064,USB Flash Drive,8.0,55.16,441.28,2021-01-01 01:52:00,Northwest
S054113,P090,Case,7.0,62.27,435.89000000000004,2021-01-01 01:53:00,Northwest
S054114,P077,Speaker,3.0,42.61,127.83,2021-01-01 01:54:00,West
S054115,P091,Graphics Card,4.0,59.5,238.0,2021-01-01 01:55:00,West
S054116,P081,Laptop,2.0,5.64,11.28,2021-01-01 01:56:00,North
S054117,P096,Speaker,8.0,13.66,109.28,2021-01-01 01:57:00,South
S054118,P076,RAM,5.0,59.41,297.04999999999995,2021-01-01 01:58:00,Southeast
S054119,P007,USB Flash Drive,7.0,35.19,246.32999999999998,2021-01-01 01:59:00,Northeast
S054120,P011,Camera,3.0,82.36,247.07999999999998,2021-01-01 02:00:00,West
S054121,P063,Office Chair,3.0,86.83,260.49,2021-01-01 02:01:00,East
S054122,P085,Motherboard,7.0,92.32,646.24,2021-01-01 02:02:00,West
S054123,P092,Motherboard,8.0,54.24,433.92,2021-01-01 02:03:00,Central
S054124,P091,Keyboard,7.0,61.6,431.2,2021-01-01 02:04:00,Northwest
S054125,P078,Memory Card,1.0,19.21,19.21,2021-01-01 02:05:00,Southwest
S054126,P012,USB Flash Drive,7.0,10.06,70.42,2021-01-01 02:06:00,Northeast
S054127,P007,Charger,9.0,56.55,508.95,2021-01-01 02:07:00,South
S054128,P039,Speaker,3.0,52.71,158.13,2021-01-01 02:08:00,Southeast
S054129,P099,External Hard Drive,6.0,52.15,312.9,2021-01-01 02:09:00,Northwest
S054130,P064,Monitor,3.0,64.39,193.17000000000002,2021-01-01 02:10:00,South
S054131,P004,Case,5.0,26.55,132.75,2021-01-01 02:11:00,South
S054132,P071,Desk Lamp,6.0,86.66,519.96,2021-01-01 02:12:00,Southwest
S054133,P011,Motherboard,6.0,74.84,449.04,2021-01-01 02:13:00,Northwest
S054134,P048,Case,3.0,13.81,41.43,2021-01-01 02:14:00,West
S054135,P039,Speaker,9.0,52.71,474.39,2021-01-01 02:15:00,Southwest
S054136,P015,Router,8.0,71.26,570.08,2021-01-01 02:16:00,South
S054137,P097,Keyboard,,33.56,234.92000000000002,2021-01-01 02:17:00,South
S054138,P091,Keyboard,8.0,61.6,492.8,2021-01-01 02:18:00,Northeast
S054139,P094,Motherboard,7.0,58.66,410.62,2021-01-01 02:19:00,West
S054140,P010,Memory Card,7.0,29.2,204.4,2021-01-01 02:20:00,Southeast
S054141,P042,Tablet,2.0,26.68,53.36,2021-01-01 02:21:00,South
S054142,P086,Charger,9.0,83.22,748.98,2021-01-01 02:22:00,Southwest
S054143,P004,Case,4.0,26.55,106.2,2021-01-01 02:23:00,Central
S054144,P092,,2.0,54.24,108.48,2021-01-01 02:24:00,Central
S054145,P036,Smartphone,1.0,53.28,53.28,2021-01-01 02:25:00,Southwest
S054146,P045,Laptop,1.0,16.25,16.25,2021-01-01 02:26:00,South
S054147,P003,Printer,2.0,73.34,,2021-01-01 02:27:00,Southwest
S054148,P012,USB Flash Drive,3.0,10.06,30.18,2021-01-01 02:28:00,Southwest
S054149,P055,RAM,3.0,73.16,219.48,2021-01-01 02:29:00,Southwest
S054150,P019,Keyboard,8.0,74.09,592.72,2021-01-01 02:30:00,South
