sale_id,product_id,product_name,quantity,price,total_amount,sale_date,region
S120000,P058,RAM,2.0,32.4,64.8,2022-01-01 00:00:00,South
S120001,P079,Memory Card,5.0,19.07,95.35,2022-01-01 00:01:00,East
S120002,P013,Smartwatch,6.0,97.97,587.8199999999999,2022-01-01 00:02:00,Southwest
S120003,P003,Printer,1.0,73.34,73.34,2022-01-01 00:03:00,Southeast
S120004,P028,Processor,7.0,6.13,42.91,2022-01-01 00:04:00,Northeast
S120005,P031,Printer,8.0,30.94,247.52,,South
S120006,P081,Printer,4.0,12.94,51.76,2022-01-01 00:06:00,Southwest
S120007,P036,Cooling Fan,2.0,63.54,127.08,2022-01-01 00:07:00,South
S120008,P046,Camera,5.0,93.21,466.04999999999995,2022-01-01 00:08:00,Northwest
S120009,P058,RAM,4.0,32.4,129.6,2022-01-01 00:09:00,Southwest
S120010,P007,Charger,2.0,56.55,113.1,2022-01-01 00:10:00,Central
S120011,P015,Router,8.0,71.26,570.08,2022-01-01 00:11:00,Central
S120012,P096,Charger,4.0,55.81,223.24,2022-01-01 00:12:00,Northeast
S120013,P074,Tablet,4.0,72.89,291.56,2022-01-01 00:13:00,Central
S120014,P094,Motherboard,8.0,58.66,469.28,2022-01-01 00:14:00,West
S120015,P067,Office Chair,6.0,62.64,375.84000000000003,2022-01-01 00:15:00,West
S120016,P055,Office Chair,6.0,67.62,405.72,2022-01-01 00:16:00,South
S120017,P067,Graphics Card,3.0,60.22,180.66,2022-01-01 00:17:00,Northeast
S120018,P039,Speaker,7.0,52.71,368.97,2022-01-01 00:18:00,Central
S120019,P080,Headphones,2.0,46.69,93.38,2022-01-01 00:19:00,Northwest
S120020,P011,USB Flash Drive,6.0,84.94,509.64,2022-01-01 00:20:00,Northeast
S120021,P087,Desk Lamp,1.0,50.93,50.93,2022-01-01 00:21:00,Southeast
S120022,P082,Router,6.0,73.65,441.90000000000003,2022-01-01 00:22:00,North
S120023,P001,Camera,3.0,67.13,201.39,2022-01-01 00:23:00,Central
S120024,P078,Memory Card,5.0,19.21,96.05000000000001,2022-01-01 00:24:00,East
S120025,P087,Power Supply,6.0,53.19,319.14,2022-01-01 00:25:00,West
S120026,P058,RAM,6.0,32.4,194.39999999999998,2022-01-01 00:26:00,Southeast
S120027,P087,Router,7.0,79.53,556.71,2022-01-01 00:27:00,North
S120028,P003,Printer,7.0,73.34,513.38,2022-01-01 00:28:00,Southwest
S120029,P064,USB Flash Drive,7.0,55.16,386.12,2022-01-01 00:29:00,East
S120030,P035,Smartwatch,1.0,10.02,10.02,2022-01-01 00:30:00,South
S120031,P073,Keyboard,3.0,88.35,265.04999999999995,2022-01-01 00:31:00,West
S120032,P039,Monitor,8.0,98.24,785.92,2022-01-01 00:32:00,Northwest
S120033,P064,Monitor,2.0,64.39,128.78,2022-01-01 00:33:00,South
S120034,P046,Camera,4.0,93.21,372.84,2022-01-01 00:34:00,South
S120035,P076,RAM,5.0,59.41,297.04999999999995,2022-01-01 00:35:00,Northeast
S120036,P061,Graphics Card,5.0,24.77,123.85,2022-01-01 00:36:00,Northwest
S120037,P047,Tablet,5.0,77.22,386.1,2022-01-01 00:37:00,West
S120038,P011,Camera,2.0,82.36,164.72,2022-01-01 00:38:00,Northwest
S120039,P039,Monitor,6.0,98.24,589.4399999999999,2022-01-01 00:39:00,North
S120040,P011,USB Flash Drive,1.0,84.94,84.94,2022-01-01 00:40:00,Northeast
S120041,P031,Printer,2.0,30.94,61.88,,Northwest
S120042,P045,Laptop,8.0,16.25,130.0,2022-01-01 00:42:00,Central
S120043,P092,Motherboard,2.0,54.24,108.48,2022-01-01 00:43:00,Southwest
S120044,P019,Keyboard,9.0,74.09,666.8100000000001,2022-01-01 00:44:00,West
S120045,P092,RAM,6.0,73.51,441.06000000000006,2022-01-01 00:45:00,Southwest
S120046,P099,External Hard Drive,7.0,52.15,365.05,2022-01-01 00:46:00,West
S120047,P063,Office Chair,8.0,86.83,694.64,2022-01-01 00:47:00,Northwest
S120048,P031,Printer,6.0,30.94,185.64000000000001,2022-01-01 00:48:00,East
S120049,P057,Mouse,5.0,63.01,315.05,2022-01-01 00:49:00,South
S120050,P063,Office Chair,2.0,86.83,173.66,2022-01-01 00:50:00,Northwest
S120051,P092,Motherboard,6.0,54.24,325.44,2022-01-01 00:51:00,Southeast
S120052,P035,Smartwatch,5.0,10.02,50.099999999999994,2022-01-01 00:52:00,Southwest
S120053,P028,Processor,1.0,6.13,6.13,2022-01-01 00:53:00,Southeast
S120054,P007,Speaker,6.0,31.42,188.52,2022-01-01 00:54:00,Southeast
S120055,P092,Monitor,3.0,31.31,93.92999999999999,2022-01-01 00:55:00,Southeast
S120056,P069,Processor,3.0,81.55,244.64999999999998,2022-01-01 00:56:00,Southeast
S120057,P063,Office Chair,3.0,86.83,260.49,2022-01-01 00:57:00,Central
S120058,P092,Monitor,6.0,31.31,187.85999999999999,2022-01-01 00:58:00,Central
S120059,P085,Motherboard,8.0,92.32,738.56,2022-01-01 00:59:00,South
S120060,P011,Motherboard,3.0,74.84,224.52,2022-01-01 01:00:00,Southeast
S120061,P013,Smartwatch,4.0,97.97,391.88,2022-01-01 01:01:00,East
S120062,P048,External Hard Drive,3.0,54.23,162.69,2022-01-01 01:02:00,Northwest
S120063,P007,Speaker,8.0,31.42,251.36,2022-01-01 01:03:00,Northwest
S120064,P039,Speaker,7.0,52.71,368.97,2022-01-01 01:04:00,Northwest
S120065,P092,Monitor,2.0,31.31,62.62,2022-01-01 01:05:00,Northeast
S120066,P092,RAM,1.0,73.51,73.51,2022-01-01 01:06:00,South
S120067,P073,Keyboard,9.0,88.35,795.15,2022-01-01 01:07:00,Northeast
S120068,P085,Motherboard,2.0,92.32,184.64,2022-01-01 01:08:00,East
S120069,P004,Case,3.0,26.55,79.65,2022-01-01 01:09:00,East
S120070,P096,Speaker,9.0,13.66,122.94,2022-01-01 01:10:00,North
S120071,P097,Keyboard,8.0,33.56,268.48,2022-01-01 01:11:00,Northeast
S120072,P086,Charger,9.0,83.22,748.98,2022-01-01 01:12:00,Southeast
S120073,P078,Smartphone,7.0,71.88,503.15999999999997,2022-01-01 01:13:00,Northwest
S120074,P092,RAM,4.0,73.51,294.04,2022-01-01 01:14:00,East
S120075,P039,Tablet,3.0,92.91,278.73,2022-01-01 01:15:00,Northeast
S120076,P065,Processor,8.0,77.36,618.88,2022-01-01 01:16:00,East
S120077,P079,Memory Card,2.0,19.07,38.14,2022-01-01 01:17:00,South
S120078,P080,Headphones,1.0,46.69,46.69,2022-01-01 01:18:00,East
S120079,P087,Desk Lamp,3.0,,152.79,2022-01-01 01:19:00,Southeast
S120080,P061,Cooling Fan,4.0,22.48,89.92,2022-01-01 01:20:00,Northeast
S120081,P087,Router,2.0,79.53,159.06,2022-01-01 01:21:00,West
S120082,P057,Processor,6.0,11.26,67.56,2022-01-01 01:22:00,Central
S120083,P025,Power Supply,2.0,45.08,90.16,2022-01-01 01:23:00,East
S120084,P094,Mouse,4.0,86.51,346.04,2022-01-01 01:24:00,North
S120085,P069,External Hard Drive,3.0,6.56,19.68,2022-01-01 01:25:00,South
S120086,P068,Office Chair,5.0,69.89,349.45,2022-01-01 01:26:00,Southwest
S120087,P080,Smartphone,1.0,97.09,97.09,2022-01-01 01:27:00,South
S120088,P096,Charger,8.0,55.81,446.48,2022-01-01 01:28:00,Southwest
S120089,P012,USB Flash Drive,,10.06,40.24,2022-01-01 01:29:00,Northwest
S120090,P043,Power Supply,4.0,40.05,160.2,2022-01-01 01:30:00,Northeast
S120091,P030,Headphones,3.0,53.25,,2022-01-01 01:31:00,East
S120092,P011,USB Flash Drive,5.0,84.94,424.7,2022-01-01 01:32:00,Southeast
S120093,P087,Power Supply,1.0,53.19,53.19,2022-01-01 01:33:00,North
S120094,P036,Cooling Fan,7.0,63.54,444.78,2022-01-01 01:34:00,South
S120095,P004,Case,9.0,26.55,238.95000000000002,2022-01-01 01:35:00,Northwest
S120096,P063,Office Chair,4.0,86.83,347.32,2022-01-01 01:36:00,South
S120097,P047,Printer,2.0,53.17,106.34,2022-01-01 01:37:00,Southeast
S120098,P043,Power Supply,8.0,40.05,320.4,2022-01-01 01:38:00,North
S120099,P040,Charger,9.0,93.89,845.01,2022-01-01 01:39:00,Northwest
S120100,P077,Smartwatch,8.0,30.65,245.2,2022-01-01 01:40:00,East
S120101,P087,Desk Lamp,4.0,50.93,203.72,2022-01-01 01:41:00,East
S120102,P081,Laptop,3.0,5.64,16.919999999999998,2022-01-01 01:42:00,South
S120103,P077,Speaker,8.0,42.61,340.88,2022-01-01 01:43:00,Southwest
S120104,P078,Smartphone,5.0,71.88,359.4,2022-01-01 01:44:00,Northeast
S120105,P077,Speaker,7.0,42.61,298.27,2022-01-01 01:45:00,Central
S120106,P012,USB Flash Drive,9.0,10.06,90.54,2022-01-01 01:46:00,North
S120107,P012,Cooling Fan,5.0,77.17,385.85,2022-01-01 01:47:00,North
S120108,P093,Power Supply,4.0,87.66,350.64,2022-01-01 01:48:00,Central
S120109,P045,Laptop,7.0,16.25,113.75,2022-01-01 01:49:00,Northwest
S120110,P092,Monitor,5.0,31.31,156.54999999999998,2022-01-01 01:50:00,Northeast
S120111,P068,Office Chair,8.0,69.89,559.12,2022-01-01 01:51:00,West
S120112,P028,Processor,1.0,6.13,6.13,2022-01-01 01:52:00,Central
S120113,P007,USB Flash Drive,1.0,35.19,35.19,2022-01-01 01:53:00,North
S120114,P073,Keyboard,1.0,88.35,88.35,2022-01-01 01:54:00,North
S120115,P047,Tablet,6.0,77.22,463.32,2022-01-01 01:55:00,West
S120116,P077,Smartwatch,7.0,30.65,214.54999999999998,2022-01-01 01:56:00,Northwest
S120117,P078,Smartphone,2.0,71.88,143.76,2022-01-01 01:57:00,Central
S120118,P096,Charger,9.0,55.81,502.29,2022-01-01 01:58:00,Northeast
S120119,P061,Smartwatch,1.0,5.91,5.91,2022-01-01 01:59:00,Northwest
S120120,P038,,8.0,41.42,331.36,2022-01-01 02:00:00,Southeast
S120121,P068,Office Chair,3.0,69.89,209.67000000000002,2022-01-01 02:01:00,South
S120122,P039,Speaker,6.0,52.71,316.26,2022-01-01 02:02:00,Northwest
S120123,P039,Monitor,3.0,98.24,294.71999999999997,2022-01-01 02:03:00,East
S120124,P085,Motherboard,6.0,92.32,553.92,2022-01-01 02:04:00,Central
S120125,P048,External Hard Drive,8.0,54.23,,2022-01-01 02:05:00,Southeast
S120126,P038,Router,7.0,41.42,289.94,2022-01-01 02:06:00,South
S120127,P064,USB Flash Drive,3.0,55.16,165.48,2022-01-01 02:07:00,Southwest
S120128,P092,Motherboard,6.0,54.24,325.44,2022-01-01 02:08:00,West
S120129,P012,Cooling Fan,1.0,77.17,77.17,2022-01-01 02:09:00,Central
S120130,P064,USB Flash Drive,4.0,55.16,220.64,2022-01-01 02:10:00,South
S120131,P048,Case,2.0,13.81,27.62,2022-01-01 02:11:00,South
S120132,P087,Power Supply,9.0,53.19,478.71,2022-01-01 02:12:00,Central
S120133,P004,Case,3.0,26.55,79.65,2022-01-01 02:13:00,Southeast
S120134,P039,Tablet,4.0,92.91,371.64,2022-01-01 02:14:00,North
S120135,P086,Charger,9.0,83.22,748.98,2022-01-01 02:15:00,Southeast
S120136,P092,RAM,4.0,73.51,294.04,2022-01-01 02:16:00,North
S120137,P039,Speaker,6.0,52.71,316.26,2022-01-01 02:17:00,East
S120138,P003,Printer,8.0,73.34,586.72,2022-01-01 02:18:00,East
S120139,P042,Tablet,7.0,26.68,186.76,2022-01-01 02:19:00,Northeast
S120140,P096,Charger,2.0,55.81,111.62,2022-01-01 02:20:00,West
S120141,P090,Case,9.0,62.27,560.4300000000001,2022-01-01 02:21:00,Northwest
S120142,P010,Mouse,4.0,83.66,334.64,2022-01-01 02:22:00,South
S120143,P094,Mouse,9.0,86.51,778.59,2022-01-01 02:23:00,North
S120144,P040,Charger,8.0,93.89,751.12,2022-01-01 02:24:00,Southwest
S120145,P007,Speaker,8.0,31.42,251.36,2022-01-01 02:25:00,Southwest
S120146,P067,Office Chair,5.0,62.64,313.2,2022-01-01 02:26:00,West
S120147,P094,Mouse,9.0,86.51,778.59,2022-01-01 02:27:00,Central
S120148,P067,Office Chair,5.0,62.64,313.2,2022-01-01 02:28:00,Northwest
