sale_id,product_id,product_name,quantity,price,total_amount,sale_date,region
S138000,P039,Monitor,3.0,98.24,294.71999999999997,2022-01-01 00:00:00,East
S138001,P010,Desk Lamp,2.0,75.29,150.58,2022-01-01 00:01:00,West
S138002,P048,Case,2.0,13.81,27.62,2022-01-01 00:02:00,Northwest
S138003,P042,Tablet,3.0,26.68,80.03999999999999,2022-01-01 00:03:00,Southwest
S138004,P079,Memory Card,7.0,19.07,133.49,2022-01-01 00:04:00,South
S138005,P001,Camera,3.0,67.13,201.39,2022-01-01 00:05:00,Central
S138006,P090,Mouse,7.0,17.99,125.92999999999999,2022-01-01 00:06:00,Northeast
S138007,P061,Graphics Card,1.0,24.77,24.77,2022-01-01 00:07:00,Central
S138008,P058,RAM,8.0,32.4,259.2,2022-01-01 00:08:00,South
S138009,P035,Smartwatch,2.0,10.02,20.04,2022-01-01 00:09:00,Northwest
S138010,P081,Headphones,1.0,71.34,71.34,2022-01-01 00:10:00,Northwest
S138011,P079,Memory Card,2.0,19.07,38.14,2022-01-01 00:11:00,West
S138012,P080,Headphones,1.0,46.69,46.69,2022-01-01 00:12:00,Southwest
S138013,P055,Office Chair,1.0,67.62,67.62,2022-01-01 00:13:00,Central
S138014,P025,Power Supply,5.0,45.08,225.39999999999998,2022-01-01 00:14:00,West
S138015,P039,Monitor,1.0,98.24,98.24,2022-01-01 00:15:00,West
S138016,P011,Camera,8.0,82.36,658.88,2022-01-01 00:16:00,North
S138017,P043,Power Supply,1.0,40.05,40.05,2022-01-01 00:17:00,Northeast
S138018,P080,Headphones,4.0,46.69,186.76,2022-01-01 00:18:00,Southwest
S138019,P092,Monitor,1.0,31.31,31.31,2022-01-01 00:19:00,North
S138020,P094,Motherboard,8.0,58.66,469.28,2022-01-01 00:20:00,Northwest
S138021,P082,Router,7.0,73.65,515.5500000000001,2022-01-01 00:21:00,North
S138022,P058,RAM,3.0,32.4,97.19999999999999,2022-01-01 00:22:00,South
S138023,P087,Power Supply,6.0,53.19,319.14,2022-01-01 00:23:00,Southeast
S138024,P097,Keyboard,3.0,33.56,100.68,2022-01-01 00:24:00,Northeast
S138025,P085,Motherboard,3.0,92.32,276.96,2022-01-01 00:25:00,West
S138026,P040,Charger,4.0,93.89,375.56,2022-01-01 00:26:00,Northeast
S138027,P015,Router,6.0,71.26,427.56000000000006,2022-01-01 00:27:00,Northeast
S138028,P010,Memory Card,1.0,29.2,29.2,2022-01-01 00:28:00,East
S138029,P019,Keyboard,9.0,74.09,666.8100000000001,2022-01-01 00:29:00,Northeast
S138030,P091,Memory Card,6.0,17.21,103.26,2022-01-01 00:30:00,Central
S138031,P086,Smartphone,2.0,60.55,121.1,2022-01-01 00:31:00,East
S138032,P015,Router,1.0,71.26,71.26,2022-01-01 00:32:00,Northeast
S138033,P036,Smartphone,5.0,53.28,266.4,2022-01-01 00:33:00,Southwest
S138034,P012,Cooling Fan,7.0,77.17,540.19,2022-01-01 00:34:00,West
S138035,P043,Power Supply,3.0,40.05,120.14999999999999,2022-01-01 00:35:00,Northeast
S138036,P076,RAM,7.0,59.41,415.87,2022-01-01 00:36:00,Northeast
S138037,P084,Cooling Fan,7.0,18.61,130.26999999999998,2022-01-01 00:37:00,East
S138038,P031,Printer,8.0,30.94,247.52,2022-01-01 00:38:00,Central
S138039,P047,Printer,9.0,53.17,478.53000000000003,2022-01-01 00:39:00,Southeast
