sale_id,product_id,product_name,quantity,price,total_amount,sale_date,region
S132000,P094,Mouse,9.0,86.51,778.59,2022-01-01 00:00:00,Northeast
S132001,P094,Mouse,9.0,86.51,778.59,2022-01-01 00:01:00,South
S132002,P087,Power Supply,3.0,53.19,159.57,2022-01-01 00:02:00,North
S132003,P095,Graphics Card,3.0,7.4,22.200000000000003,2022-01-01 00:03:00,Northeast
S132004,P067,Office Chair,2.0,62.64,125.28,2022-01-01 00:04:00,South
S132005,P076,RAM,8.0,59.41,475.28,2022-01-01 00:05:00,South
S132006,P010,Desk Lamp,2.0,,150.58,2022-01-01 00:06:00,Northwest
S132007,P007,Speaker,4.0,31.42,125.68,2022-01-01 00:07:00,Northeast
S132008,P067,Graphics Card,4.0,60.22,240.88,2022-01-01 00:08:00,Northeast
S132009,P013,Smartwatch,2.0,97.97,195.94,2022-01-01 00:09:00,Southeast
S132010,P090,Mouse,7.0,17.99,125.92999999999999,2022-01-01 00:10:00,Northwest
S132011,P038,Router,9.0,41.42,372.78000000000003,2022-01-01 00:11:00,North
S132012,P080,Headphones,5.0,46.69,233.45,2022-01-01 00:12:00,Central
S132013,P057,Processor,9.0,11.26,101.34,2022-01-01 00:13:00,Central
S132014,P067,Graphics Card,8.0,60.22,481.76,2022-01-01 00:14:00,Northwest
S132015,P065,Processor,5.0,77.36,386.8,2022-01-01 00:15:00,Northeast
S132016,P092,Monitor,4.0,31.31,125.24,2022-01-01 00:16:00,Southwest
S132017,P043,Power Supply,2.0,40.05,80.1,2022-01-01 00:17:00,West
S132018,P039,Monitor,3.0,98.24,294.71999999999997,2022-01-01 00:18:00,Central
S132019,P091,Memory Card,8.0,17.21,137.68,2022-01-01 00:19:00,South
S132020,P067,Office Chair,6.0,62.64,375.84000000000003,2022-01-01 00:20:00,Northwest
S132021,P086,Charger,4.0,83.22,332.88,2022-01-01 00:21:00,Southeast
S132022,P065,Processor,,77.36,618.88,2022-01-01 00:22:00,South
S132023,P074,Tablet,6.0,72.89,,2022-01-01 00:23:00,East
S132024,P078,Smartphone,4.0,71.88,287.52,2022-01-01 00:24:00,South
S132025,P082,Router,1.0,73.65,73.65,2022-01-01 00:25:00,Southwest
S132026,P066,External Hard Drive,2.0,89.28,178.56,2022-01-01 00:26:00,West
S132027,P061,Smartwatch,4.0,5.91,23.64,2022-01-01 00:27:00,South
S132028,P035,Smartwatch,5.0,10.02,50.099999999999994,2022-01-01 00:28:00,Central
S132029,P097,Keyboard,2.0,33.56,67.12,2022-01-01 00:29:00,North
S132030,P094,Mouse,7.0,86.51,605.57,2022-01-01 00:30:00,Southwest
S132031,P078,Smartphone,7.0,71.88,503.15999999999997,2022-01-01 00:31:00,West
S132032,P096,Headphones,9.0,40.98,368.82,2022-01-01 00:32:00,North
S132033,P068,Office Chair,9.0,69.89,629.01,2022-01-01 00:33:00,Central
S132034,P078,Memory Card,1.0,19.21,19.21,2022-01-01 00:34:00,Northwest
S132035,P058,RAM,3.0,32.4,97.19999999999999,2022-01-01 00:35:00,Southwest
S132036,P081,Laptop,3.0,5.64,16.919999999999998,2022-01-01 00:36:00,Southeast
S132037,P096,Speaker,2.0,13.66,27.32,2022-01-01 00:37:00,East
S132038,P007,Speaker,7.0,31.42,219.94,2022-01-01 00:38:00,West
S132039,P087,Power Supply,3.0,53.19,159.57,2022-01-01 00:39:00,Northwest
S132040,P067,Office Chair,5.0,62.64,313.2,2022-01-01 00:40:00,South
S132041,P055,RAM,4.0,73.16,292.64,2022-01-01 00:41:00,South
S132042,P094,Motherboard,9.0,58.66,527.9399999999999,2022-01-01 00:42:00,North
S132043,P047,Printer,7.0,53.17,372.19,2022-01-01 00:43:00,Central
S132044,P011,Camera,8.0,82.36,658.88,2022-01-01 00:44:00,Southwest
S132045,P039,Speaker,1.0,52.71,52.71,2022-01-01 00:45:00,South
S132046,P036,Cooling Fan,9.0,63.54,571.86,2022-01-01 00:46:00,Northeast
S132047,P055,Office Chair,9.0,67.62,608.58,2022-01-01 00:47:00,South
S132048,P092,Monitor,3.0,31.31,93.92999999999999,2022-01-01 00:48:00,West
S132049,P036,Cooling Fan,4.0,63.54,254.16,2022-01-01 00:49:00,Central
S132050,P071,Desk Lamp,5.0,86.66,433.29999999999995,2022-01-01 00:50:00,West
S132051,P064,Monitor,2.0,64.39,128.78,2022-01-01 00:51:00,West
S132052,P069,Processor,6.0,81.55,489.29999999999995,2022-01-01 00:52:00,Northeast
S132053,P093,Power Supply,6.0,87.66,525.96,2022-01-01 00:53:00,West
S132054,P067,Office Chair,9.0,62.64,563.76,2022-01-01 00:54:00,East
S132055,P063,Office Chair,5.0,86.83,434.15,2022-01-01 00:55:00,Central
S132056,P096,Headphones,9.0,40.98,368.82,2022-01-01 00:56:00,Northeast
S132057,P007,Speaker,6.0,31.42,188.52,2022-01-01 00:57:00,Central
S132058,P038,Router,1.0,41.42,41.42,2022-01-01 00:58:00,South
S132059,P010,Memory Card,1.0,29.2,29.2,2022-01-01 00:59:00,East
S132060,P044,Laptop,4.0,21.88,87.52,2022-01-01 01:00:00,Central
S132061,P057,Processor,9.0,11.26,101.34,2022-01-01 01:01:00,Northwest
S132062,P064,USB Flash Drive,6.0,55.16,330.96,2022-01-01 01:02:00,Northwest
S132063,P090,Mouse,4.0,17.99,71.96,2022-01-01 01:03:00,Central
S132064,P061,Smartwatch,,5.91,11.82,2022-01-01 01:04:00,Southeast
S132065,P093,Power Supply,1.0,87.66,87.66,2022-01-01 01:05:00,Southwest
S132066,P011,USB Flash Drive,5.0,84.94,424.7,2022-01-01 01:06:00,South
S132067,P077,Smartwatch,5.0,30.65,153.25,2022-01-01 01:07:00,Central
S132068,P076,RAM,2.0,59.41,118.82,2022-01-01 01:08:00,West
S132069,P010,Memory Card,8.0,29.2,233.6,2022-01-01 01:09:00,Southwest
S132070,P076,RAM,6.0,59.41,356.46,2022-01-01 01:10:00,West
S132071,P068,Office Chair,1.0,69.89,69.89,2022-01-01 01:11:00,East
S132072,P010,Desk Lamp,6.0,75.29,451.74,2022-01-01 01:12:00,Southeast
S132073,P012,USB Flash Drive,5.0,10.06,50.300000000000004,2022-01-01 01:13:00,Northeast
S132074,P080,Headphones,1.0,46.69,46.69,2022-01-01 01:14:00,Southwest
S132075,P013,Smartwatch,3.0,97.97,293.90999999999997,2022-01-01 01:15:00,Southeast
S132076,P077,Smartwatch,7.0,30.65,214.54999999999998,2022-01-01 01:16:00,Southwest
S132077,P082,Router,9.0,73.65,662.85,2022-01-01 01:17:00,Southwest
S132078,P096,Headphones,1.0,40.98,40.98,2022-01-01 01:18:00,Southwest
S132079,P007,USB Flash Drive,4.0,35.19,140.76,2022-01-01 01:19:00,Southeast
S132080,P078,Memory Card,6.0,19.21,115.26,2022-01-01 01:20:00,North
S132081,P010,Memory Card,1.0,29.2,29.2,2022-01-01 01:21:00,East
S132082,P013,Smartwatch,8.0,97.97,783.76,2022-01-01 01:22:00,East
S132083,P068,Office Chair,2.0,69.89,139.78,2022-01-01 01:23:00,Northwest
S132084,P099,Laptop,2.0,73.65,147.3,2022-01-01 01:24:00,Southeast
S132085,P061,Cooling Fan,7.0,22.48,157.36,2022-01-01 01:25:00,West
S132086,P094,Motherboard,4.0,58.66,234.64,2022-01-01 01:26:00,Southwest
S132087,P011,USB Flash Drive,5.0,84.94,424.7,2022-01-01 01:27:00,Central
S132088,P087,Power Supply,4.0,53.19,212.76,2022-01-01 01:28:00,South
S132089,P013,Smartwatch,9.0,97.97,881.73,2022-01-01 01:29:00,Northwest
S132090,P074,Tablet,3.0,72.89,218.67000000000002,2022-01-01 01:30:00,Southwest
S132091,P040,Charger,4.0,93.89,375.56,2022-01-01 01:31:00,Northeast
