sale_id,product_id,product_name,quantity,price,total_amount,sale_date,region
S150000,P077,Smartwatch,3.0,30.65,91.94999999999999,2023-01-01 00:00:00,South
S150001,P078,Memory Card,5.0,19.21,96.05000000000001,2023-01-01 00:01:00,Northwest
S150002,P035,Smartwatch,8.0,10.02,80.16,2023-01-01 00:02:00,Northeast
S150003,P042,Tablet,1.0,26.68,26.68,2023-01-01 00:03:00,South
S150004,P039,Monitor,6.0,98.24,589.4399999999999,2023-01-01 00:04:00,North
S150005,P061,Cooling Fan,1.0,22.48,22.48,2023-01-01 00:05:00,Northeast
S150006,P092,Monitor,8.0,31.31,250.48,2023-01-01 00:06:00,Northwest
S150007,P080,Headphones,5.0,46.69,233.45,2023-01-01 00:07:00,East
S150008,P039,Monitor,2.0,98.24,196.48,2023-01-01 00:08:00,Southwest
S150009,P007,Charger,3.0,56.55,169.64999999999998,2023-01-01 00:09:00,Southwest
S150010,P048,External Hard Drive,3.0,54.23,162.69,2023-01-01 00:10:00,North
S150011,P039,Speaker,5.0,52.71,263.55,2023-01-01 00:11:00,West
S150012,P099,Laptop,7.0,73.65,515.5500000000001,2023-01-01 00:12:00,South
S150013,P087,Router,2.0,79.53,159.06,2023-01-01 00:13:00,Northeast
S150014,P078,Memory Card,8.0,19.21,153.68,2023-01-01 00:14:00,East
S150015,P067,Office Chair,2.0,62.64,125.28,2023-01-01 00:15:00,South
S150016,P065,Processor,9.0,77.36,696.24,2023-01-01 00:16:00,Southwest
S150017,P087,Router,5.0,79.53,397.65,2023-01-01 00:17:00,East
S150018,P057,Mouse,1.0,63.01,63.01,2023-01-01 00:18:00,Southwest
S150019,P061,Smartwatch,7.0,5.91,41.370000000000005,2023-01-01 00:19:00,Southeast
S150020,P081,Printer,9.0,12.94,116.46,2023-01-01 00:20:00,Central
S150021,P096,Headphones,7.0,40.98,286.85999999999996,2023-01-01 00:21:00,South
S150022,P081,Laptop,7.0,5.64,39.48,2023-01-01 00:22:00,South
S150023,P011,Motherboard,8.0,74.84,598.72,2023-01-01 00:23:00,East
S150024,P047,Tablet,8.0,77.22,617.76,2023-01-01 00:24:00,West
S150025,P057,Mouse,2.0,63.01,126.02,2023-01-01 00:25:00,Central
S150026,P042,Tablet,8.0,26.68,213.44,2023-01-01 00:26:00,East
S150027,P067,Graphics Card,2.0,60.22,120.44,2023-01-01 00:27:00,East
S150028,P086,Smartphone,7.0,60.55,423.84999999999997,2023-01-01 00:28:00,Northwest
S150029,P031,Printer,7.0,30.94,216.58,2023-01-01 00:29:00,Central
S150030,P092,Monitor,1.0,31.31,31.31,2023-01-01 00:30:00,Southwest
S150031,P061,Graphics Card,8.0,24.77,198.16,2023-01-01 00:31:00,Southeast
S150032,P046,Camera,8.0,93.21,745.68,2023-01-01 00:32:00,Southwest
S150033,P039,Tablet,2.0,92.91,185.82,2023-01-01 00:33:00,West
S150034,P078,Memory Card,2.0,19.21,38.42,2023-01-01 00:34:00,Northwest
S150035,P010,Mouse,1.0,83.66,83.66,2023-01-01 00:35:00,Northwest
S150036,P015,Router,1.0,71.26,71.26,2023-01-01 00:36:00,West
S150037,P025,Power Supply,9.0,45.08,405.71999999999997,2023-01-01 00:37:00,Northwest
S150038,P040,Charger,4.0,93.89,375.56,2023-01-01 00:38:00,Southeast
S150039,P038,Router,6.0,41.42,248.52,2023-01-01 00:39:00,Southwest
S150040,P040,Charger,7.0,93.89,657.23,2023-01-01 00:40:00,East
S150041,P091,Keyboard,6.0,61.6,369.6,2023-01-01 00:41:00,Southeast
S150042,P069,External Hard Drive,4.0,6.56,26.24,2023-01-01 00:42:00,South
S150043,P048,Case,5.0,13.81,69.05,2023-01-01 00:43:00,West
S150044,P012,USB Flash Drive,9.0,10.06,90.54,2023-01-01 00:44:00,Northwest
S150045,P091,Graphics Card,8.0,59.5,476.0,2023-01-01 00:45:00,North
S150046,P010,Desk Lamp,3.0,75.29,225.87,2023-01-01 00:46:00,Southeast
S150047,P078,Smartphone,9.0,71.88,646.92,2023-01-01 00:47:00,North
S150048,P099,External Hard Drive,9.0,52.15,469.34999999999997,2023-01-01 00:48:00,West
S150049,P090,Case,1.0,62.27,62.27,2023-01-01 00:49:00,Northeast
S150050,P036,Smartphone,7.0,53.28,372.96000000000004,2023-01-01 00:50:00,East
S150051,P061,Graphics Card,6.0,24.77,148.62,2023-01-01 00:51:00,Central
S150052,P091,Memory Card,2.0,17.21,34.42,2023-01-01 00:52:00,Southeast
S150053,P007,Charger,1.0,56.55,56.55,2023-01-01 00:53:00,East
S150054,P087,Power Supply,1.0,53.19,53.19,2023-01-01 00:54:00,South
S150055,P095,Graphics Card,3.0,7.4,22.200000000000003,2023-01-01 00:55:00,Southwest
S150056,P057,Processor,5.0,11.26,56.3,2023-01-01 00:56:00,Northwest
S150057,P010,Memory Card,3.0,29.2,87.6,2023-01-01 00:57:00,Southwest
S150058,P010,Mouse,3.0,83.66,250.98,2023-01-01 00:58:00,Northeast
S150059,P013,Smartwatch,3.0,97.97,293.90999999999997,2023-01-01 00:59:00,Northeast
S150060,P012,USB Flash Drive,4.0,10.06,40.24,2023-01-01 01:00:00,Northeast
S150061,P086,Charger,2.0,83.22,166.44,2023-01-01 01:01:00,North
S150062,P063,Office Chair,3.0,86.83,260.49,2023-01-01 01:02:00,Central
S150063,P047,Printer,3.0,53.17,159.51,2023-01-01 01:03:00,Northwest
S150064,P055,RAM,7.0,73.16,512.12,2023-01-01 01:04:00,Southwest
S150065,P082,Router,2.0,73.65,147.3,2023-01-01 01:05:00,East
S150066,P069,External Hard Drive,,6.56,59.04,2023-01-01 01:06:00,Southwest
S150067,P063,Office Chair,9.0,86.83,781.47,2023-01-01 01:07:00,Southeast
S150068,P035,Smartwatch,6.0,10.02,60.12,2023-01-01 01:08:00,West
S150069,P099,Laptop,8.0,73.65,589.2,2023-01-01 01:09:00,East
S150070,P012,Cooling Fan,1.0,77.17,77.17,2023-01-01 01:10:00,Northeast
S150071,P069,External Hard Drive,2.0,6.56,13.12,2023-01-01 01:11:00,Northwest
S150072,P097,Keyboard,6.0,33.56,201.36,2023-01-01 01:12:00,Central
S150073,P039,Monitor,9.0,98.24,884.16,2023-01-01 01:13:00,North
