sale_id,product_id,product_name,quantity,price,total_amount,sale_date,region
S144000,P010,Mouse,8.0,83.66,669.28,2023-01-01 00:00:00,West
S144001,P048,Case,7.0,13.81,96.67,2023-01-01 00:01:00,Northwest
S144002,P076,RAM,8.0,59.41,475.28,2023-01-01 00:02:00,West
S144003,P046,Camera,3.0,93.21,279.63,2023-01-01 00:03:00,Northeast
S144004,P087,Power Supply,6.0,53.19,319.14,2023-01-01 00:04:00,Northwest
S144005,P081,Headphones,5.0,71.34,356.70000000000005,2023-01-01 00:05:00,South
S144006,P035,Smartwatch,4.0,10.02,40.08,2023-01-01 00:06:00,West
S144007,P077,Speaker,7.0,42.61,298.27,2023-01-01 00:07:00,Northeast
S144008,P057,Mouse,6.0,63.01,378.06,2023-01-01 00:08:00,Northwest
S144009,P039,Monitor,,98.24,491.2,2023-01-01 00:09:00,Northeast
S144010,P096,Speaker,6.0,13.66,81.96000000000001,2023-01-01 00:10:00,South
S144011,P086,Charger,5.0,83.22,416.1,2023-01-01 00:11:00,North
S144012,P043,Power Supply,1.0,40.05,40.05,2023-01-01 00:12:00,South
S144013,P078,Smartphone,2.0,71.88,143.76,2023-01-01 00:13:00,Northwest
S144014,P087,Power Supply,4.0,53.19,212.76,2023-01-01 00:14:00,Northeast
S144015,P063,Office Chair,5.0,86.83,434.15,2023-01-01 00:15:00,South
S144016,P091,Graphics Card,4.0,59.5,238.0,2023-01-01 00:16:00,Southeast
S144017,P097,Keyboard,8.0,33.56,268.48,2023-01-01 00:17:00,South
S144018,P074,Tablet,2.0,72.89,145.78,2023-01-01 00:18:00,Northwest
S144019,P025,Power Supply,7.0,45.08,315.56,2023-01-01 00:19:00,West
S144020,P080,Headphones,3.0,46.69,140.07,2023-01-01 00:20:00,North
S144021,P087,Desk Lamp,3.0,50.93,152.79,2023-01-01 00:21:00,Southwest
S144022,P061,Smartwatch,8.0,5.91,47.28,2023-01-01 00:22:00,East
S144023,P035,Smartwatch,4.0,10.02,40.08,2023-01-01 00:23:00,Southeast
S144024,P046,Camera,4.0,93.21,372.84,2023-01-01 00:24:00,North
S144025,P013,Smartwatch,6.0,97.97,587.8199999999999,2023-01-01 00:25:00,North
S144026,P048,External Hard Drive,2.0,54.23,108.46,2023-01-01 00:26:00,East
S144027,P078,Smartphone,9.0,71.88,646.92,2023-01-01 00:27:00,South
S144028,P038,Router,6.0,41.42,248.52,2023-01-01 00:28:00,Central
S144029,P039,Tablet,8.0,92.91,743.28,2023-01-01 00:29:00,East
S144030,P090,Case,2.0,62.27,124.54,2023-01-01 00:30:00,West
S144031,P047,Printer,9.0,53.17,478.53000000000003,2023-01-01 00:31:00,Central
S144032,P069,Processor,6.0,81.55,489.29999999999995,2023-01-01 00:32:00,Northeast
S144033,P068,Office Chair,3.0,69.89,209.67000000000002,2023-01-01 00:33:00,South
S144034,P010,Desk Lamp,6.0,75.29,451.74,2023-01-01 00:34:00,Southwest
S144035,P058,RAM,8.0,32.4,259.2,2023-01-01 00:35:00,Central
S144036,P034,Camera,9.0,61.47,553.23,2023-01-01 00:36:00,West
S144037,P003,Printer,9.0,73.34,660.0600000000001,2023-01-01 00:37:00,Southwest
S144038,P048,Case,2.0,13.81,27.62,2023-01-01 00:38:00,Central
S144039,P097,Keyboard,8.0,33.56,268.48,2023-01-01 00:39:00,Southeast
S144040,P087,Desk Lamp,4.0,50.93,203.72,2023-01-01 00:40:00,Northwest
S144041,P045,Laptop,6.0,16.25,97.5,2023-01-01 00:41:00,Northwest
S144042,P047,,6.0,77.22,463.32,2023-01-01 00:42:00,Southwest
S144043,P012,Cooling Fan,9.0,77.17,694.53,2023-01-01 00:43:00,Southwest
S144044,P039,Tablet,3.0,92.91,278.73,2023-01-01 00:44:00,Northeast
S144045,P003,Printer,9.0,73.34,660.0600000000001,2023-01-01 00:45:00,East
S144046,P066,External Hard Drive,6.0,,535.6800000000001,2023-01-01 00:46:00,North
S144047,P055,Office Chair,6.0,67.62,405.72,2023-01-01 00:47:00,Northwest
S144048,P011,USB Flash Drive,5.0,84.94,424.7,2023-01-01 00:48:00,North
S144049,P010,Desk Lamp,4.0,75.29,301.16,2023-01-01 00:49:00,East
S144050,P092,Monitor,1.0,31.31,31.31,2023-01-01 00:50:00,Southeast
S144051,P061,Cooling Fan,4.0,22.48,89.92,2023-01-01 00:51:00,Northwest
S144052,P096,Headphones,2.0,40.98,81.96,2023-01-01 00:52:00,East
S144053,P031,Printer,9.0,30.94,278.46000000000004,2023-01-01 00:53:00,North
S144054,P031,Printer,4.0,30.94,123.76,2023-01-01 00:54:00,Northeast
S144055,P034,Camera,6.0,61.47,368.82,2023-01-01 00:55:00,South
S144056,P048,External Hard Drive,9.0,54.23,488.07,2023-01-01 00:56:00,West
S144057,P047,Tablet,9.0,77.22,694.98,2023-01-01 00:57:00,East
S144058,P068,Office Chair,4.0,69.89,279.56,2023-01-01 00:58:00,Southwest
S144059,P069,Processor,4.0,81.55,326.2,2023-01-01 00:59:00,Southwest
S144060,P099,Laptop,9.0,73.65,,2023-01-01 01:00:00,South
S144061,P092,Monitor,4.0,31.31,125.24,2023-01-01 01:01:00,South
S144062,P091,Graphics Card,9.0,59.5,535.5,2023-01-01 01:02:00,Northwest
S144063,P036,Smartphone,6.0,53.28,319.68,2023-01-01 01:03:00,Northwest
S144064,P042,Case,9.0,9.47,85.23,2023-01-01 01:04:00,Central
S144065,P096,Charger,4.0,55.81,223.24,2023-01-01 01:05:00,Southeast
S144066,P055,Office Chair,2.0,67.62,135.24,2023-01-01 01:06:00,East
S144067,P036,Cooling Fan,8.0,63.54,508.32,2023-01-01 01:07:00,West
S144068,P080,Smartphone,1.0,97.09,97.09,2023-01-01 01:08:00,Southeast
S144069,P064,Monitor,5.0,64.39,321.95,2023-01-01 01:09:00,South
S144070,P025,Power Supply,7.0,45.08,315.56,2023-01-01 01:10:00,East
S144071,P096,Charger,8.0,55.81,446.48,2023-01-01 01:11:00,Central
S144072,P080,Headphones,4.0,46.69,186.76,2023-01-01 01:12:00,East
S144073,P007,Speaker,5.0,31.42,157.10000000000002,2023-01-01 01:13:00,Northwest
S144074,P092,RAM,5.0,73.51,367.55,2023-01-01 01:14:00,Northeast
S144075,P077,Speaker,8.0,42.61,340.88,2023-01-01 01:15:00,North
S144076,P036,Smartphone,5.0,53.28,266.4,2023-01-01 01:16:00,Northeast
S144077,P042,Tablet,9.0,26.68,240.12,2023-01-01 01:17:00,Northeast
S144078,P048,External Hard Drive,7.0,54.23,379.60999999999996,2023-01-01 01:18:00,Southeast
S144079,P048,Case,2.0,13.81,27.62,2023-01-01 01:19:00,West
S144080,P048,External Hard Drive,9.0,54.23,488.07,2023-01-01 01:20:00,Southeast
S144081,P081,Headphones,9.0,71.34,642.0600000000001,2023-01-01 01:21:00,North
S144082,P093,Monitor,7.0,8.44,59.08,2023-01-01 01:22:00,West
S144083,P077,Speaker,6.0,42.61,255.66,2023-01-01 01:23:00,South
S144084,P043,Power Supply,7.0,40.05,280.34999999999997,2023-01-01 01:24:00,Southwest
S144085,P067,Graphics Card,7.0,60.22,421.53999999999996,2023-01-01 01:25:00,North
S144086,P093,Monitor,7.0,8.44,59.08,2023-01-01 01:26:00,Southwest
S144087,P039,Speaker,9.0,52.71,474.39,2023-01-01 01:27:00,Southwest
S144088,P097,Keyboard,7.0,33.56,234.92000000000002,2023-01-01 01:28:00,North
S144089,P080,Smartphone,6.0,97.09,582.54,2023-01-01 01:29:00,West
S144090,P039,Speaker,2.0,52.71,105.42,2023-01-01 01:30:00,Northeast
S144091,P084,Cooling Fan,6.0,18.61,111.66,2023-01-01 01:31:00,West
S144092,P086,Charger,8.0,83.22,665.76,2023-01-01 01:32:00,West
S144093,P096,Charger,9.0,55.81,,2023-01-01 01:33:00,Southeast
S144094,P047,Tablet,7.0,77.22,540.54,2023-01-01 01:34:00,Northeast
S144095,P042,Tablet,4.0,26.68,106.72,2023-01-01 01:35:00,Central
S144096,P077,Smartwatch,5.0,30.65,153.25,2023-01-01 01:36:00,East
S144097,P034,Camera,7.0,61.47,430.28999999999996,2023-01-01 01:37:00,North
S144098,P081,Headphones,3.0,71.34,214.02,2023-01-01 01:38:00,Northeast
S144099,P077,Speaker,6.0,42.61,255.66,2023-01-01 01:39:00,West
S144100,P064,Monitor,4.0,64.39,257.56,2023-01-01 01:40:00,Northeast
S144101,P047,Tablet,4.0,77.22,308.88,2023-01-01 01:41:00,North
S144102,P080,Smartphone,3.0,97.09,291.27,2023-01-01 01:42:00,Central
S144103,P077,Speaker,4.0,42.61,170.44,2023-01-01 01:43:00,Central
S144104,P078,Memory Card,8.0,19.21,153.68,2023-01-01 01:44:00,North
S144105,P013,Smartwatch,2.0,97.97,195.94,2023-01-01 01:45:00,South
S144106,P010,Mouse,9.0,83.66,752.9399999999999,2023-01-01 01:46:00,South
S144107,P071,Desk Lamp,2.0,86.66,173.32,2023-01-01 01:47:00,Northeast
S144108,P087,Power Supply,5.0,53.19,265.95,2023-01-01 01:48:00,North
S144109,P096,Headphones,5.0,40.98,204.89999999999998,2023-01-01 01:49:00,Southeast
S144110,P042,Case,7.0,9.47,66.29,2023-01-01 01:50:00,Southwest
S144111,P015,Router,6.0,71.26,427.56000000000006,2023-01-01 01:51:00,East
S144112,P031,Printer,8.0,30.94,247.52,2023-01-01 01:52:00,Southwest
S144113,P011,USB Flash Drive,7.0,84.94,594.5799999999999,2023-01-01 01:53:00,Southeast
S144114,P094,Motherboard,2.0,58.66,117.32,2023-01-01 01:54:00,Central
S144115,P077,Smartwatch,8.0,30.65,245.2,2023-01-01 01:55:00,South
S144116,P076,RAM,1.0,59.41,59.41,2023-01-01 01:56:00,West
S144117,P047,Printer,8.0,53.17,425.36,2023-01-01 01:57:00,Northwest
S144118,P046,Camera,2.0,93.21,186.42,2023-01-01 01:58:00,South
S144119,P064,USB Flash Drive,9.0,55.16,496.43999999999994,2023-01-01 01:59:00,Northwest
S144120,P092,Motherboard,6.0,54.24,325.44,2023-01-01 02:00:00,Central
S144121,P055,Office Chair,8.0,67.62,540.96,2023-01-01 02:01:00,West
S144122,P081,Printer,9.0,12.94,116.46,2023-01-01 02:02:00,East
S144123,P076,RAM,2.0,59.41,118.82,2023-01-01 02:03:00,Southwest
S144124,P035,Smartwatch,4.0,10.02,40.08,2023-01-01 02:04:00,Central
S144125,P028,Processor,1.0,6.13,6.13,2023-01-01 02:05:00,Central
S144126,P074,Tablet,9.0,72.89,656.01,2023-01-01 02:06:00,West
