sale_id,product_id,product_name,quantity,price,total_amount,sale_date,region
S168000,P071,Desk Lamp,3.0,86.66,259.98,2023-01-01 00:00:00,Southeast
S168001,P081,Printer,5.0,12.94,64.7,2023-01-01 00:01:00,North
S168002,P093,Monitor,1.0,8.44,8.44,2023-01-01 00:02:00,West
S168003,P004,Case,4.0,26.55,106.2,2023-01-01 00:03:00,Northeast
S168004,P019,Keyboard,8.0,74.09,592.72,2023-01-01 00:04:00,Southwest
S168005,P055,Office Chair,8.0,67.62,540.96,2023-01-01 00:05:00,Northwest
S168006,P076,RAM,6.0,59.41,356.46,2023-01-01 00:06:00,West
S168007,P066,External Hard Drive,5.0,89.28,446.4,2023-01-01 00:07:00,Central
S168008,P012,USB Flash Drive,6.0,10.06,60.36,2023-01-01 00:08:00,South
S168009,P042,Tablet,7.0,26.68,186.76,2023-01-01 00:09:00,South
S168010,P086,Charger,7.0,83.22,582.54,2023-01-01 00:10:00,West
S168011,P007,USB Flash Drive,3.0,35.19,105.57,2023-01-01 00:11:00,Northwest
S168012,P010,Desk Lamp,8.0,75.29,602.32,2023-01-01 00:12:00,East
S168013,P091,Keyboard,9.0,61.6,554.4,2023-01-01 00:13:00,Central
S168014,P099,External Hard Drive,4.0,52.15,208.6,,Southwest
S168015,P039,Monitor,,98.24,785.92,2023-01-01 00:15:00,East
S168016,P013,Smartwatch,7.0,97.97,685.79,2023-01-01 00:16:00,Northeast
S168017,P046,Camera,5.0,93.21,466.04999999999995,2023-01-01 00:17:00,Northeast
S168018,P042,Case,4.0,9.47,37.88,2023-01-01 00:18:00,Central
S168019,P025,Power Supply,1.0,45.08,45.08,2023-01-01 00:19:00,Central
S168020,P069,Processor,6.0,81.55,489.29999999999995,2023-01-01 00:20:00,South
S168021,P094,Motherboard,2.0,58.66,117.32,2023-01-01 00:21:00,West
S168022,P087,Desk Lamp,6.0,50.93,305.58,,Central
S168023,P025,Power Supply,4.0,45.08,180.32,2023-01-01 00:23:00,Northwest
S168024,P043,Power Supply,4.0,40.05,160.2,2023-01-01 00:24:00,Northeast
S168025,P079,Memory Card,2.0,19.07,38.14,2023-01-01 00:25:00,Central
S168026,P096,Headphones,5.0,40.98,204.89999999999998,2023-01-01 00:26:00,Southeast
S168027,P080,Smartphone,5.0,97.09,485.45000000000005,2023-01-01 00:27:00,East
S168028,P092,,8.0,54.24,433.92,2023-01-01 00:28:00,Northwest
S168029,P047,Tablet,7.0,77.22,540.54,2023-01-01 00:29:00,Central
S168030,P087,Router,8.0,79.53,636.24,2023-01-01 00:30:00,South
S168031,P048,Case,2.0,13.81,27.62,2023-01-01 00:31:00,Southwest
S168032,P013,Smartwatch,6.0,97.97,587.8199999999999,2023-01-01 00:32:00,Southeast
S168033,P040,Charger,6.0,93.89,563.34,2023-01-01 00:33:00,Central
S168034,P065,Processor,4.0,77.36,309.44,2023-01-01 00:34:00,South
S168035,P028,Processor,2.0,6.13,12.26,2023-01-01 00:35:00,Southeast
S168036,P044,Laptop,5.0,21.88,109.39999999999999,2023-01-01 00:36:00,North
S168037,P087,Power Supply,3.0,53.19,159.57,2023-01-01 00:37:00,North
S168038,P003,Printer,9.0,73.34,660.0600000000001,2023-01-01 00:38:00,Southwest
S168039,P063,Office Chair,1.0,86.83,86.83,2023-01-01 00:39:00,North
S168040,P097,Keyboard,2.0,33.56,67.12,2023-01-01 00:40:00,Southwest
S168041,P092,RAM,9.0,73.51,661.59,2023-01-01 00:41:00,South
S168042,P019,Keyboard,7.0,74.09,518.63,2023-01-01 00:42:00,East
S168043,P001,Camera,5.0,67.13,335.65,2023-01-01 00:43:00,East
S168044,P004,Desk Lamp,4.0,32.63,130.52,2023-01-01 00:44:00,West
S168045,P010,Memory Card,6.0,29.2,175.2,2023-01-01 00:45:00,Northeast
S168046,P036,Cooling Fan,4.0,63.54,254.16,2023-01-01 00:46:00,Northeast
S168047,P093,Power Supply,7.0,87.66,613.62,2023-01-01 00:47:00,East
S168048,P039,Monitor,5.0,98.24,491.2,2023-01-01 00:48:00,West
S168049,P010,Memory Card,2.0,29.2,58.4,2023-01-01 00:49:00,Central
S168050,P015,Router,3.0,71.26,213.78000000000003,2023-01-01 00:50:00,North
S168051,P028,Processor,6.0,6.13,36.78,2023-01-01 00:51:00,Northwest
S168052,P025,Power Supply,1.0,45.08,45.08,2023-01-01 00:52:00,South
S168053,P086,Charger,7.0,83.22,582.54,2023-01-01 00:53:00,North
S168054,P096,Charger,6.0,55.81,334.86,2023-01-01 00:54:00,West
S168055,P042,Case,1.0,9.47,9.47,2023-01-01 00:55:00,East
S168056,P003,Printer,4.0,73.34,293.36,2023-01-01 00:56:00,East
S168057,P066,External Hard Drive,5.0,89.28,446.4,2023-01-01 00:57:00,Central
S168058,P063,Office Chair,1.0,86.83,86.83,2023-01-01 00:58:00,Northwest
S168059,P087,Power Supply,4.0,53.19,212.76,2023-01-01 00:59:00,Northeast
S168060,P087,Desk Lamp,4.0,50.93,203.72,2023-01-01 01:00:00,Central
S168061,P084,Cooling Fan,7.0,18.61,130.26999999999998,2023-01-01 01:01:00,Southeast
S168062,P011,Motherboard,9.0,74.84,673.5600000000001,2023-01-01 01:02:00,West
S168063,P095,Graphics Card,1.0,7.4,7.4,2023-01-01 01:03:00,Northeast
S168064,P091,Graphics Card,5.0,59.5,297.5,2023-01-01 01:04:00,North
S168065,P012,Cooling Fan,8.0,77.17,617.36,2023-01-01 01:05:00,North
S168066,P064,Monitor,2.0,64.39,128.78,2023-01-01 01:06:00,Southwest
S168067,P042,Tablet,9.0,26.68,240.12,2023-01-01 01:07:00,Southeast
S168068,P081,Laptop,4.0,5.64,22.56,2023-01-01 01:08:00,Northwest
S168069,P055,RAM,6.0,73.16,438.96,2023-01-01 01:09:00,Northeast
S168070,P011,USB Flash Drive,9.0,84.94,764.46,2023-01-01 01:10:00,Northeast
S168071,P036,Cooling Fan,9.0,63.54,571.86,2023-01-01 01:11:00,East
S168072,P080,Headphones,2.0,46.69,93.38,2023-01-01 01:12:00,South
S168073,P084,Cooling Fan,4.0,18.61,74.44,2023-01-01 01:13:00,North
S168074,P043,Power Supply,9.0,40.05,360.45,2023-01-01 01:14:00,Northwest
S168075,P039,Speaker,2.0,52.71,105.42,2023-01-01 01:15:00,Northwest
S168076,P099,Laptop,3.0,73.65,220.95000000000002,2023-01-01 01:16:00,West
S168077,P087,Power Supply,1.0,53.19,53.19,2023-01-01 01:17:00,Southeast
S168078,P077,Smartwatch,8.0,30.65,245.2,2023-01-01 01:18:00,West
S168079,P010,Mouse,3.0,83.66,250.98,2023-01-01 01:19:00,Central
S168080,P090,Case,2.0,62.27,124.54,2023-01-01 01:20:00,Southwest
S168081,P004,Desk Lamp,7.0,32.63,228.41000000000003,2023-01-01 01:21:00,Northeast
S168082,P036,Cooling Fan,4.0,63.54,254.16,2023-01-01 01:22:00,North
S168083,P007,USB Flash Drive,4.0,35.19,140.76,2023-01-01 01:23:00,East
S168084,P036,Smartphone,3.0,53.28,159.84,2023-01-01 01:24:00,Northeast
S168085,P092,RAM,7.0,73.51,514.57,2023-01-01 01:25:00,Southwest
S168086,P077,Smartwatch,3.0,30.65,91.94999999999999,2023-01-01 01:26:00,South
S168087,P084,Cooling Fan,3.0,18.61,55.83,2023-01-01 01:27:00,South
S168088,P074,Tablet,4.0,72.89,291.56,2023-01-01 01:28:00,Southwest
S168089,P013,Smartwatch,7.0,97.97,685.79,2023-01-01 01:29:00,Northeast
S168090,P092,Motherboard,6.0,54.24,325.44,2023-01-01 01:30:00,Northeast
S168091,P096,Charger,2.0,55.81,111.62,2023-01-01 01:31:00,Northwest
S168092,P040,Charger,8.0,93.89,751.12,2023-01-01 01:32:00,North
S168093,P007,Speaker,1.0,31.42,31.42,2023-01-01 01:33:00,Central
S168094,P045,Laptop,6.0,16.25,97.5,2023-01-01 01:34:00,North
S168095,P063,Office Chair,3.0,86.83,260.49,2023-01-01 01:35:00,South
S168096,P077,Smartwatch,7.0,30.65,214.54999999999998,2023-01-01 01:36:00,Central
S168097,P080,Smartphone,9.0,97.09,873.8100000000001,2023-01-01 01:37:00,East
S168098,P038,Router,4.0,41.42,165.68,2023-01-01 01:38:00,Central
S168099,P092,Motherboard,6.0,54.24,325.44,2023-01-01 01:39:00,Southeast
S168100,P045,Laptop,7.0,16.25,113.75,2023-01-01 01:40:00,Southeast
S168101,P011,USB Flash Drive,7.0,84.94,594.5799999999999,2023-01-01 01:41:00,Southwest
S168102,P090,Mouse,1.0,17.99,17.99,2023-01-01 01:42:00,Southeast
S168103,P091,Memory Card,8.0,17.21,137.68,2023-01-01 01:43:00,Southeast
S168104,P055,RAM,4.0,73.16,292.64,2023-01-01 01:44:00,Central
S168105,P010,Mouse,8.0,83.66,669.28,2023-01-01 01:45:00,Northwest
S168106,P092,Monitor,1.0,31.31,31.31,2023-01-01 01:46:00,Southeast
S168107,P036,Smartphone,9.0,53.28,479.52,2023-01-01 01:47:00,South
S168108,P067,Graphics Card,7.0,60.22,421.53999999999996,2023-01-01 01:48:00,Northeast
S168109,P093,Power Supply,9.0,87.66,788.9399999999999,2023-01-01 01:49:00,Northwest
S168110,P096,Headphones,2.0,40.98,81.96,2023-01-01 01:50:00,Northwest
S168111,P081,Headphones,7.0,71.34,499.38,2023-01-01 01:51:00,South
S168112,P043,Power Supply,6.0,40.05,240.29999999999998,2023-01-01 01:52:00,East
S168113,P007,USB Flash Drive,8.0,35.19,281.52,2023-01-01 01:53:00,Southeast
S168114,P011,USB Flash Drive,2.0,84.94,169.88,2023-01-01 01:54:00,Northwest
S168115,P066,External Hard Drive,9.0,89.28,803.52,2023-01-01 01:55:00,North
S168116,P095,Graphics Card,2.0,,14.8,2023-01-01 01:56:00,Central
S168117,P036,Smartphone,3.0,53.28,159.84,2023-01-01 01:57:00,North
S168118,P087,Power Supply,8.0,53.19,425.52,2023-01-01 01:58:00,Southwest
S168119,P047,Tablet,8.0,77.22,617.76,2023-01-01 01:59:00,Northwest
S168120,P092,Motherboard,6.0,54.24,325.44,2023-01-01 02:00:00,Northwest
S168121,P012,Cooling Fan,7.0,77.17,540.19,2023-01-01 02:01:00,Southeast
S168122,P036,Cooling Fan,7.0,63.54,444.78,2023-01-01 02:02:00,Southwest
S168123,P087,Router,7.0,79.53,556.71,2023-01-01 02:03:00,Southeast
S168124,P090,Mouse,8.0,17.99,143.92,2023-01-01 02:04:00,South
S168125,P091,Memory Card,4.0,17.21,68.84,2023-01-01 02:05:00,South
S168126,P071,Desk Lamp,9.0,86.66,779.9399999999999,2023-01-01 02:06:00,South
S168127,P012,Cooling Fan,8.0,77.17,617.36,2023-01-01 02:07:00,West
S168128,P077,Smartwatch,4.0,30.65,122.6,2023-01-01 02:08:00,Central
S168129,P071,Desk Lamp,9.0,86.66,779.9399999999999,2023-01-01 02:09:00,Southeast
S168130,P038,Router,5.0,41.42,,2023-01-01 02:10:00,Central
S168131,P063,Office Chair,7.0,86.83,607.81,2023-01-01 02:11:00,Northwest
S168132,P031,Printer,7.0,30.94,216.58,2023-01-01 02:12:00,Southeast
S168133,P019,Keyboard,3.0,74.09,222.27,2023-01-01 02:13:00,Southwest
S168134,P044,Laptop,5.0,21.88,109.39999999999999,2023-01-01 02:14:00,South
S168135,P064,USB Flash Drive,1.0,55.16,55.16,2023-01-01 02:15:00,Southeast
S168136,P073,Keyboard,7.0,88.35,618.4499999999999,2023-01-01 02:16:00,Northwest
S168137,P081,Printer,4.0,12.94,51.76,2023-01-01 02:17:00,Central
S168138,P007,Charger,8.0,56.55,452.4,2023-01-01 02:18:00,Northwest
S168139,P069,Processor,5.0,81.55,407.75,2023-01-01 02:19:00,Southeast
S168140,P001,Camera,1.0,67.13,67.13,2023-01-01 02:20:00,Central
S168141,P061,Graphics Card,6.0,24.77,148.62,2023-01-01 02:21:00,North
S168142,P045,Laptop,1.0,16.25,16.25,2023-01-01 02:22:00,Southeast
S168143,P078,Smartphone,7.0,71.88,503.15999999999997,2023-01-01 02:23:00,West
