sale_id,product_id,product_name,quantity,price,total_amount,sale_date,region
S102000,P086,Smartphone,7.0,60.55,423.84999999999997,2022-01-01 00:00:00,North
S102001,P091,Memory Card,8.0,17.21,137.68,2022-01-01 00:01:00,East
S102002,P010,Memory Card,8.0,29.2,233.6,2022-01-01 00:02:00,North
S102003,P086,Smartphone,8.0,60.55,484.4,2022-01-01 00:03:00,East
S102004,P004,Desk Lamp,9.0,32.63,293.67,2022-01-01 00:04:00,West
S102005,P012,USB Flash Drive,2.0,10.06,20.12,2022-01-01 00:05:00,Central
S102006,P048,Case,6.0,13.81,82.86,2022-01-01 00:06:00,Northeast
S102007,P039,Monitor,9.0,98.24,884.16,2022-01-01 00:07:00,North
S102008,P055,Office Chair,4.0,67.62,270.48,2022-01-01 00:08:00,East
S102009,P013,Smartwatch,7.0,97.97,685.79,2022-01-01 00:09:00,South
S102010,P036,Smartphone,1.0,53.28,53.28,2022-01-01 00:10:00,Southeast
S102011,P055,RAM,6.0,73.16,438.96,2022-01-01 00:11:00,Southwest
S102012,P036,Smartphone,7.0,53.28,372.96000000000004,2022-01-01 00:12:00,Southeast
S102013,P096,Headphones,1.0,40.98,40.98,2022-01-01 00:13:00,West
S102014,P004,Desk Lamp,5.0,32.63,163.15,2022-01-01 00:14:00,West
S102015,P047,Tablet,3.0,77.22,231.66,2022-01-01 00:15:00,Southeast
S102016,P013,Smartwatch,6.0,97.97,587.8199999999999,2022-01-01 00:16:00,North
S102017,P093,Power Supply,4.0,87.66,350.64,2022-01-01 00:17:00,Central
S102018,P099,Laptop,2.0,73.65,147.3,2022-01-01 00:18:00,North
S102019,P048,Case,1.0,13.81,13.81,2022-01-01 00:19:00,Central
S102020,P048,External Hard Drive,9.0,54.23,488.07,2022-01-01 00:20:00,Southwest
S102021,P036,Smartphone,9.0,53.28,479.52,2022-01-01 00:21:00,Southeast
S102022,P007,USB Flash Drive,6.0,35.19,211.14,2022-01-01 00:22:00,Southeast
S102023,P084,Cooling Fan,5.0,18.61,93.05,2022-01-01 00:23:00,Northwest
S102024,P096,Headphones,3.0,40.98,122.94,2022-01-01 00:24:00,Northwest
S102025,P086,Charger,7.0,83.22,582.54,2022-01-01 00:25:00,Northeast
S102026,P048,External Hard Drive,5.0,54.23,271.15,2022-01-01 00:26:00,East
S102027,P090,Mouse,5.0,17.99,89.94999999999999,2022-01-01 00:27:00,North
S102028,P030,Headphones,2.0,53.25,106.5,2022-01-01 00:28:00,Central
S102029,P003,Printer,3.0,73.34,220.02,2022-01-01 00:29:00,West
S102030,P068,Office Chair,2.0,69.89,139.78,2022-01-01 00:30:00,Southwest
S102031,P028,Processor,7.0,6.13,42.91,2022-01-01 00:31:00,East
S102032,P039,Speaker,6.0,52.71,316.26,2022-01-01 00:32:00,East
S102033,P064,Monitor,1.0,64.39,64.39,2022-01-01 00:33:00,North
S102034,P019,Keyboard,3.0,74.09,222.27,2022-01-01 00:34:00,Northwest
S102035,P081,Printer,6.0,12.94,77.64,2022-01-01 00:35:00,Central
S102036,P028,Processor,7.0,6.13,42.91,2022-01-01 00:36:00,South
S102037,P064,USB Flash Drive,4.0,55.16,220.64,2022-01-01 00:37:00,Northeast
S102038,P012,Cooling Fan,7.0,77.17,540.19,2022-01-01 00:38:00,Southwest
S102039,P080,Smartphone,1.0,97.09,97.09,2022-01-01 00:39:00,Southeast
S102040,P087,Router,7.0,79.53,556.71,2022-01-01 00:40:00,Northeast
S102041,P066,External Hard Drive,3.0,89.28,267.84000000000003,2022-01-01 00:41:00,Northwest
S102042,P010,Mouse,1.0,83.66,83.66,2022-01-01 00:42:00,South
S102043,P092,RAM,5.0,73.51,367.55,2022-01-01 00:43:00,East
S102044,P092,Monitor,5.0,31.31,156.54999999999998,2022-01-01 00:44:00,Northwest
S102045,P055,RAM,9.0,73.16,658.4399999999999,2022-01-01 00:45:00,South
S102046,P087,Router,4.0,79.53,318.12,2022-01-01 00:46:00,East
S102047,P047,Tablet,5.0,77.22,386.1,2022-01-01 00:47:00,Southwest
S102048,P064,USB Flash Drive,9.0,55.16,496.43999999999994,2022-01-01 00:48:00,East
S102049,P084,Cooling Fan,4.0,18.61,74.44,2022-01-01 00:49:00,Southwest
S102050,P095,Graphics Card,2.0,7.4,14.8,2022-01-01 00:50:00,Northeast
S102051,P077,Smartwatch,6.0,30.65,183.89999999999998,2022-01-01 00:51:00,West
S102052,P096,Charger,1.0,55.81,55.81,2022-01-01 00:52:00,Southeast
S102053,P007,Speaker,6.0,31.42,188.52,2022-01-01 00:53:00,Northwest
S102054,P096,Headphones,9.0,40.98,368.82,2022-01-01 00:54:00,Northeast
S102055,P080,Smartphone,7.0,97.09,679.63,2022-01-01 00:55:00,Southeast
S102056,P086,Smartphone,2.0,60.55,121.1,2022-01-01 00:56:00,West
S102057,P036,Cooling Fan,1.0,63.54,63.54,2022-01-01 00:57:00,Southwest
S102058,P045,Laptop,8.0,16.25,130.0,2022-01-01 00:58:00,Northwest
S102059,P092,Motherboard,2.0,54.24,108.48,2022-01-01 00:59:00,East
S102060,P045,Laptop,2.0,16.25,32.5,2022-01-01 01:00:00,East
S102061,P004,Case,5.0,26.55,132.75,2022-01-01 01:01:00,Southeast
S102062,P048,External Hard Drive,3.0,54.23,162.69,2022-01-01 01:02:00,North
S102063,P085,Motherboard,5.0,92.32,461.59999999999997,2022-01-01 01:03:00,North
S102064,P011,Camera,2.0,82.36,164.72,2022-01-01 01:04:00,North
S102065,P055,RAM,7.0,73.16,512.12,2022-01-01 01:05:00,Southwest
S102066,P061,Smartwatch,7.0,5.91,41.370000000000005,2022-01-01 01:06:00,West
S102067,P030,Headphones,4.0,53.25,213.0,2022-01-01 01:07:00,Southwest
S102068,P082,Router,4.0,73.65,294.6,2022-01-01 01:08:00,South
S102069,P095,Graphics Card,9.0,7.4,66.60000000000001,2022-01-01 01:09:00,Central
S102070,P069,Processor,4.0,81.55,326.2,2022-01-01 01:10:00,Southeast
S102071,P007,Speaker,4.0,31.42,125.68,2022-01-01 01:11:00,Northwest
S102072,P069,Processor,2.0,81.55,163.1,2022-01-01 01:12:00,Northwest
S102073,P036,Smartphone,3.0,53.28,159.84,2022-01-01 01:13:00,Southeast
S102074,P042,Tablet,2.0,26.68,53.36,2022-01-01 01:14:00,Northeast
S102075,P045,Laptop,9.0,16.25,146.25,2022-01-01 01:15:00,Southwest
S102076,P080,Smartphone,6.0,97.09,582.54,2022-01-01 01:16:00,West
S102077,P036,Smartphone,6.0,53.28,319.68,2022-01-01 01:17:00,Northwest
S102078,P046,Camera,9.0,93.21,838.89,2022-01-01 01:18:00,West
S102079,P039,Monitor,9.0,98.24,884.16,2022-01-01 01:19:00,East
S102080,P046,Camera,2.0,93.21,186.42,2022-01-01 01:20:00,South
S102081,P086,Charger,1.0,83.22,83.22,2022-01-01 01:21:00,North
S102082,P077,Smartwatch,3.0,30.65,91.94999999999999,2022-01-01 01:22:00,Northeast
S102083,P092,Monitor,4.0,31.31,125.24,2022-01-01 01:23:00,South
S102084,P007,Speaker,1.0,31.42,31.42,2022-01-01 01:24:00,North
S102085,P069,Processor,1.0,81.55,81.55,2022-01-01 01:25:00,Northwest
S102086,P082,Router,8.0,73.65,589.2,2022-01-01 01:26:00,North
S102087,P007,USB Flash Drive,9.0,35.19,316.71,2022-01-01 01:27:00,Northwest
S102088,P076,RAM,8.0,59.41,475.28,2022-01-01 01:28:00,Central
S102089,P011,USB Flash Drive,9.0,84.94,764.46,2022-01-01 01:29:00,Southeast
S102090,P007,USB Flash Drive,9.0,35.19,316.71,2022-01-01 01:30:00,Northwest
S102091,P067,Office Chair,3.0,62.64,187.92000000000002,2022-01-01 01:31:00,Northwest
S102092,P087,Router,6.0,79.53,477.18,2022-01-01 01:32:00,Southwest
S102093,P036,Smartphone,7.0,53.28,372.96000000000004,2022-01-01 01:33:00,Northwest
S102094,P092,Monitor,7.0,31.31,219.17,2022-01-01 01:34:00,North
S102095,P007,Charger,6.0,56.55,339.29999999999995,2022-01-01 01:35:00,Northeast
S102096,P063,Office Chair,6.0,86.83,520.98,2022-01-01 01:36:00,Southwest
S102097,P066,External Hard Drive,2.0,89.28,178.56,2022-01-01 01:37:00,South
S102098,P042,Tablet,9.0,26.68,240.12,2022-01-01 01:38:00,Northeast
S102099,P048,Case,9.0,13.81,124.29,2022-01-01 01:39:00,Southeast
S102100,P042,Case,9.0,9.47,85.23,2022-01-01 01:40:00,South
S102101,P036,Cooling Fan,2.0,63.54,127.08,2022-01-01 01:41:00,West
S102102,P085,Motherboard,8.0,92.32,738.56,2022-01-01 01:42:00,North
S102103,P048,Case,9.0,13.81,124.29,2022-01-01 01:43:00,East
S102104,P076,RAM,8.0,59.41,475.28,2022-01-01 01:44:00,Southeast
S102105,P084,Cooling Fan,2.0,18.61,37.22,2022-01-01 01:45:00,Southeast
S102106,P092,RAM,5.0,73.51,367.55,2022-01-01 01:46:00,Southwest
S102107,P038,Router,6.0,41.42,248.52,2022-01-01 01:47:00,East
S102108,P087,Router,2.0,79.53,159.06,2022-01-01 01:48:00,Central
S102109,P092,RAM,6.0,73.51,441.06000000000006,2022-01-01 01:49:00,East
S102110,P087,Desk Lamp,2.0,50.93,101.86,2022-01-01 01:50:00,Northeast
S102111,P092,Monitor,7.0,31.31,219.17,2022-01-01 01:51:00,Central
S102112,P061,Cooling Fan,5.0,22.48,112.4,2022-01-01 01:52:00,South
S102113,P011,Camera,6.0,82.36,494.15999999999997,2022-01-01 01:53:00,Central
S102114,P094,Motherboard,6.0,58.66,351.96,2022-01-01 01:54:00,Northeast
S102115,P064,USB Flash Drive,9.0,55.16,496.43999999999994,2022-01-01 01:55:00,South
S102116,P093,Power Supply,7.0,87.66,613.62,2022-01-01 01:56:00,Southwest
S102117,P010,Memory Card,6.0,29.2,175.2,2022-01-01 01:57:00,Central
S102118,P038,Router,6.0,41.42,248.52,2022-01-01 01:58:00,Northwest
S102119,P004,Case,1.0,26.55,26.55,2022-01-01 01:59:00,West
S102120,P028,Processor,3.0,6.13,18.39,2022-01-01 02:00:00,Northeast
